Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  1.398
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-1.5760892064377451E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.417336E-02,0.263246
0.122070E-02,0.834672E-02,-0.353704E-02
0.183105E-02,0.125201E-01,-0.892994
0.244141E-02,0.166934E-01,-0.235033
0.305176E-02,0.208668E-01,0.129173
0.366211E-02,0.250402E-01,-0.477415
0.427246E-02,0.292135E-01,0.139401
0.488281E-02,0.333869E-01,0.309405E-01
0.549316E-02,0.375602E-01,0.270774
0.610352E-02,0.417336E-01,-0.410887
0.671387E-02,0.459070E-01,-0.429232
0.732422E-02,0.500803E-01,0.368015
0.793457E-02,0.542537E-01,-0.519557E-01
0.854492E-02,0.584271E-01,-0.215249
0.915527E-02,0.626004E-01,0.100442
0.976562E-02,0.667738E-01,-0.948135
0.103760E-01,0.709471E-01,0.352111E-01
0.109863E-01,0.751205E-01,-0.666161
0.115967E-01,0.792939E-01,-0.584497
0.122070E-01,0.834672E-01,1.18374
0.128174E-01,0.876406E-01,0.497396
0.134277E-01,0.918139E-01,-0.431813
0.140381E-01,0.959873E-01,0.388309
0.146484E-01,0.100161,0.126469E-01
0.152588E-01,0.104334,0.232033
0.158691E-01,0.108507,-0.850204E-01
0.164795E-01,0.112681,3.10314
0.170898E-01,0.116854,-0.343316
0.177002E-01,0.121027,-1.03002
0.183105E-01,0.125201,0.652464
0.189209E-01,0.129374,-0.405539
0.195312E-01,0.133548,-1.22580
0.201416E-01,0.137721,0.352282
0.207520E-01,0.141894,0.468109
0.213623E-01,0.146068,2.28691
0.219727E-01,0.150241,-0.891152
0.225830E-01,0.154414,0.128611
0.231934E-01,0.158588,-0.887173
0.238037E-01,0.162761,0.147902
0.244141E-01,0.166934,-0.267608
0.250244E-01,0.171108,-0.524901
0.256348E-01,0.175281,-0.149294
0.262451E-01,0.179455,-3.10990
0.268555E-01,0.183628,-1.08318
0.274658E-01,0.187801,1.87821
0.280762E-01,0.191975,0.284882
0.286865E-01,0.196148,-0.769045
0.292969E-01,0.200321,-0.660445
0.299072E-01,0.204495,1.89836
0.305176E-01,0.208668,-6.60257
0.311279E-01,0.212841,3.44366
0.317383E-01,0.217015,-4.33773
0.323486E-01,0.221188,1.69694
0.329590E-01,0.225361,-4.88610
0.335693E-01,0.229535,-0.860495E-01
0.341797E-01,0.233708,-1.27348
0.347900E-01,0.237882,-0.288284
0.354004E-01,0.242055,1.35285
0.360107E-01,0.246228,-0.563568
0.366211E-01,0.250402,0.112881E-01
0.372314E-01,0.254575,-0.460700
0.378418E-01,0.258748,-0.762675E-02
0.384521E-01,0.262922,4.57010
0.390625E-01,0.267095,1.72848
0.396729E-01,0.271268,2.04031
0.402832E-01,0.275442,-1.70789
0.408936E-01,0.279615,0.183150
0.415039E-01,0.283789,0.610002
0.421143E-01,0.287962,-1.98760
0.427246E-01,0.292135,-2.31090
0.433350E-01,0.296309,-2.44696
0.439453E-01,0.300482,0.336372
0.445557E-01,0.304655,-1.11421
0.451660E-01,0.308829,0.192172
0.457764E-01,0.313002,2.37552
0.463867E-01,0.317175,2.16803
0.469971E-01,0.321349,0.832551
0.476074E-01,0.325522,-0.477835
0.482178E-01,0.329695,1.81890
0.488281E-01,0.333869,1.25640
0.494385E-01,0.338042,-1.81693
0.500488E-01,0.342216,0.852701E-01
0.506592E-01,0.346389,-0.277027
0.512695E-01,0.350562,-0.540499
0.518799E-01,0.354736,0.793272
0.524902E-01,0.358909,-0.479860
0.531006E-01,0.363082,1.03676
0.537109E-01,0.367256,1.15587
0.543213E-01,0.371429,-0.337732E-01
0.549316E-01,0.375602,1.42614
0.555420E-01,0.379776,3.29265
0.561523E-01,0.383949,0.674932
0.567627E-01,0.388123,-0.319259E-02
0.573730E-01,0.392296,-0.908194
0.579834E-01,0.396469,-0.200004
0.585938E-01,0.400643,-1.57496
0.592041E-01,0.404816,2.79555
0.598145E-01,0.408989,4.73386
0.604248E-01,0.413163,-0.815401
0.610352E-01,0.417336,1.42499
0.616455E-01,0.421509,-2.05050
0.622559E-01,0.425683,-2.45688
0.628662E-01,0.429856,-1.07919
0.634766E-01,0.434030,0.150821
0.640869E-01,0.438203,3.80880
0.646973E-01,0.442376,4.98296
0.653076E-01,0.446550,1.48651
0.659180E-01,0.450723,-0.271563
0.665283E-01,0.454896,4.27114
0.671387E-01,0.459070,-0.236363
0.677490E-01,0.463243,-0.620785
0.683594E-01,0.467416,-1.04675
0.689697E-01,0.471590,2.28924
0.695801E-01,0.475763,-0.162693
0.701904E-01,0.479936,-0.954295
0.708008E-01,0.484110,0.625777
0.714111E-01,0.488283,-1.19128
0.720215E-01,0.492457,0.236703
0.726318E-01,0.496630,-0.722140
0.732422E-01,0.500803,0.263941
0.738525E-01,0.504977,-4.02238
0.744629E-01,0.509150,-0.754539
0.750732E-01,0.513323,0.873847
0.756836E-01,0.517497,-0.701613
0.762939E-01,0.521670,-0.602426E-01
0.769043E-01,0.525843,2.39244
0.775146E-01,0.530017,0.353209
0.781250E-01,0.534190,3.36829
0.787354E-01,0.538364,2.30145
0.793457E-01,0.542537,-0.946672
0.799561E-01,0.546710,0.807397
0.805664E-01,0.550884,-0.561628
0.811768E-01,0.555057,-1.23445
0.817871E-01,0.559230,1.72566
0.823975E-01,0.563404,-1.32517
0.830078E-01,0.567577,0.265836
0.836182E-01,0.571750,-0.454619
0.842285E-01,0.575924,-0.747982
0.848389E-01,0.580097,-1.21588
0.854492E-01,0.584271,0.198949
0.860596E-01,0.588444,-0.135774
0.866699E-01,0.592617,-1.65026
0.872803E-01,0.596791,2.68389
0.878906E-01,0.600964,-0.582854
0.885010E-01,0.605137,-0.680439E-01
0.891113E-01,0.609311,0.692427
0.897217E-01,0.613484,1.10757
0.903320E-01,0.617657,1.08813
0.909424E-01,0.621831,-0.138755
0.915527E-01,0.626004,0.473232
0.921631E-01,0.630177,-1.06535
0.927734E-01,0.634351,0.154402
0.933838E-01,0.638524,1.91201
0.939941E-01,0.642698,-0.611538
0.946045E-01,0.646871,-0.591297
0.952148E-01,0.651044,-3.13198
0.958252E-01,0.655218,1.39040
0.964355E-01,0.659391,-0.166005
0.970459E-01,0.663564,-0.311912
0.976562E-01,0.667738,-0.676342
0.982666E-01,0.671911,-0.728077
0.988770E-01,0.676084,0.919509
0.994873E-01,0.680258,-0.194724
0.100098,0.684431,-0.246157
0.100708,0.688605,1.01337
0.101318,0.692778,-0.704843
0.101929,0.696951,-0.537469
0.102539,0.701125,-1.10733
0.103149,0.705298,0.295046
0.103760,0.709471,3.32086
0.104370,0.713645,0.764169E-01
0.104980,0.717818,-1.13404
0.105591,0.721991,0.620170
0.106201,0.726165,1.75249
0.106812,0.730338,-0.982101
0.107422,0.734511,0.189537
0.108032,0.738685,0.731320
0.108643,0.742858,0.832841E-01
0.109253,0.747032,-0.946875
0.109863,0.751205,1.34143
0.110474,0.755378,0.359480
0.111084,0.759552,1.12419
0.111694,0.763725,1.25648
0.112305,0.767898,0.861133E-01
0.112915,0.772072,-2.19314
0.113525,0.776245,-1.37708
0.114136,0.780418,2.60360
0.114746,0.784592,3.10759
0.115356,0.788765,6.01446
0.115967,0.792939,1.63656
0.116577,0.797112,2.79541
0.117188,0.801285,-0.412985
0.117798,0.805459,-1.19107
0.118408,0.809632,-0.285769
0.119019,0.813805,-2.25036
0.119629,0.817979,1.87203
0.120239,0.822152,0.457918
0.120850,0.826325,-0.310577
0.121460,0.830499,-0.679118
0.122070,0.834672,-3.97095
0.122681,0.838846,1.16447
0.123291,0.843019,0.218629E-01
0.123901,0.847192,-0.478541
0.124512,0.851366,1.38634
0.125122,0.855539,0.559282
0.125732,0.859712,4.04311
0.126343,0.863886,-1.47382
0.126953,0.868059,3.18655
0.127563,0.872232,-0.355677
0.128174,0.876406,1.44693
0.128784,0.880579,1.38964
0.129395,0.884752,2.22682
0.130005,0.888926,-0.137851
0.130615,0.893099,0.230372
0.131226,0.897273,0.465198
0.131836,0.901446,3.01591
0.132446,0.905619,1.75518
0.133057,0.909793,1.17641
0.133667,0.913966,0.534254
0.134277,0.918139,0.118262
0.134888,0.922313,-1.55027
0.135498,0.926486,0.157242
0.136108,0.930659,4.04063
0.136719,0.934833,-0.860687
0.137329,0.939006,4.30336
0.137939,0.943180,2.34593
0.138550,0.947353,0.198748
0.139160,0.951526,-1.10878
0.139771,0.955700,0.300917
0.140381,0.959873,1.43958
0.140991,0.964046,0.758896
0.141602,0.968220,-0.672691
0.142212,0.972393,2.17337
0.142822,0.976566,-1.30927
0.143433,0.980740,-0.401693
0.144043,0.984913,2.09716
0.144653,0.989086,2.27135
0.145264,0.993260,-1.29652
0.145874,0.997433,0.148025
0.146484,1.00161,-1.30304
0.147095,1.00578,2.69163
0.147705,1.00995,-0.240985E-01
0.148315,1.01413,-0.983513
0.148926,1.01830,-2.63336
0.149536,1.02247,0.631999
0.150146,1.02665,-0.327618
0.150757,1.03082,-1.47609
0.151367,1.03499,0.211467E-01
0.151978,1.03917,2.67404
0.152588,1.04334,-0.632760
0.153198,1.04751,0.133667
0.153809,1.05169,1.68670
0.154419,1.05586,2.35083
0.155029,1.06003,0.791634
0.155640,1.06421,2.20921
0.156250,1.06838,0.288680
0.156860,1.07255,-0.958427
0.157471,1.07673,1.71698
0.158081,1.08090,-1.21718
0.158691,1.08507,2.51362
0.159302,1.08925,0.584026E-01
0.159912,1.09342,-0.869015
0.160522,1.09759,2.08953
0.161133,1.10177,1.88906
0.161743,1.10594,1.76074
0.162354,1.11011,-0.265959
0.162964,1.11429,1.61732
0.163574,1.11846,0.234896
0.164185,1.12263,-0.670004
0.164795,1.12681,-0.109178
0.165405,1.13098,1.64807
0.166016,1.13515,0.118291
0.166626,1.13933,3.52294
0.167236,1.14350,-0.161730E-01
0.167847,1.14767,3.42916
0.168457,1.15185,1.80946
0.169067,1.15602,0.315343
0.169678,1.16019,0.435685
0.170288,1.16437,0.194554
0.170898,1.16854,0.153746
0.171509,1.17271,0.144033
0.172119,1.17689,0.326472
0.172729,1.18106,1.38815
0.173340,1.18523,0.566639
0.173950,1.18941,4.90394
0.174561,1.19358,-1.01151
0.175171,1.19775,0.471276
0.175781,1.20193,0.411776
0.176392,1.20610,-0.974494E-01
0.177002,1.21027,0.520342
0.177612,1.21445,-0.880961E-01
0.178223,1.21862,2.60674
0.178833,1.22279,-0.927223E-01
0.179443,1.22697,4.62614
0.180054,1.23114,1.50115
0.180664,1.23531,1.79737
0.181274,1.23949,-1.48851
0.181885,1.24366,2.00428
0.182495,1.24783,0.425298E-01
0.183105,1.25201,1.19599
0.183716,1.25618,2.58312
0.184326,1.26035,0.593125E-02
0.184937,1.26453,2.06960
0.185547,1.26870,-0.221139
0.186157,1.27288,-1.12357
0.186768,1.27705,-0.684401
0.187378,1.28122,0.159026
0.187988,1.28540,2.75132
0.188599,1.28957,-0.136404
0.189209,1.29374,2.33698
0.189819,1.29792,0.562572E-01
0.190430,1.30209,-1.76502
0.191040,1.30626,0.913933
0.191650,1.31044,1.89056
0.192261,1.31461,-0.337951
0.192871,1.31878,4.05327
0.193481,1.32296,0.224515
0.194092,1.32713,0.785970
0.194702,1.33130,3.85939
0.195312,1.33548,-0.917565E-01
0.195923,1.33965,0.953404
0.196533,1.34382,0.409127
0.197144,1.34800,1.03471
0.197754,1.35217,0.622739E-01
0.198364,1.35634,1.42405
0.198975,1.36052,-0.762461
0.199585,1.36469,0.295617
0.200195,1.36886,-0.559355
0.200806,1.37304,0.557423
0.201416,1.37721,-4.48141
0.202026,1.38138,1.07962
0.202637,1.38556,0.565503
0.203247,1.38973,-0.124864E-01
0.203857,1.39390,0.380071
0.204468,1.39808,0.227953
0.205078,1.40225,1.25678
0.205688,1.40642,0.109476
0.206299,1.41060,-0.177401
0.206909,1.41477,-0.300925E-01
0.207520,1.41894,-0.321363
0.208130,1.42312,-0.535718
0.208740,1.42729,-0.721370E-01
0.209351,1.43146,0.922408E-01
0.209961,1.43564,1.30192
0.210571,1.43981,1.61735
0.211182,1.44398,0.523430
0.211792,1.44816,0.781862E-01
0.212402,1.45233,-0.879381
0.213013,1.45650,0.197008
0.213623,1.46068,-2.73793
0.214233,1.46485,0.489825
0.214844,1.46902,1.49781
0.215454,1.47320,1.15307
0.216064,1.47737,1.06783
0.216675,1.48154,0.664980
0.217285,1.48572,-1.48981
0.217896,1.48989,0.206975
0.218506,1.49406,-1.97684
0.219116,1.49824,2.00138
0.219727,1.50241,1.47195
0.220337,1.50658,1.21322
0.220947,1.51076,-0.312324
0.221558,1.51493,-0.940348
0.222168,1.51910,-0.685640
0.222778,1.52328,-0.782905
0.223389,1.52745,0.489937
0.223999,1.53162,0.869516E-01
0.224609,1.53580,1.06929
0.225220,1.53997,-0.969132
0.225830,1.54414,-0.123807
0.226440,1.54832,0.387661
0.227051,1.55249,-1.32635
0.227661,1.55666,-0.292011
0.228271,1.56084,0.269075
0.228882,1.56501,-0.157802E-01
0.229492,1.56918,0.501109
0.230103,1.57336,1.58449
0.230713,1.57753,-1.43083
0.231323,1.58170,-1.35191
0.231934,1.58588,1.48952
0.232544,1.59005,2.15236
0.233154,1.59422,0.246908
0.233765,1.59840,0.534885
0.234375,1.60257,-0.296950
0.234985,1.60674,1.24659
0.235596,1.61092,-0.430582
0.236206,1.61509,-1.16856
0.236816,1.61926,-0.335042
0.237427,1.62344,0.476415
0.238037,1.62761,-1.12420
0.238647,1.63178,2.44372
0.239258,1.63596,1.69487
0.239868,1.64013,-1.13675
0.240479,1.64430,-0.206755E-01
0.241089,1.64848,-0.413293E-01
0.241699,1.65265,1.50212
0.242310,1.65682,-1.35079
0.242920,1.66100,0.572565
0.243530,1.66517,2.27866
0.244141,1.66934,1.14295
0.244751,1.67352,-2.00217
0.245361,1.67769,-0.340086
0.245972,1.68186,-0.454599
0.246582,1.68604,-3.09385
0.247192,1.69021,-0.859124
0.247803,1.69438,-1.97273
0.248413,1.69856,3.99228
0.249023,1.70273,3.11926
0.249634,1.70690,-0.440272
0.250244,1.71108,-0.378580
0.250854,1.71525,-1.66588
0.251465,1.71942,-2.21506
0.252075,1.72360,1.03616
0.252686,1.72777,-1.91191
0.253296,1.73194,-1.22901
0.253906,1.73612,1.40941
0.254517,1.74029,2.65187
0.255127,1.74446,-0.115824
0.255737,1.74864,-2.04952
0.256348,1.75281,-0.363602
0.256958,1.75698,2.26415
0.257568,1.76116,-1.55361
0.258179,1.76533,1.09683
0.258789,1.76950,-0.996414
0.259399,1.77368,0.690450
0.260010,1.77785,1.28365
0.260620,1.78203,1.37638
0.261230,1.78620,1.98942
0.261841,1.79037,-0.205173
0.262451,1.79455,1.60692
0.263062,1.79872,0.707309
0.263672,1.80289,3.02302
0.264282,1.80707,-0.250430
0.264893,1.81124,2.04786
0.265503,1.81541,-1.84194
0.266113,1.81959,1.99982
0.266724,1.82376,0.904280E-01
0.267334,1.82793,0.406100
0.267944,1.83211,5.69964
0.268555,1.83628,2.12284
0.269165,1.84045,1.13427
0.269775,1.84463,0.245058
0.270386,1.84880,-0.239590
0.270996,1.85297,1.02416
0.271606,1.85715,1.22313
0.272217,1.86132,2.91512
0.272827,1.86549,0.125724
0.273438,1.86967,1.74179
0.274048,1.87384,1.59865
0.274658,1.87801,2.24154
0.275269,1.88219,-0.766503E-01
0.275879,1.88636,0.489983
0.276489,1.89053,1.94312
0.277100,1.89471,-2.24111
0.277710,1.89888,-0.335326
0.278320,1.90305,-0.171769
0.278931,1.90723,0.990053
0.279541,1.91140,0.443002
0.280151,1.91557,5.29085
0.280762,1.91975,-1.53213
0.281372,1.92392,3.26123
0.281982,1.92809,0.252911
0.282593,1.93227,-0.172933
0.283203,1.93644,0.112014
0.283813,1.94061,0.305026
0.284424,1.94479,0.513936
0.285034,1.94896,4.50971
0.285645,1.95313,1.25385
0.286255,1.95731,1.07068
0.286865,1.96148,0.551876
0.287476,1.96565,2.04663
0.288086,1.96983,0.894136E-01
0.288696,1.97400,1.17399
0.289307,1.97817,0.246326
0.289917,1.98235,1.49022
0.290527,1.98652,-0.963191
0.291138,1.99069,1.09576
0.291748,1.99487,3.19665
