Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  0.205
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,3.2448665019232763E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.285256E-01,2.87088
0.122070E-02,0.570511E-01,-3.12990
0.183105E-02,0.855767E-01,-0.552985
0.244141E-02,0.114102,0.928003
0.305176E-02,0.142628,-1.30663
0.366211E-02,0.171153,-0.238789E-01
0.427246E-02,0.199679,0.204623
0.488281E-02,0.228205,-0.568687
0.549316E-02,0.256730,0.342795
0.610352E-02,0.285256,0.646296
0.671387E-02,0.313781,-2.15522
0.732422E-02,0.342307,1.66321
0.793457E-02,0.370832,-1.44040
0.854492E-02,0.399358,0.173645
0.915527E-02,0.427883,-0.724648
0.976562E-02,0.456409,3.61494
0.103760E-01,0.484935,-0.460023E-01
0.109863E-01,0.513460,-1.38584
0.115967E-01,0.541986,0.600463
0.122070E-01,0.570511,-0.478652
0.128174E-01,0.599037,0.535016
0.134277E-01,0.627562,0.706443
0.140381E-01,0.656088,0.641892
0.146484E-01,0.684614,0.243634
0.152588E-01,0.713139,0.398685E-01
0.158691E-01,0.741665,-0.281922
0.164795E-01,0.770190,-0.437957
0.170898E-01,0.798716,0.396819E-01
0.177002E-01,0.827241,-0.122633E-01
0.183105E-01,0.855767,0.161192
0.189209E-01,0.884292,-0.959923E-01
0.195312E-01,0.912818,-0.326262
0.201416E-01,0.941344,-0.167683
0.207520E-01,0.969869,-0.187882
0.213623E-01,0.998395,-0.177758
0.219727E-01,1.02692,0.137404
0.225830E-01,1.05545,-0.114537
0.231934E-01,1.08397,-0.218092
0.238037E-01,1.11250,-0.302316E-01
0.244141E-01,1.14102,0.368186
0.250244E-01,1.16955,-0.260806
0.256348E-01,1.19807,-0.364189E-01
0.262451E-01,1.22660,-0.105041
0.268555E-01,1.25512,-0.407400
0.274658E-01,1.28365,-0.158024
0.280762E-01,1.31218,-0.663597
0.286865E-01,1.34070,0.747323E-01
0.292969E-01,1.36923,-0.827134
0.299072E-01,1.39775,-0.471980E-01
0.305176E-01,1.42628,-0.778876
0.311279E-01,1.45480,0.499143
0.317383E-01,1.48333,-0.221060
0.323486E-01,1.51185,0.407939E-01
0.329590E-01,1.54038,0.112783E-01
0.335693E-01,1.56891,0.353915E-02
0.341797E-01,1.59743,0.742140E-01
0.347900E-01,1.62596,-0.257611
0.354004E-01,1.65448,-0.229110E-01
0.360107E-01,1.68301,0.132293
0.366211E-01,1.71153,-0.592035E-01
0.372314E-01,1.74006,0.516252E-01
0.378418E-01,1.76858,-0.399606
0.384521E-01,1.79711,0.507094E-01
0.390625E-01,1.82564,-0.449641
0.396729E-01,1.85416,0.571613E-01
0.402832E-01,1.88269,0.456547E-01
0.408936E-01,1.91121,0.115621
0.415039E-01,1.93974,0.147160
0.421143E-01,1.96826,-0.391692E-01
0.427246E-01,1.99679,0.330185E-01
0.433350E-01,2.02532,-0.783676E-01
0.439453E-01,2.05384,0.969120E-01
0.445557E-01,2.08237,-0.108938
0.451660E-01,2.11089,0.165391
0.457764E-01,2.13942,0.101695
0.463867E-01,2.16794,-0.389398E-01
0.469971E-01,2.19647,0.752320E-01
0.476074E-01,2.22499,-0.201676
0.482178E-01,2.25352,0.103547
0.488281E-01,2.28205,0.898221E-01
0.494385E-01,2.31057,0.565793E-01
0.500488E-01,2.33910,-0.218400
0.506592E-01,2.36762,0.417961E-01
0.512695E-01,2.39615,-0.636406E-01
0.518799E-01,2.42467,0.169002
0.524902E-01,2.45320,0.100016E-01
0.531006E-01,2.48172,-0.144081
0.537109E-01,2.51025,-0.377390E-01
0.543213E-01,2.53878,-0.155700
0.549316E-01,2.56730,-0.209215E-01
0.555420E-01,2.59583,-0.152510
0.561523E-01,2.62435,-0.156536
0.567627E-01,2.65288,-0.704736E-01
0.573730E-01,2.68140,-0.135325
0.579834E-01,2.70993,-0.267178
0.585938E-01,2.73845,-0.149500
0.592041E-01,2.76698,-0.326806
0.598145E-01,2.79551,-0.353991E-01
0.604248E-01,2.82403,-0.500293
0.610352E-01,2.85256,0.213632
0.616455E-01,2.88108,0.343959E-01
0.622559E-01,2.90961,-0.326180
0.628662E-01,2.93813,-0.748149E-01
0.634766E-01,2.96666,0.925579E-01
0.640869E-01,2.99518,-0.228961
0.646973E-01,3.02371,-0.366661E-01
0.653076E-01,3.05224,0.401642
0.659180E-01,3.08076,-0.136094
0.665283E-01,3.10929,0.174189
0.671387E-01,3.13781,-0.490433E-01
0.677490E-01,3.16634,-0.718822E-02
0.683594E-01,3.19486,-0.347817E-01
0.689697E-01,3.22339,-0.274703
0.695801E-01,3.25191,-0.828898E-01
0.701904E-01,3.28044,0.123990E-01
0.708008E-01,3.30897,-0.851027E-01
0.714111E-01,3.33749,-0.160858
0.720215E-01,3.36602,-0.813208E-01
0.726318E-01,3.39454,-0.807563E-01
0.732422E-01,3.42307,0.819867E-01
0.738525E-01,3.45159,-0.900927E-01
0.744629E-01,3.48012,0.213323E-01
0.750732E-01,3.50864,-0.618410E-02
0.756836E-01,3.53717,0.676644E-01
0.762939E-01,3.56570,0.390289E-01
0.769043E-01,3.59422,-0.856536E-01
0.775146E-01,3.62275,-0.160942
0.781250E-01,3.65127,-0.101437
0.787354E-01,3.67980,0.562690E-01
0.793457E-01,3.70832,0.898361E-01
0.799561E-01,3.73685,0.108620
0.805664E-01,3.76537,0.474138
0.811768E-01,3.79390,0.180864
0.817871E-01,3.82243,0.624317
0.823975E-01,3.85095,0.830875E-01
0.830078E-01,3.87948,0.106198
0.836182E-01,3.90800,-0.112358E-01
