Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  0.710
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-6.5615423116046343E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.821769E-02,0.242929E-01
0.122070E-02,0.164354E-01,-1.13594
0.183105E-02,0.246531E-01,0.738104
0.244141E-02,0.328707E-01,0.673222
0.305176E-02,0.410884E-01,2.12996
0.366211E-02,0.493061E-01,-0.440982
0.427246E-02,0.575238E-01,0.457527
0.488281E-02,0.657415E-01,-2.77864
0.549316E-02,0.739592E-01,2.49719
0.610352E-02,0.821769E-01,-1.91166
0.671387E-02,0.903945E-01,1.09966
0.732422E-02,0.986122E-01,-3.83115
0.793457E-02,0.106830,-0.834920
0.854492E-02,0.115048,11.1092
0.915527E-02,0.123265,3.63498
0.976562E-02,0.131483,-3.26064
0.103760E-01,0.139701,-0.164174
0.109863E-01,0.147918,-0.486838
0.115967E-01,0.156136,-0.141547
0.122070E-01,0.164354,0.434909E-01
0.128174E-01,0.172571,-0.465275
0.134277E-01,0.180789,5.55485
0.140381E-01,0.189007,-3.41796
0.146484E-01,0.197224,0.293709
0.152588E-01,0.205442,0.325242
0.158691E-01,0.213660,0.331765
0.164795E-01,0.221878,0.972777
0.170898E-01,0.230095,-0.567148
0.177002E-01,0.238313,-0.446638
0.183105E-01,0.246531,1.05656
0.189209E-01,0.254748,-2.00156
0.195312E-01,0.262966,0.172433
0.201416E-01,0.271184,-0.343529
0.207520E-01,0.279401,0.176235E-01
0.213623E-01,0.287619,0.260726
0.219727E-01,0.295837,0.250702
0.225830E-01,0.304054,2.42023
0.231934E-01,0.312272,-0.556785
0.238037E-01,0.320490,0.826038E-01
0.244141E-01,0.328707,-0.217442
0.250244E-01,0.336925,0.731949
0.256348E-01,0.345143,-0.675111
0.262451E-01,0.353360,-0.255505
0.268555E-01,0.361578,0.220010
0.274658E-01,0.369796,0.144269E-01
0.280762E-01,0.378014,0.609516
0.286865E-01,0.386231,0.103550
0.292969E-01,0.394449,0.866540
0.299072E-01,0.402667,-0.486982
0.305176E-01,0.410884,-0.725417
0.311279E-01,0.419102,-1.23109
0.317383E-01,0.427320,1.31751
0.323486E-01,0.435537,-0.106355
0.329590E-01,0.443755,-0.137118
0.335693E-01,0.451973,1.12105
0.341797E-01,0.460190,-0.572548
0.347900E-01,0.468408,0.110672
0.354004E-01,0.476626,0.982221
0.360107E-01,0.484843,0.836712
0.366211E-01,0.493061,0.247434
0.372314E-01,0.501279,-0.553966E-01
0.378418E-01,0.509497,-0.175213
0.384521E-01,0.517714,0.299720E-01
0.390625E-01,0.525932,-0.529441
0.396729E-01,0.534150,2.84595
0.402832E-01,0.542367,-0.537029
0.408936E-01,0.550585,-0.356315
0.415039E-01,0.558803,-0.473167
0.421143E-01,0.567020,-0.272230
0.427246E-01,0.575238,1.15596
0.433350E-01,0.583456,-0.112464
0.439453E-01,0.591673,-0.172377
0.445557E-01,0.599891,1.19112
0.451660E-01,0.608109,0.199033E-02
0.457764E-01,0.616326,0.825135
0.463867E-01,0.624544,0.843367
0.469971E-01,0.632762,-0.971702
0.476074E-01,0.640979,0.846371
0.482178E-01,0.649197,-0.200650
0.488281E-01,0.657415,0.637593
0.494385E-01,0.665633,0.867139E-01
0.500488E-01,0.673850,0.425722
0.506592E-01,0.682068,0.416758
0.512695E-01,0.690286,-0.457360
0.518799E-01,0.698503,0.708849
0.524902E-01,0.706721,-0.598318E-01
0.531006E-01,0.714939,-0.231354
0.537109E-01,0.723156,0.624952
0.543213E-01,0.731374,0.477755
0.549316E-01,0.739592,0.513317E-01
0.555420E-01,0.747809,0.412978E-01
0.561523E-01,0.756027,0.142327E-01
0.567627E-01,0.764245,1.60206
0.573730E-01,0.772462,1.64325
0.579834E-01,0.780680,0.856840
0.585938E-01,0.788898,-0.106805
0.592041E-01,0.797116,0.196999
0.598145E-01,0.805333,-0.745395
0.604248E-01,0.813551,0.347509
0.610352E-01,0.821769,1.18257
0.616455E-01,0.829986,-0.236048
0.622559E-01,0.838204,0.115692
0.628662E-01,0.846422,0.519549
0.634766E-01,0.854639,-0.378663
0.640869E-01,0.862857,0.221174
0.646973E-01,0.871075,0.188956
0.653076E-01,0.879292,-0.390786
0.659180E-01,0.887510,0.208090E-01
0.665283E-01,0.895728,0.160945
0.671387E-01,0.903945,-0.334323
0.677490E-01,0.912163,0.159311
0.683594E-01,0.920381,0.653955E-01
0.689697E-01,0.928598,0.924259E-01
0.695801E-01,0.936816,-0.886779
0.701904E-01,0.945034,0.306434
0.708008E-01,0.953252,-0.258568
0.714111E-01,0.961469,-0.391912
0.720215E-01,0.969687,-0.359424
0.726318E-01,0.977905,0.270090
0.732422E-01,0.986122,-0.263656
0.738525E-01,0.994340,0.976806
0.744629E-01,1.00256,-0.892392E-01
0.750732E-01,1.01078,-0.330873
0.756836E-01,1.01899,0.656525E-01
0.762939E-01,1.02721,-0.345892
0.769043E-01,1.03543,0.214754
0.775146E-01,1.04365,0.288681
0.781250E-01,1.05186,0.217844
0.787354E-01,1.06008,0.344241
0.793457E-01,1.06830,0.923521E-01
0.799561E-01,1.07652,0.223526
0.805664E-01,1.08473,-0.257575
0.811768E-01,1.09295,0.429454
0.817871E-01,1.10117,0.551451
0.823975E-01,1.10939,0.758423
0.830078E-01,1.11761,-0.113261
0.836182E-01,1.12582,-0.443822
0.842285E-01,1.13404,-0.209077
0.848389E-01,1.14226,-1.14149
0.854492E-01,1.15048,-1.25714
0.860596E-01,1.15869,-0.266953E-01
0.866699E-01,1.16691,-0.357154
0.872803E-01,1.17513,0.552679
0.878906E-01,1.18335,-0.467415
0.885010E-01,1.19156,0.134227
0.891113E-01,1.19978,-0.612525
0.897217E-01,1.20800,0.116414
0.903320E-01,1.21622,-0.152864
0.909424E-01,1.22444,0.861017E-01
0.915527E-01,1.23265,0.236043
0.921631E-01,1.24087,0.577029
0.927734E-01,1.24909,-0.777522E-01
0.933838E-01,1.25731,1.34383
0.939941E-01,1.26552,0.210298
0.946045E-01,1.27374,-0.451754
0.952148E-01,1.28196,-0.316593
0.958252E-01,1.29018,-0.284574E-02
0.964355E-01,1.29839,-0.312380
0.970459E-01,1.30661,-0.251215E-01
0.976562E-01,1.31483,0.928241E-01
0.982666E-01,1.32305,0.612329E-01
0.988770E-01,1.33127,0.832684E-01
0.994873E-01,1.33948,-0.127703
0.100098,1.34770,0.117517
0.100708,1.35592,-0.781590
0.101318,1.36414,-0.269615
0.101929,1.37235,-0.215152
0.102539,1.38057,0.215431
0.103149,1.38879,-0.289334
0.103760,1.39701,-0.338263
0.104370,1.40522,0.275738
0.104980,1.41344,-0.125780
0.105591,1.42166,0.131073E-01
0.106201,1.42988,-1.03580
0.106812,1.43809,-0.186238
0.107422,1.44631,0.808150
0.108032,1.45453,0.821182E-03
0.108643,1.46275,-0.272751
0.109253,1.47097,-0.271106E-01
0.109863,1.47918,0.511595
0.110474,1.48740,-0.121205
0.111084,1.49562,0.448463
0.111694,1.50384,-0.136609
0.112305,1.51205,0.194203
0.112915,1.52027,0.279744
0.113525,1.52849,0.332464
0.114136,1.53671,-0.262697
0.114746,1.54492,-0.394870
0.115356,1.55314,0.280691E-01
0.115967,1.56136,0.667414E-01
0.116577,1.56958,-0.199136
0.117188,1.57780,0.129002
0.117798,1.58601,1.26622
