Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  1.141
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-1.6035792977758822E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.511318E-02,-0.175854
0.122070E-02,0.102264E-01,-0.290549
0.183105E-02,0.153395E-01,-1.64969
0.244141E-02,0.204527E-01,-0.546934
0.305176E-02,0.255659E-01,-0.120443
0.366211E-02,0.306791E-01,0.241759
0.427246E-02,0.357923E-01,0.403288
0.488281E-02,0.409054E-01,-0.118355E-01
0.549316E-02,0.460186E-01,-0.358711
0.610352E-02,0.511318E-01,0.674739
0.671387E-02,0.562450E-01,0.720391E-01
0.732422E-02,0.613581E-01,0.170273
0.793457E-02,0.664713E-01,-0.118773
0.854492E-02,0.715845E-01,0.368927
0.915527E-02,0.766977E-01,0.514847
0.976562E-02,0.818109E-01,-0.383089E-01
0.103760E-01,0.869240E-01,-0.405518
0.109863E-01,0.920372E-01,0.502197
0.115967E-01,0.971504E-01,0.266040E-02
0.122070E-01,0.102264,0.631323
0.128174E-01,0.107377,-0.604888E-01
0.134277E-01,0.112490,1.51954
0.140381E-01,0.117603,0.264220
0.146484E-01,0.122716,1.61302
0.152588E-01,0.127829,0.720220
0.158691E-01,0.132943,0.271439
0.164795E-01,0.138056,-0.157922
0.170898E-01,0.143169,0.268158
0.177002E-01,0.148282,-0.331457
0.183105E-01,0.153395,0.245133
0.189209E-01,0.158509,0.828977
0.195312E-01,0.163622,0.453992
0.201416E-01,0.168735,0.849039E-01
0.207520E-01,0.173848,0.966132E-01
0.213623E-01,0.178961,0.109654
0.219727E-01,0.184074,-0.510783E-01
0.225830E-01,0.189188,0.545346
0.231934E-01,0.194301,0.208634E-01
0.238037E-01,0.199414,1.39745
0.244141E-01,0.204527,-0.471539
0.250244E-01,0.209640,0.875121
0.256348E-01,0.214754,-2.04957
0.262451E-01,0.219867,-1.28141
0.268555E-01,0.224980,0.464924
0.274658E-01,0.230093,0.348943
0.280762E-01,0.235206,2.00106
0.286865E-01,0.240319,-0.400536
0.292969E-01,0.245433,1.05910
0.299072E-01,0.250546,-0.963859
0.305176E-01,0.255659,-2.11103
0.311279E-01,0.260772,-0.558079
0.317383E-01,0.265885,0.269750
0.323486E-01,0.270998,0.199561
0.329590E-01,0.276112,-0.372577
0.335693E-01,0.281225,0.635764
0.341797E-01,0.286338,1.51543
0.347900E-01,0.291451,-0.718251
0.354004E-01,0.296564,0.228617
0.360107E-01,0.301678,0.654709
0.366211E-01,0.306791,-1.22762
0.372314E-01,0.311904,0.635543E-01
0.378418E-01,0.317017,-1.57561
0.384521E-01,0.322130,0.990144E-01
0.390625E-01,0.327243,2.35589
0.396729E-01,0.332357,-1.34161
0.402832E-01,0.337470,5.57837
0.408936E-01,0.342583,-0.223103
0.415039E-01,0.347696,3.46396
0.421143E-01,0.352809,-0.137398E-01
0.427246E-01,0.357923,3.12286
0.433350E-01,0.363036,0.650881E-01
0.439453E-01,0.368149,-0.540951E-01
0.445557E-01,0.373262,-0.805443
0.451660E-01,0.378375,0.599842
0.457764E-01,0.383488,-0.629345
0.463867E-01,0.388602,0.848935
0.469971E-01,0.393715,-0.593329
0.476074E-01,0.398828,-0.358505
0.482178E-01,0.403941,0.346803E-01
0.488281E-01,0.409054,0.973925
0.494385E-01,0.414167,0.722395
0.500488E-01,0.419281,0.147752
0.506592E-01,0.424394,0.208056
0.512695E-01,0.429507,3.62516
0.518799E-01,0.434620,0.167156
0.524902E-01,0.439733,-0.689490
0.531006E-01,0.444847,0.209107
0.537109E-01,0.449960,0.105330
0.543213E-01,0.455073,3.57129
0.549316E-01,0.460186,0.677572
0.555420E-01,0.465299,0.729321
0.561523E-01,0.470412,0.224239
0.567627E-01,0.475526,1.13914
0.573730E-01,0.480639,3.70730
0.579834E-01,0.485752,0.127444
0.585938E-01,0.490865,0.591718
0.592041E-01,0.495978,0.543546
0.598145E-01,0.501092,0.265661
