Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  1.343
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,0.13348717020067821
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.434320E-02,0.649210E-01
0.122070E-02,0.868639E-02,0.197851
0.183105E-02,0.130296E-01,0.153201E-01
0.244141E-02,0.173728E-01,0.595474E-01
0.305176E-02,0.217160E-01,0.271661
0.366211E-02,0.260592E-01,0.315472E-01
0.427246E-02,0.304024E-01,-0.303885E-01
0.488281E-02,0.347456E-01,0.201155
0.549316E-02,0.390888E-01,-0.382633E-01
0.610352E-02,0.434320E-01,0.130993
0.671387E-02,0.477752E-01,0.144965E-02
0.732422E-02,0.521184E-01,0.149808
0.793457E-02,0.564615E-01,0.105000
0.854492E-02,0.608047E-01,0.389195
0.915527E-02,0.651479E-01,0.323756
0.976562E-02,0.694911E-01,0.208212
0.103760E-01,0.738343E-01,0.837581
0.109863E-01,0.781775E-01,0.596519E-01
0.115967E-01,0.825207E-01,0.134382
0.122070E-01,0.868639E-01,0.586833
0.128174E-01,0.912071E-01,0.349364
0.134277E-01,0.955503E-01,0.263808E-01
0.140381E-01,0.998935E-01,0.967599E-01
0.146484E-01,0.104237,1.06209
0.152588E-01,0.108580,0.170122E-01
0.158691E-01,0.112923,0.712830
0.164795E-01,0.117266,0.161964
0.170898E-01,0.121609,0.451691
0.177002E-01,0.125953,0.557494
0.183105E-01,0.130296,0.188619E-01
0.189209E-01,0.134639,0.777651
0.195312E-01,0.138982,0.126180
0.201416E-01,0.143325,-0.840394E-01
0.207520E-01,0.147669,0.521847
0.213623E-01,0.152012,0.248048
0.219727E-01,0.156355,0.289222
0.225830E-01,0.160698,0.187797
0.231934E-01,0.165041,1.11061
0.238037E-01,0.169385,0.368215
0.244141E-01,0.173728,0.405599E-01
0.250244E-01,0.178071,0.912527E-01
0.256348E-01,0.182414,0.712577E-01
0.262451E-01,0.186757,0.398651
0.268555E-01,0.191101,0.394749
0.274658E-01,0.195444,0.881116E-01
0.280762E-01,0.199787,0.183756E-02
0.286865E-01,0.204130,-0.707202E-01
0.292969E-01,0.208473,-0.215036E-02
0.299072E-01,0.212817,0.363535
0.305176E-01,0.217160,0.306840E-02
0.311279E-01,0.221503,0.392121
0.317383E-01,0.225846,-0.861991E-01
0.323486E-01,0.230189,0.209235
0.329590E-01,0.234533,0.147149
0.335693E-01,0.238876,0.473250
0.341797E-01,0.243219,0.594133
0.347900E-01,0.247562,0.581609
0.354004E-01,0.251905,0.470453E-01
0.360107E-01,0.256249,0.428829
0.366211E-01,0.260592,0.121064
0.372314E-01,0.264935,-0.484469E-01
0.378418E-01,0.269278,-0.495583E-01
0.384521E-01,0.273621,0.403052E-01
0.390625E-01,0.277965,0.102098
0.396729E-01,0.282308,-0.772569E-02
0.402832E-01,0.286651,0.414106
0.408936E-01,0.290994,0.746465
0.415039E-01,0.295337,-0.643544E-01
0.421143E-01,0.299681,-0.388235E-01
0.427246E-01,0.304024,-0.122177
0.433350E-01,0.308367,0.369777
0.439453E-01,0.312710,0.425891
0.445557E-01,0.317053,0.508057E-01
0.451660E-01,0.321397,0.166068
0.457764E-01,0.325740,0.219831
0.463867E-01,0.330083,0.655789E-01
0.469971E-01,0.334426,0.383148
0.476074E-01,0.338769,0.105324
0.482178E-01,0.343112,0.933510E-01
0.488281E-01,0.347456,0.124345
0.494385E-01,0.351799,0.223882
0.500488E-01,0.356142,-0.752732E-01
0.506592E-01,0.360485,-0.527397E-01
0.512695E-01,0.364828,0.427442
0.518799E-01,0.369172,0.168087E-01
0.524902E-01,0.373515,0.393720
0.531006E-01,0.377858,-0.172913
0.537109E-01,0.382201,0.842385E-01
0.543213E-01,0.386544,-0.453420E-01
0.549316E-01,0.390888,0.141548
0.555420E-01,0.395231,0.279461
0.561523E-01,0.399574,0.364719
0.567627E-01,0.403917,0.687591
0.573730E-01,0.408260,0.183689
0.579834E-01,0.412604,0.599415E-01
0.585938E-01,0.416947,0.572876E-02
0.592041E-01,0.421290,0.128374
0.598145E-01,0.425633,-0.570678E-01
0.604248E-01,0.429976,0.757607E-02
0.610352E-01,0.434320,0.714482
0.616455E-01,0.438663,-0.659729E-01
0.622559E-01,0.443006,0.107492E-01
0.628662E-01,0.447349,0.209921
0.634766E-01,0.451692,0.289369
0.640869E-01,0.456036,-0.647934E-01
0.646973E-01,0.460379,0.105430
0.653076E-01,0.464722,0.704507E-02
0.659180E-01,0.469065,-0.812895E-01
0.665283E-01,0.473408,0.632294E-01
0.671387E-01,0.477752,0.405813
0.677490E-01,0.482095,0.950097E-01
0.683594E-01,0.486438,0.221542E-02
0.689697E-01,0.490781,0.408846E-01
0.695801E-01,0.495124,0.213724E-02
0.701904E-01,0.499468,0.782993E-01
0.708008E-01,0.503811,0.467201
0.714111E-01,0.508154,-0.254083E-02
0.720215E-01,0.512497,0.336877
0.726318E-01,0.516840,0.211919
0.732422E-01,0.521184,0.318343E-01
0.738525E-01,0.525527,0.850933E-01
0.744629E-01,0.529870,-0.118531E-01
0.750732E-01,0.534213,0.154650
0.756836E-01,0.538556,0.100346
0.762939E-01,0.542900,0.236382
0.769043E-01,0.547243,0.899194E-01
0.775146E-01,0.551586,0.384932
0.781250E-01,0.555929,0.376275E-01
0.787354E-01,0.560272,-0.275233E-01
0.793457E-01,0.564615,-0.101343
0.799561E-01,0.568959,0.146329
0.805664E-01,0.573302,0.224410E-01
0.811768E-01,0.577645,0.630955
0.817871E-01,0.581988,0.187189
0.823975E-01,0.586331,0.120341E-01
0.830078E-01,0.590675,0.684712E-01
0.836182E-01,0.595018,0.278877E-01
0.842285E-01,0.599361,0.104273
0.848389E-01,0.603704,0.457890
0.854492E-01,0.608047,0.775237E-01
0.860596E-01,0.612391,0.174637
0.866699E-01,0.616734,-0.261687E-01
0.872803E-01,0.621077,0.392803E-01
0.878906E-01,0.625420,0.256924E-01
0.885010E-01,0.629763,-0.473818E-01
0.891113E-01,0.634107,0.425332
0.897217E-01,0.638450,-0.299484E-01
0.903320E-01,0.642793,0.481462E-01
0.909424E-01,0.647136,0.677457
0.915527E-01,0.651479,0.327843E-01
0.921631E-01,0.655823,0.347379E-01
0.927734E-01,0.660166,-0.161318
0.933838E-01,0.664509,0.249783
0.939941E-01,0.668852,0.115003
0.946045E-01,0.673195,-0.177887E-01
0.952148E-01,0.677539,0.192728
0.958252E-01,0.681882,0.438980
0.964355E-01,0.686225,0.189114
0.970459E-01,0.690568,-0.195045E-01
0.976562E-01,0.694911,0.295642
0.982666E-01,0.699255,-0.668310E-01
0.988770E-01,0.703598,0.174067
0.994873E-01,0.707941,0.317815
0.100098,0.712284,0.594593E-01
0.100708,0.716627,0.110399E-01
0.101318,0.720971,-0.116724
0.101929,0.725314,-0.651477E-01
0.102539,0.729657,0.248969E-01
0.103149,0.734000,0.274420E-01
0.103760,0.738343,0.260379
0.104370,0.742687,0.182325
0.104980,0.747030,0.219754
0.105591,0.751373,0.342319
0.106201,0.755716,0.233955
0.106812,0.760059,0.151465
0.107422,0.764403,0.657492E-01
0.108032,0.768746,-0.149075
0.108643,0.773089,0.225942
0.109253,0.777432,-0.168019E-01
0.109863,0.781775,0.211625E-01
0.110474,0.786118,-0.439605E-01
0.111084,0.790462,0.641494E-01
0.111694,0.794805,0.214859E-01
0.112305,0.799148,0.443892E-01
0.112915,0.803491,0.130951
0.113525,0.807834,0.282233E-01
0.114136,0.812178,0.163500
0.114746,0.816521,-0.404885E-01
0.115356,0.820864,0.495175E-01
0.115967,0.825207,-0.310494E-02
0.116577,0.829550,-0.573864E-01
0.117188,0.833894,-0.823324E-01
0.117798,0.838237,0.678746E-01
0.118408,0.842580,-0.822858E-01
0.119019,0.846923,-0.185919
0.119629,0.851266,-0.505622E-01
0.120239,0.855610,0.442643E-01
0.120850,0.859953,0.145817
0.121460,0.864296,0.362679E-01
0.122070,0.868639,-0.795285E-01
0.122681,0.872982,-0.799252E-01
0.123291,0.877326,0.118204
0.123901,0.881669,0.285981E-01
