Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  1.852
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,1.9975815540052302E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.315067E-02,-0.646722E-01
0.122070E-02,0.630134E-02,-0.121836E-01
0.183105E-02,0.945201E-02,0.298700
0.244141E-02,0.126027E-01,0.264992
0.305176E-02,0.157534E-01,0.151579
0.366211E-02,0.189040E-01,0.533158
0.427246E-02,0.220547E-01,0.492597
0.488281E-02,0.252054E-01,0.133223
0.549316E-02,0.283560E-01,0.916343E-01
0.610352E-02,0.315067E-01,0.193503
0.671387E-02,0.346574E-01,0.302708
0.732422E-02,0.378080E-01,-0.637037E-01
0.793457E-02,0.409587E-01,0.709191
0.854492E-02,0.441094E-01,-0.573738
0.915527E-02,0.472601E-01,0.553326E-01
0.976562E-02,0.504107E-01,0.454788E-01
0.103760E-01,0.535614E-01,-0.300820
0.109863E-01,0.567121E-01,0.248577
0.115967E-01,0.598627E-01,0.382403
0.122070E-01,0.630134E-01,-0.736448
0.128174E-01,0.661641E-01,0.888185
0.134277E-01,0.693147E-01,-0.107366
0.140381E-01,0.724654E-01,0.129436E-01
0.146484E-01,0.756161E-01,0.342929
0.152588E-01,0.787668E-01,0.363248
0.158691E-01,0.819174E-01,0.391476
0.164795E-01,0.850681E-01,0.152364
0.170898E-01,0.882188E-01,0.213200
0.177002E-01,0.913694E-01,0.761872E-01
0.183105E-01,0.945201E-01,-0.354309
0.189209E-01,0.976708E-01,0.719917
0.195312E-01,0.100821,-0.175637
0.201416E-01,0.103972,-0.220862E-01
0.207520E-01,0.107123,0.157730
0.213623E-01,0.110273,-0.517300E-01
0.219727E-01,0.113424,-0.264908
0.225830E-01,0.116575,0.459421
0.231934E-01,0.119725,-0.302933
0.238037E-01,0.122876,-0.153980
0.244141E-01,0.126027,0.185251E-01
0.250244E-01,0.129177,0.479702
0.256348E-01,0.132328,0.373436E-01
0.262451E-01,0.135479,-0.448549
0.268555E-01,0.138629,0.221431
0.274658E-01,0.141780,0.259572
0.280762E-01,0.144931,0.131836
0.286865E-01,0.148082,1.65264
0.292969E-01,0.151232,0.497671
0.299072E-01,0.154383,0.824166E-01
0.305176E-01,0.157534,-0.311601
0.311279E-01,0.160684,-0.609711E-01
0.317383E-01,0.163835,0.124603
0.323486E-01,0.166986,0.770757E-02
0.329590E-01,0.170136,-0.469752E-02
0.335693E-01,0.173287,0.952160E-01
0.341797E-01,0.176438,0.483701
0.347900E-01,0.179588,0.522336
0.354004E-01,0.182739,-0.148719
0.360107E-01,0.185890,-0.988632E-01
0.366211E-01,0.189040,-0.527583
0.372314E-01,0.192191,0.179788
0.378418E-01,0.195342,-0.415395E-01
0.384521E-01,0.198492,0.327797
0.390625E-01,0.201643,0.294950
0.396729E-01,0.204794,0.417186
0.402832E-01,0.207944,0.324551
0.408936E-01,0.211095,-0.307206
0.415039E-01,0.214246,0.433132
0.421143E-01,0.217396,-0.860171E-01
0.427246E-01,0.220547,0.748271E-01
0.433350E-01,0.223698,1.65499
0.439453E-01,0.226848,-0.882879E-02
0.445557E-01,0.229999,-0.837697E-02
0.451660E-01,0.233150,-0.929027E-01
0.457764E-01,0.236300,0.261324
0.463867E-01,0.239451,0.258070
0.469971E-01,0.242602,-0.191905E-01
0.476074E-01,0.245752,0.494788
0.482178E-01,0.248903,-0.117511E-01
0.488281E-01,0.252054,0.449325
0.494385E-01,0.255204,0.477975
0.500488E-01,0.258355,-0.737213E-02
0.506592E-01,0.261506,0.781930
