Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  3.128
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-1.9365902421264417E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.186526E-02,0.493563E-01
0.122070E-02,0.373052E-02,-0.277859E-01
0.183105E-02,0.559579E-02,0.143626E-01
0.244141E-02,0.746105E-02,0.535154E-03
0.305176E-02,0.932631E-02,0.258791
0.366211E-02,0.111916E-01,-0.364421E-01
0.427246E-02,0.130568E-01,0.122639E-01
0.488281E-02,0.149221E-01,0.916762E-01
0.549316E-02,0.167874E-01,0.277042
0.610352E-02,0.186526E-01,-0.645973E-01
0.671387E-02,0.205179E-01,-0.198022E-01
0.732422E-02,0.223831E-01,-0.470860
0.793457E-02,0.242484E-01,0.569412
0.854492E-02,0.261137E-01,-0.604013E-01
0.915527E-02,0.279789E-01,0.155740
0.976562E-02,0.298442E-01,0.263864
0.103760E-01,0.317095E-01,-0.137916
0.109863E-01,0.335747E-01,-0.697931E-02
0.115967E-01,0.354400E-01,-0.278748E-01
0.122070E-01,0.373052E-01,0.294529
0.128174E-01,0.391705E-01,0.964887E-01
0.134277E-01,0.410358E-01,-0.123032
0.140381E-01,0.429010E-01,1.32132
0.146484E-01,0.447663E-01,-0.210891E-01
0.152588E-01,0.466316E-01,0.128738
0.158691E-01,0.484968E-01,0.370178
0.164795E-01,0.503621E-01,0.393277
0.170898E-01,0.522273E-01,0.443697
0.177002E-01,0.540926E-01,0.138322E-01
0.183105E-01,0.559579E-01,-0.404666
0.189209E-01,0.578231E-01,0.392746E-01
0.195312E-01,0.596884E-01,0.301413
0.201416E-01,0.615537E-01,0.593127
0.207520E-01,0.634189E-01,-0.861300E-01
0.213623E-01,0.652842E-01,0.125075E-01
0.219727E-01,0.671494E-01,0.328811
0.225830E-01,0.690147E-01,1.77646
0.231934E-01,0.708800E-01,0.561954
0.238037E-01,0.727452E-01,0.879835E-01
0.244141E-01,0.746105E-01,0.232153
0.250244E-01,0.764758E-01,0.307730
0.256348E-01,0.783410E-01,0.234307
0.262451E-01,0.802063E-01,-0.663168E-01
0.268555E-01,0.820715E-01,0.638366E-01
0.274658E-01,0.839368E-01,-0.250552
0.280762E-01,0.858021E-01,-0.373204
0.286865E-01,0.876673E-01,0.515670
0.292969E-01,0.895326E-01,-0.475884
0.299072E-01,0.913979E-01,0.737044
0.305176E-01,0.932631E-01,0.184159
