Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  2.622
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.1420888361260729E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.222546E-02,-0.381715E-01
0.122070E-02,0.445091E-02,0.261522E-01
0.183105E-02,0.667637E-02,0.389258E-01
0.244141E-02,0.890182E-02,0.171660
0.305176E-02,0.111273E-01,0.181189
0.366211E-02,0.133527E-01,0.156199E-02
0.427246E-02,0.155782E-01,0.244319
0.488281E-02,0.178036E-01,-0.568789E-01
0.549316E-02,0.200291E-01,0.775645E-01
0.610352E-02,0.222546E-01,0.172287
0.671387E-02,0.244800E-01,0.482547E-02
0.732422E-02,0.267055E-01,-0.372027E-02
0.793457E-02,0.289309E-01,0.144189
0.854492E-02,0.311564E-01,0.405659
0.915527E-02,0.333818E-01,0.638764E-01
0.976562E-02,0.356073E-01,0.359444
0.103760E-01,0.378327E-01,0.116980
0.109863E-01,0.400582E-01,-0.344134
0.115967E-01,0.422837E-01,0.369278E-02
0.122070E-01,0.445091E-01,0.734661E-01
0.128174E-01,0.467346E-01,0.243786
0.134277E-01,0.489600E-01,0.351629E-01
0.140381E-01,0.511855E-01,0.303233
0.146484E-01,0.534109E-01,0.162667
0.152588E-01,0.556364E-01,0.642477E-01
0.158691E-01,0.578619E-01,0.115778E-02
0.164795E-01,0.600873E-01,0.199049
0.170898E-01,0.623128E-01,-0.781431E-02
0.177002E-01,0.645382E-01,0.189763
0.183105E-01,0.667637E-01,0.613788E-02
0.189209E-01,0.689891E-01,0.154014
0.195312E-01,0.712146E-01,0.598594E-01
0.201416E-01,0.734400E-01,0.887275
0.207520E-01,0.756655E-01,0.313352
0.213623E-01,0.778910E-01,0.298704
0.219727E-01,0.801164E-01,0.602172E-01
0.225830E-01,0.823419E-01,0.983703
0.231934E-01,0.845673E-01,-0.107768E-01
0.238037E-01,0.867928E-01,0.246139
0.244141E-01,0.890182E-01,0.694574
0.250244E-01,0.912437E-01,0.857720
0.256348E-01,0.934691E-01,-0.920064E-01
0.262451E-01,0.956946E-01,0.319331
0.268555E-01,0.979201E-01,0.672885
0.274658E-01,0.100146,0.239139
0.280762E-01,0.102371,1.41358
0.286865E-01,0.104596,-0.206067
0.292969E-01,0.106822,0.299860
0.299072E-01,0.109047,0.145736E-01
0.305176E-01,0.111273,1.18504
0.311279E-01,0.113498,0.339577
0.317383E-01,0.115724,0.280366
0.323486E-01,0.117949,0.113487
0.329590E-01,0.120175,0.107115
0.335693E-01,0.122400,0.287395
0.341797E-01,0.124626,0.270835
0.347900E-01,0.126851,-0.576104
0.354004E-01,0.129076,0.537847E-01
0.360107E-01,0.131302,0.667776
0.366211E-01,0.133527,0.941245E-01
0.372314E-01,0.135753,0.555053
0.378418E-01,0.137978,0.964620
0.384521E-01,0.140204,0.136272
0.390625E-01,0.142429,-0.148059
0.396729E-01,0.144655,0.462924
0.402832E-01,0.146880,0.438924
0.408936E-01,0.149106,-0.276195E-01
0.415039E-01,0.151331,0.499721
0.421143E-01,0.153556,-0.881722E-01
0.427246E-01,0.155782,0.164546
0.433350E-01,0.158007,0.120756
0.439453E-01,0.160233,0.556399
0.445557E-01,0.162458,-0.624088
