Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  1.635
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.0790782645357844E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.356925E-02,0.748083E-01
0.122070E-02,0.713850E-02,0.133057E-02
0.183105E-02,0.107077E-01,0.107476
0.244141E-02,0.142770E-01,0.126037
0.305176E-02,0.178462E-01,0.336410
0.366211E-02,0.214155E-01,0.384337
0.427246E-02,0.249847E-01,-0.599955E-01
0.488281E-02,0.285540E-01,0.959020E-01
0.549316E-02,0.321232E-01,-0.891604E-01
0.610352E-02,0.356925E-01,-0.252778
0.671387E-02,0.392617E-01,-0.210744
0.732422E-02,0.428310E-01,0.121653
0.793457E-02,0.464002E-01,-0.359269E-01
0.854492E-02,0.499695E-01,0.640585E-01
0.915527E-02,0.535387E-01,0.556339
0.976562E-02,0.571080E-01,0.814234E-01
0.103760E-01,0.606772E-01,-0.201077E-01
0.109863E-01,0.642465E-01,0.841412
0.115967E-01,0.678157E-01,0.282146
0.122070E-01,0.713850E-01,0.646064E-01
0.128174E-01,0.749542E-01,0.797493
0.134277E-01,0.785235E-01,1.47191
0.140381E-01,0.820927E-01,0.689755E-01
0.146484E-01,0.856619E-01,0.294939
0.152588E-01,0.892312E-01,-0.231957E-01
0.158691E-01,0.928004E-01,-0.260510E-01
0.164795E-01,0.963697E-01,0.356883
0.170898E-01,0.999389E-01,0.290269
0.177002E-01,0.103508,0.907507E-01
0.183105E-01,0.107077,0.628106E-01
0.189209E-01,0.110647,-0.146817
0.195312E-01,0.114216,0.174595
0.201416E-01,0.117785,-0.154180
0.207520E-01,0.121354,0.408168
0.213623E-01,0.124924,-0.357307E-01
0.219727E-01,0.128493,-0.114176E-02
0.225830E-01,0.132062,-0.145803E-01
0.231934E-01,0.135631,0.100872
0.238037E-01,0.139201,-0.206072
0.244141E-01,0.142770,0.509070E-01
0.250244E-01,0.146339,-0.195449
0.256348E-01,0.149908,0.770893
0.262451E-01,0.153478,-0.318175
0.268555E-01,0.157047,0.271265E-01
0.274658E-01,0.160616,0.333730E-02
0.280762E-01,0.164185,0.680722E-01
0.286865E-01,0.167755,-0.141062
0.292969E-01,0.171324,0.832913
0.299072E-01,0.174893,0.396794
0.305176E-01,0.178462,0.243174
0.311279E-01,0.182032,0.567002
0.317383E-01,0.185601,0.221136
0.323486E-01,0.189170,0.312597
0.329590E-01,0.192739,-0.318621
0.335693E-01,0.196309,0.545482
0.341797E-01,0.199878,0.720795
0.347900E-01,0.203447,-0.137907
0.354004E-01,0.207016,-0.355120
0.360107E-01,0.210586,-0.237973
0.366211E-01,0.214155,0.132787
0.372314E-01,0.217724,0.921998E-01
0.378418E-01,0.221293,0.619244
0.384521E-01,0.224863,-0.215003E-01
0.390625E-01,0.228432,-0.346248
0.396729E-01,0.232001,0.832838E-02
0.402832E-01,0.235570,0.142134
0.408936E-01,0.239140,-0.126588E-01
0.415039E-01,0.242709,0.102959
0.421143E-01,0.246278,0.289716
0.427246E-01,0.249847,-0.673128
0.433350E-01,0.253417,0.190901
0.439453E-01,0.256986,-0.838554E-01
0.445557E-01,0.260555,-0.136613E-01
0.451660E-01,0.264124,0.990868
0.457764E-01,0.267694,-0.852472E-01
0.463867E-01,0.271263,-0.438367E-02
0.469971E-01,0.274832,-0.544674E-01
0.476074E-01,0.278401,0.127801
0.482178E-01,0.281971,0.675037
0.488281E-01,0.285540,0.251524E-01
0.494385E-01,0.289109,0.665825
0.500488E-01,0.292678,0.569480
0.506592E-01,0.296248,0.624362
0.512695E-01,0.299817,-0.128870
0.518799E-01,0.303386,-0.120642
0.524902E-01,0.306955,-0.109041
0.531006E-01,0.310525,0.481105
0.537109E-01,0.314094,0.155506
0.543213E-01,0.317663,0.890765
0.549316E-01,0.321232,0.764844
0.555420E-01,0.324802,0.663855
0.561523E-01,0.328371,0.758373E-01
0.567627E-01,0.331940,-0.778472E-01
0.573730E-01,0.335509,0.464710E-01
0.579834E-01,0.339079,-0.302132
0.585938E-01,0.342648,0.191060
0.592041E-01,0.346217,0.628299
0.598145E-01,0.349786,0.115582
0.604248E-01,0.353356,-0.194423
0.610352E-01,0.356925,0.569828E-01
0.616455E-01,0.360494,0.240063
0.622559E-01,0.364063,0.523366
0.628662E-01,0.367633,0.202377E-01
0.634766E-01,0.371202,0.136469
0.640869E-01,0.374771,0.368766
0.646973E-01,0.378340,-0.127459
0.653076E-01,0.381910,0.221910
0.659180E-01,0.385479,0.500738
0.665283E-01,0.389048,0.536892
0.671387E-01,0.392617,-0.255462
0.677490E-01,0.396187,0.580517E-01
0.683594E-01,0.399756,-0.112933
0.689697E-01,0.403325,-0.854318E-02
0.695801E-01,0.406894,0.640002
0.701904E-01,0.410463,0.965895
0.708008E-01,0.414033,0.186890
0.714111E-01,0.417602,-0.111596
0.720215E-01,0.421171,0.309057
0.726318E-01,0.424740,-0.427797
0.732422E-01,0.428310,1.11445
0.738525E-01,0.431879,-0.541608E-01
0.744629E-01,0.435448,0.376012
0.750732E-01,0.439017,1.31474
0.756836E-01,0.442587,0.218849
0.762939E-01,0.446156,0.165148
0.769043E-01,0.449725,0.657712
0.775146E-01,0.453294,-0.882180E-01
0.781250E-01,0.456864,0.960665
0.787354E-01,0.460433,-0.863761E-02
0.793457E-01,0.464002,0.881859E-02
0.799561E-01,0.467571,0.125843
0.805664E-01,0.471141,0.406339
0.811768E-01,0.474710,0.146039
0.817871E-01,0.478279,0.865439E-01
0.823975E-01,0.481848,0.404164
0.830078E-01,0.485418,0.583799E-01
0.836182E-01,0.488987,0.232308
0.842285E-01,0.492556,-0.210703
0.848389E-01,0.496125,-0.844928E-01
0.854492E-01,0.499695,0.271770
0.860596E-01,0.503264,0.808509
0.866699E-01,0.506833,0.105704
0.872803E-01,0.510402,-0.347376
0.878906E-01,0.513972,0.501055
0.885010E-01,0.517541,0.312684
0.891113E-01,0.521110,-0.133194
0.897217E-01,0.524679,0.104757
0.903320E-01,0.528249,0.626832
0.909424E-01,0.531818,-0.179590
0.915527E-01,0.535387,-0.160371E-02
0.921631E-01,0.538956,-0.332699
0.927734E-01,0.542526,0.361593E-01
0.933838E-01,0.546095,0.314008
0.939941E-01,0.549664,0.158590
0.946045E-01,0.553233,0.270523
0.952148E-01,0.556803,0.519658E-01
0.958252E-01,0.560372,0.884382
0.964355E-01,0.563941,0.179704
0.970459E-01,0.567510,0.104825
0.976562E-01,0.571080,0.262392
0.982666E-01,0.574649,-0.157701
0.988770E-01,0.578218,-0.602504E-01
0.994873E-01,0.581787,-1.17921
0.100098,0.585357,-0.217419
0.100708,0.588926,0.330765E-01
0.101318,0.592495,0.325405
0.101929,0.596064,0.308039
0.102539,0.599634,0.904625
0.103149,0.603203,0.451201
0.103760,0.606772,0.650334E-01
0.104370,0.610341,-0.365281
0.104980,0.613911,1.26161
0.105591,0.617480,0.225177
0.106201,0.621049,-0.579366
0.106812,0.624618,0.273777
0.107422,0.628188,-0.170941
0.108032,0.631757,0.142549E-02
0.108643,0.635326,-0.131798
0.109253,0.638895,0.255472
0.109863,0.642465,0.675669
0.110474,0.646034,0.103155
0.111084,0.649603,1.02212
0.111694,0.653172,-0.334973
0.112305,0.656742,0.134533
0.112915,0.660311,0.475959
0.113525,0.663880,-0.415343
0.114136,0.667449,0.880619E-01
0.114746,0.671019,0.343897
0.115356,0.674588,-0.232356E-01
0.115967,0.678157,0.707180E-01
0.116577,0.681726,0.180261E-01
0.117188,0.685296,0.173004
0.117798,0.688865,0.129677
0.118408,0.692434,0.968405E-01
0.119019,0.696003,0.113600
0.119629,0.699573,-0.120752
0.120239,0.703142,0.124308
0.120850,0.706711,0.709927
0.121460,0.710280,0.186210
0.122070,0.713850,0.276665
0.122681,0.717419,-0.732824E-01
0.123291,0.720988,0.376485
0.123901,0.724557,-0.433373E-01
0.124512,0.728127,0.111803
0.125122,0.731696,-0.281024E-01
0.125732,0.735265,0.135599
0.126343,0.738834,0.450197
0.126953,0.742404,0.346404E-01
0.127563,0.745973,0.112652
0.128174,0.749542,0.645319E-01
0.128784,0.753111,-0.107365
0.129395,0.756681,0.111739
0.130005,0.760250,-0.500606
0.130615,0.763819,0.342748
0.131226,0.767388,0.944388
0.131836,0.770958,-0.238902
0.132446,0.774527,0.432027E-01
0.133057,0.778096,-0.163598
0.133667,0.781665,0.256736
0.134277,0.785235,-0.156202
0.134888,0.788804,0.473593
0.135498,0.792373,-0.264612
0.136108,0.795942,0.142344
0.136719,0.799512,0.133030
0.137329,0.803081,0.147318
0.137939,0.806650,-0.280177
0.138550,0.810219,-0.692644E-02
0.139160,0.813788,-0.574954E-01
0.139771,0.817358,-0.184623
0.140381,0.820927,0.108136
0.140991,0.824496,-0.320251E-01
0.141602,0.828065,-0.282188
0.142212,0.831635,0.757725E-02
0.142822,0.835204,-0.208817
0.143433,0.838773,0.237759
0.144043,0.842342,-0.126636
0.144653,0.845912,0.679809
0.145264,0.849481,0.526043
0.145874,0.853050,0.300872
0.146484,0.856619,-0.154954
0.147095,0.860189,0.171607
0.147705,0.863758,0.483219E-01
0.148315,0.867327,0.695841E-02
0.148926,0.870896,0.421136
0.149536,0.874466,-0.620605E-01
0.150146,0.878035,0.419960
0.150757,0.881604,0.132492
0.151367,0.885173,0.155959E-01
0.151978,0.888743,0.344444E-01
0.152588,0.892312,0.108004
0.153198,0.895881,0.149951
0.153809,0.899450,0.212630E-01
0.154419,0.903020,-0.123517
0.155029,0.906589,0.112906
0.155640,0.910158,-0.125591
0.156250,0.913727,0.962784
0.156860,0.917297,-0.253248E-01
0.157471,0.920866,-0.826516E-01
0.158081,0.924435,-0.386051
0.158691,0.928004,0.359044
0.159302,0.931574,0.170202E-01
0.159912,0.935143,-0.781886E-01
0.160522,0.938712,-0.125981
0.161133,0.942281,-0.283982
0.161743,0.945851,0.500686
0.162354,0.949420,0.557224
0.162964,0.952989,-0.162367
0.163574,0.956558,0.515817
0.164185,0.960128,-0.155706
0.164795,0.963697,0.266513
0.165405,0.967266,0.559213
0.166016,0.970835,0.133032
0.166626,0.974405,0.953767E-01
0.167236,0.977974,-0.261639E-01
0.167847,0.981543,0.155647
0.168457,0.985112,0.232672
0.169067,0.988682,0.421886E-01
0.169678,0.992251,0.973123
0.170288,0.995820,0.123468
0.170898,0.999389,-0.207462
0.171509,1.00296,0.176606
0.172119,1.00653,-0.467662E-01
0.172729,1.01010,0.817266
0.173340,1.01367,-0.615999
0.173950,1.01724,0.384334E-01
0.174561,1.02080,0.226432
0.175171,1.02437,0.702328
0.175781,1.02794,0.399648
0.176392,1.03151,0.144502
0.177002,1.03508,-0.196132
0.177612,1.03865,-0.130818
0.178223,1.04222,-0.232199
0.178833,1.04579,0.409881
0.179443,1.04936,0.389632
0.180054,1.05293,0.278029E-01
0.180664,1.05650,-0.143485
0.181274,1.06007,0.445618
0.181885,1.06364,0.465608E-01
0.182495,1.06721,0.843976E-01
0.183105,1.07077,0.372661
0.183716,1.07434,-0.177834
0.184326,1.07791,0.843067
0.184937,1.08148,-0.482267E-01
0.185547,1.08505,-0.273920
0.186157,1.08862,0.232112
0.186768,1.09219,0.363331
0.187378,1.09576,-0.285777E-01
0.187988,1.09933,-0.482226
0.188599,1.10290,0.479635
0.189209,1.10647,0.779948E-01
0.189819,1.11004,0.856111E-01
0.190430,1.11361,-0.365502
0.191040,1.11717,0.330184
0.191650,1.12074,1.27135
0.192261,1.12431,-0.144130E-02
0.192871,1.12788,-0.265753
0.193481,1.13145,-0.457054
0.194092,1.13502,-0.115715
0.194702,1.13859,-0.251031
0.195312,1.14216,0.903811E-01
0.195923,1.14573,0.364292
0.196533,1.14930,0.203830
0.197144,1.15287,0.176767
0.197754,1.15644,0.377473
0.198364,1.16001,-0.645110E-02
0.198975,1.16357,0.839439
0.199585,1.16714,0.170699
0.200195,1.17071,0.438764
0.200806,1.17428,0.253513
0.201416,1.17785,-0.736058E-01
0.202026,1.18142,0.225104
0.202637,1.18499,-0.207706
0.203247,1.18856,0.357091
0.203857,1.19213,-0.188946
0.204468,1.19570,-0.228142
0.205078,1.19927,0.439621E-01
0.205688,1.20284,0.882072
0.206299,1.20641,0.651523
0.206909,1.20998,-0.240171E-01
0.207520,1.21354,-0.239171E-02
0.208130,1.21711,0.183050
0.208740,1.22068,0.208345
0.209351,1.22425,0.347340
0.209961,1.22782,-0.314453E-01
0.210571,1.23139,0.482544
0.211182,1.23496,0.137379
0.211792,1.23853,-0.953970E-02
0.212402,1.24210,0.692634
0.213013,1.24567,0.254127
0.213623,1.24924,0.414230
0.214233,1.25281,0.211124
0.214844,1.25638,-0.777327
0.215454,1.25994,0.267621
0.216064,1.26351,0.122074
0.216675,1.26708,0.564845E-01
0.217285,1.27065,0.957713
0.217896,1.27422,0.134394
0.218506,1.27779,1.02510
0.219116,1.28136,-0.646422E-01
0.219727,1.28493,0.591324E-01
0.220337,1.28850,0.345913
0.220947,1.29207,0.458920
0.221558,1.29564,0.158761
0.222168,1.29921,0.678441E-01
0.222778,1.30278,-0.266499
0.223389,1.30634,-0.101966
0.223999,1.30991,0.231997
0.224609,1.31348,1.13146
0.225220,1.31705,-0.270719
0.225830,1.32062,-0.726224E-01
0.226440,1.32419,0.377197E-01
0.227051,1.32776,-0.181092E-01
0.227661,1.33133,0.128264
0.228271,1.33490,0.119860
0.228882,1.33847,-0.829464E-02
0.229492,1.34204,0.108072
0.230103,1.34561,0.266963E-01
0.230713,1.34918,-0.142445
0.231323,1.35274,0.449919
0.231934,1.35631,-0.330579
