Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  0.380
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,4.6247627641692491E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.153366E-01,3.94519
0.122070E-02,0.306731E-01,-10.7219
0.183105E-02,0.460097E-01,5.62694
0.244141E-02,0.613462E-01,-0.717341E-01
0.305176E-02,0.766828E-01,0.214262
0.366211E-02,0.920194E-01,4.39152
0.427246E-02,0.107356,-0.764981E-01
0.488281E-02,0.122692,3.16826
0.549316E-02,0.138029,0.656411
0.610352E-02,0.153366,-1.58589
0.671387E-02,0.168702,-2.85225
0.732422E-02,0.184039,1.28699
0.793457E-02,0.199375,1.36872
0.854492E-02,0.214712,-0.332702
0.915527E-02,0.230048,-0.115689
0.976562E-02,0.245385,0.603800
0.103760E-01,0.260722,7.16521
0.109863E-01,0.276058,-1.12471
0.115967E-01,0.291395,1.57853
0.122070E-01,0.306731,5.93881
0.128174E-01,0.322068,-6.72387
0.134277E-01,0.337404,-3.29571
0.140381E-01,0.352741,0.723363
0.146484E-01,0.368077,0.314188
0.152588E-01,0.383414,1.00152
0.158691E-01,0.398751,-2.51018
0.164795E-01,0.414087,-4.64940
0.170898E-01,0.429424,1.60253
0.177002E-01,0.444760,1.84050
0.183105E-01,0.460097,-0.700053
0.189209E-01,0.475433,1.32573
0.195312E-01,0.490770,1.92339
0.201416E-01,0.506106,0.290186
0.207520E-01,0.521443,-2.36684
0.213623E-01,0.536780,-0.466564
0.219727E-01,0.552116,-0.623002
0.225830E-01,0.567453,-0.588096
0.231934E-01,0.582789,-1.26723
0.238037E-01,0.598126,0.630444
0.244141E-01,0.613462,0.499911
0.250244E-01,0.628799,-3.16376
0.256348E-01,0.644136,0.358552
0.262451E-01,0.659472,-0.269893
0.268555E-01,0.674809,0.245208
0.274658E-01,0.690145,-0.227567
0.280762E-01,0.705482,-0.478174
0.286865E-01,0.720818,-0.923736
0.292969E-01,0.736155,4.32460
0.299072E-01,0.751491,0.405709
0.305176E-01,0.766828,-0.185142
0.311279E-01,0.782165,-1.28409
0.317383E-01,0.797501,-2.47352
0.323486E-01,0.812838,-0.188234
0.329590E-01,0.828174,-0.357888
0.335693E-01,0.843511,1.27089
0.341797E-01,0.858847,0.786831
0.347900E-01,0.874184,0.352439
0.354004E-01,0.889520,0.277852
0.360107E-01,0.904857,0.193840
0.366211E-01,0.920194,1.31377
0.372314E-01,0.935530,0.641919
0.378418E-01,0.950867,3.82247
0.384521E-01,0.966203,-1.55284
0.390625E-01,0.981540,0.596528
0.396729E-01,0.996876,0.277385
0.402832E-01,1.01221,0.111775
0.408936E-01,1.02755,-0.199022
0.415039E-01,1.04289,-1.34684
0.421143E-01,1.05822,-0.875688
0.427246E-01,1.07356,-0.283794
0.433350E-01,1.08890,1.14694
0.439453E-01,1.10423,1.11705
0.445557E-01,1.11957,-2.58125
0.451660E-01,1.13491,0.102741
0.457764E-01,1.15024,-0.728568
0.463867E-01,1.16558,0.579403
0.469971E-01,1.18092,-0.697966
0.476074E-01,1.19625,-0.791045
0.482178E-01,1.21159,-1.26847
0.488281E-01,1.22692,1.31617
0.494385E-01,1.24226,0.236728
0.500488E-01,1.25760,0.233896
0.506592E-01,1.27293,-0.106701
0.512695E-01,1.28827,-1.28794
0.518799E-01,1.30361,-0.169914
0.524902E-01,1.31894,0.957032
0.531006E-01,1.33428,0.235881
0.537109E-01,1.34962,1.27982
0.543213E-01,1.36495,-2.97102
0.549316E-01,1.38029,-0.555435
0.555420E-01,1.39563,0.203504
0.561523E-01,1.41096,1.21507
0.567627E-01,1.42630,-0.357268
0.573730E-01,1.44164,-0.270526
0.579834E-01,1.45697,2.55819
0.585938E-01,1.47231,-2.28489
0.592041E-01,1.48765,1.34124
0.598145E-01,1.50298,-0.808112
0.604248E-01,1.51832,1.06186
0.610352E-01,1.53366,-0.219410
0.616455E-01,1.54899,0.412212
0.622559E-01,1.56433,0.119545
0.628662E-01,1.57967,1.17672
0.634766E-01,1.59500,-1.22871
0.640869E-01,1.61034,-1.00599
0.646973E-01,1.62568,-0.991277E-01
0.653076E-01,1.64101,-0.425934
0.659180E-01,1.65635,-3.22257
0.665283E-01,1.67168,0.302654E-02
0.671387E-01,1.68702,0.469145
0.677490E-01,1.70236,0.217726
0.683594E-01,1.71769,-0.341454E-01
0.689697E-01,1.73303,0.387853E-02
0.695801E-01,1.74837,-0.723154
0.701904E-01,1.76370,1.19774
0.708008E-01,1.77904,-1.67426
0.714111E-01,1.79438,-3.89205
0.720215E-01,1.80971,-0.619393
0.726318E-01,1.82505,-1.64013
0.732422E-01,1.84039,1.31488
0.738525E-01,1.85572,-0.955529
0.744629E-01,1.87106,-1.13430
0.750732E-01,1.88640,-2.51875
0.756836E-01,1.90173,-0.476392
0.762939E-01,1.91707,3.30199
0.769043E-01,1.93241,-1.45086
0.775146E-01,1.94774,-0.616111
0.781250E-01,1.96308,0.294888
0.787354E-01,1.97842,-0.119535
0.793457E-01,1.99375,0.662967
0.799561E-01,2.00909,-1.59621
0.805664E-01,2.02443,0.335329
0.811768E-01,2.03976,0.348706
0.817871E-01,2.05510,-0.227976E-01
0.823975E-01,2.07044,-1.37522
0.830078E-01,2.08577,-2.00107
0.836182E-01,2.10111,0.238401
0.842285E-01,2.11645,-0.614162
0.848389E-01,2.13178,0.289825
0.854492E-01,2.14712,-1.04991
0.860596E-01,2.16245,-0.241869E-02
0.866699E-01,2.17779,-1.01816
0.872803E-01,2.19313,0.633810
0.878906E-01,2.20846,0.270079
0.885010E-01,2.22380,-0.718027E-01
0.891113E-01,2.23914,-2.35243
0.897217E-01,2.25447,-3.53395
0.903320E-01,2.26981,-0.767134
0.909424E-01,2.28515,-3.62699
0.915527E-01,2.30048,-2.04009
0.921631E-01,2.31582,0.647710
0.927734E-01,2.33116,0.301178
0.933838E-01,2.34649,0.616104
0.939941E-01,2.36183,-0.340635
0.946045E-01,2.37717,-0.989917
0.952148E-01,2.39250,-1.28878
0.958252E-01,2.40784,1.25185
0.964355E-01,2.42318,0.581787
0.970459E-01,2.43851,1.80850
0.976562E-01,2.45385,1.11315
0.982666E-01,2.46919,-0.731912
0.988770E-01,2.48452,-0.415442
0.994873E-01,2.49986,0.666280E-01
0.100098,2.51520,-0.390781E-01
0.100708,2.53053,-1.11850
0.101318,2.54587,0.823550
0.101929,2.56121,0.490782
0.102539,2.57654,0.846102
0.103149,2.59188,-0.138650
0.103760,2.60722,-1.76100
0.104370,2.62255,-0.813368
0.104980,2.63789,0.506776
0.105591,2.65322,0.531711
0.106201,2.66856,-1.06341
0.106812,2.68390,0.744113
0.107422,2.69923,-1.33782
0.108032,2.71457,-1.05032
0.108643,2.72991,1.36392
0.109253,2.74524,-2.28421
0.109863,2.76058,1.97608
0.110474,2.77592,0.221584
0.111084,2.79125,-1.05800
0.111694,2.80659,0.244776
0.112305,2.82193,-3.42052
0.112915,2.83726,-0.727500
0.113525,2.85260,-0.776645
0.114136,2.86794,-0.960433E-01
0.114746,2.88327,-1.14394
0.115356,2.89861,-0.669745E-01
0.115967,2.91395,-1.22457
0.116577,2.92928,0.307874
0.117188,2.94462,0.459122E-01
0.117798,2.95996,-0.497340
0.118408,2.97529,1.82089
0.119019,2.99063,-0.556052
0.119629,3.00597,-0.104374
0.120239,3.02130,-0.105713E-01
0.120850,3.03664,-0.627637
0.121460,3.05198,-0.816940
0.122070,3.06731,0.412652
0.122681,3.08265,0.702434
0.123291,3.09799,0.199921
0.123901,3.11332,0.625241
0.124512,3.12866,-0.872198
0.125122,3.14399,0.183633
0.125732,3.15933,-0.189751
0.126343,3.17467,-0.112112
0.126953,3.19000,-0.442000
0.127563,3.20534,-0.678934
0.128174,3.22068,0.672954E-01
0.128784,3.23601,1.54323
0.129395,3.25135,-0.140603
0.130005,3.26669,0.474138
0.130615,3.28202,-1.06949
0.131226,3.29736,0.857162
0.131836,3.31270,1.18436
0.132446,3.32803,1.97757
0.133057,3.34337,1.37031
0.133667,3.35871,-1.29353
0.134277,3.37404,0.163217E-01
0.134888,3.38938,-0.331217
0.135498,3.40472,0.528754
0.136108,3.42005,-0.351163
0.136719,3.43539,1.42692
0.137329,3.45073,-1.60762
0.137939,3.46606,0.320388
0.138550,3.48140,-1.17242
0.139160,3.49674,0.362049
0.139771,3.51207,0.321406
0.140381,3.52741,0.435214
0.140991,3.54275,-1.16872
0.141602,3.55808,0.522489E-01
0.142212,3.57342,-0.312216
0.142822,3.58875,1.37592
0.143433,3.60409,0.718058
0.144043,3.61943,0.212315E-01
0.144653,3.63476,0.151176
0.145264,3.65010,0.295326
0.145874,3.66544,0.653041
0.146484,3.68077,-0.396740
0.147095,3.69611,0.412852E-01
0.147705,3.71145,0.275104E-01
0.148315,3.72678,0.421010
0.148926,3.74212,-0.104432
0.149536,3.75746,-1.28373
0.150146,3.77279,0.228912
0.150757,3.78813,-0.295533
0.151367,3.80347,-0.356273
0.151978,3.81880,0.296958
0.152588,3.83414,-0.903000
0.153198,3.84948,-0.747072
0.153809,3.86481,-0.546078
0.154419,3.88015,0.183749
0.155029,3.89549,-0.109126
0.155640,3.91082,0.139600
0.156250,3.92616,-1.45832
0.156860,3.94150,-0.426904
0.157471,3.95683,0.267238
0.158081,3.97217,-2.91198
0.158691,3.98751,-0.395444
0.159302,4.00284,0.605358
0.159912,4.01818,-0.641712
0.160522,4.03352,0.901764
0.161133,4.04885,-0.352326E-01
0.161743,4.06419,0.819415E-01
0.162354,4.07952,0.277217E-03
0.162964,4.09486,1.78519
0.163574,4.11020,0.838728
0.164185,4.12553,-0.467568
0.164795,4.14087,-0.494956
0.165405,4.15621,1.59430
0.166016,4.17154,-0.690213
0.166626,4.18688,-0.997191
0.167236,4.20222,0.202900
0.167847,4.21755,-0.778741E-01
0.168457,4.23289,0.550748
0.169067,4.24823,0.223437
0.169678,4.26356,0.328038
0.170288,4.27890,-0.929916
0.170898,4.29424,-0.234945
0.171509,4.30957,-0.182785
0.172119,4.32491,0.606350
0.172729,4.34025,-1.17450
0.173340,4.35558,-0.392965
0.173950,4.37092,0.810079
0.174561,4.38626,0.161237
0.175171,4.40159,0.553015E-01
0.175781,4.41693,-1.27191
0.176392,4.43227,-0.851123E-01
0.177002,4.44760,-0.515853E-02
0.177612,4.46294,0.294853
0.178223,4.47828,-0.710148
