Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  0.180
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-8.1278293104462373E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.323270E-01,1.04155
0.122070E-02,0.646541E-01,-1.14689
0.183105E-02,0.969811E-01,-3.84778
0.244141E-02,0.129308,-2.82475
0.305176E-02,0.161635,-0.548008
0.366211E-02,0.193962,-1.34939
0.427246E-02,0.226289,-0.485202
0.488281E-02,0.258616,-3.25357
0.549316E-02,0.290943,1.30207
0.610352E-02,0.323270,1.35310
0.671387E-02,0.355597,-0.184900
0.732422E-02,0.387924,0.947158
0.793457E-02,0.420251,0.306356
0.854492E-02,0.452578,0.457750
0.915527E-02,0.484905,1.14759
0.976562E-02,0.517232,-1.95308
0.103760E-01,0.549560,-0.806399
0.109863E-01,0.581887,0.827434
0.115967E-01,0.614214,1.12471
0.122070E-01,0.646541,-0.301421
0.128174E-01,0.678868,0.299726
0.134277E-01,0.711195,0.931291
0.140381E-01,0.743522,4.38125
0.146484E-01,0.775849,5.18352
0.152588E-01,0.808176,3.15293
0.158691E-01,0.840503,1.63000
0.164795E-01,0.872830,-1.66550
0.170898E-01,0.905157,-0.608426E-01
0.177002E-01,0.937484,-0.569184
0.183105E-01,0.969811,0.869535
0.189209E-01,1.00214,2.57289
0.195312E-01,1.03446,1.05474
0.201416E-01,1.06679,1.35037
0.207520E-01,1.09912,-1.14224
0.213623E-01,1.13145,-0.725052E-01
0.219727E-01,1.16377,1.13410
0.225830E-01,1.19610,-0.155001
0.231934E-01,1.22843,0.199511
0.238037E-01,1.26075,1.28061
0.244141E-01,1.29308,1.40336
0.250244E-01,1.32541,1.74355
0.256348E-01,1.35774,3.15182
0.262451E-01,1.39006,2.41391
0.268555E-01,1.42239,0.726406
0.274658E-01,1.45472,1.89405
0.280762E-01,1.48704,-0.349905
0.286865E-01,1.51937,0.849143
0.292969E-01,1.55170,3.92849
0.299072E-01,1.58402,0.139865
0.305176E-01,1.61635,0.795274E-01
0.311279E-01,1.64868,0.623498
0.317383E-01,1.68101,0.130162
0.323486E-01,1.71333,-1.38803
0.329590E-01,1.74566,-4.29509
0.335693E-01,1.77799,-1.23593
0.341797E-01,1.81031,1.44257
0.347900E-01,1.84264,-0.125277
0.354004E-01,1.87497,0.351587
0.360107E-01,1.90729,0.185678
0.366211E-01,1.93962,0.203648
0.372314E-01,1.97195,0.764579
0.378418E-01,2.00428,0.747149
0.384521E-01,2.03660,1.92216
0.390625E-01,2.06893,-0.154470
0.396729E-01,2.10126,-1.63114
