Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  1.449
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,6.0339220548961243E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.402770E-02,0.532040E-02
0.122070E-02,0.805540E-02,0.247291E-01
0.183105E-02,0.120831E-01,0.189649
0.244141E-02,0.161108E-01,-0.103675
0.305176E-02,0.201385E-01,0.271836
0.366211E-02,0.241662E-01,0.914561E-01
0.427246E-02,0.281939E-01,-0.974814E-02
0.488281E-02,0.322216E-01,0.449255E-01
0.549316E-02,0.362493E-01,-0.105787
0.610352E-02,0.402770E-01,0.859190E-01
0.671387E-02,0.443047E-01,0.501852E-02
0.732422E-02,0.483324E-01,0.163138
0.793457E-02,0.523601E-01,0.405281
0.854492E-02,0.563878E-01,-0.247199
0.915527E-02,0.604155E-01,0.650790E-01
0.976562E-02,0.644432E-01,1.12154
0.103760E-01,0.684709E-01,0.468080
0.109863E-01,0.724986E-01,0.430139
0.115967E-01,0.765263E-01,0.411574
0.122070E-01,0.805540E-01,0.236425
0.128174E-01,0.845817E-01,-0.648399E-02
0.134277E-01,0.886094E-01,-0.518447E-01
0.140381E-01,0.926371E-01,0.288440
0.146484E-01,0.966648E-01,0.122448
0.152588E-01,0.100693,0.562121
0.158691E-01,0.104720,0.295781
0.164795E-01,0.108748,1.67749
0.170898E-01,0.112776,0.819188E-01
0.177002E-01,0.116803,0.646617E-01
0.183105E-01,0.120831,1.12429
0.189209E-01,0.124859,-0.140284
0.195312E-01,0.128886,-0.283578E-01
0.201416E-01,0.132914,-0.100736
0.207520E-01,0.136942,0.303255E-01
0.213623E-01,0.140970,0.493326E-01
0.219727E-01,0.144997,0.301392E-01
