Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  0.708
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,3.4713658719983629E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.824014E-02,-0.564923
0.122070E-02,0.164803E-01,6.41708
0.183105E-02,0.247204E-01,-6.47221
0.244141E-02,0.329606E-01,5.61596
0.305176E-02,0.412007E-01,0.954354
0.366211E-02,0.494408E-01,1.61876
0.427246E-02,0.576810E-01,3.00794
0.488281E-02,0.659211E-01,-3.60191
0.549316E-02,0.741613E-01,-1.71740
0.610352E-02,0.824014E-01,-1.12510
0.671387E-02,0.906415E-01,6.09980
0.732422E-02,0.988817E-01,-7.28004
0.793457E-02,0.107122,-0.243980
0.854492E-02,0.115362,0.503820
0.915527E-02,0.123602,-3.24636
0.976562E-02,0.131842,-2.41014
0.103760E-01,0.140082,1.84230
0.109863E-01,0.148323,-0.605185
0.115967E-01,0.156563,0.774292
0.122070E-01,0.164803,-1.08959
0.128174E-01,0.173043,0.679806
0.134277E-01,0.181283,-0.342536
0.140381E-01,0.189523,-0.695019
0.146484E-01,0.197763,-0.442396
0.152588E-01,0.206003,0.783184
0.158691E-01,0.214244,0.155686
0.164795E-01,0.222484,0.732705
0.170898E-01,0.230724,0.170005
0.177002E-01,0.238964,-0.118123
0.183105E-01,0.247204,-0.231758
0.189209E-01,0.255444,-0.506155
0.195312E-01,0.263684,-0.545372
0.201416E-01,0.271925,-0.793081
0.207520E-01,0.280165,0.402295
0.213623E-01,0.288405,-0.378549
0.219727E-01,0.296645,0.190331
0.225830E-01,0.304885,-0.882021
0.231934E-01,0.313125,0.207507
0.238037E-01,0.321365,-1.94798
0.244141E-01,0.329606,0.652408
0.250244E-01,0.337846,1.09380
0.256348E-01,0.346086,0.556612
0.262451E-01,0.354326,-1.16484
0.268555E-01,0.362566,-0.289696
0.274658E-01,0.370806,-0.890589
0.280762E-01,0.379046,0.264544
0.286865E-01,0.387287,0.705463
0.292969E-01,0.395527,-0.287151
0.299072E-01,0.403767,-0.880493E-01
0.305176E-01,0.412007,-1.02383
0.311279E-01,0.420247,0.115166
0.317383E-01,0.428487,-0.554927
0.323486E-01,0.436727,-1.03534
0.329590E-01,0.444968,0.386254
0.335693E-01,0.453208,-1.21849
0.341797E-01,0.461448,-0.701718
0.347900E-01,0.469688,-1.09434
0.354004E-01,0.477928,0.386826
0.360107E-01,0.486168,1.05314
0.366211E-01,0.494408,0.816967E-03
0.372314E-01,0.502648,0.697902E-01
0.378418E-01,0.510889,0.396433
0.384521E-01,0.519129,-0.333684
0.390625E-01,0.527369,0.422278E-01
0.396729E-01,0.535609,-0.126408
0.402832E-01,0.543849,-0.524718
0.408936E-01,0.552089,1.20005
0.415039E-01,0.560329,1.34907
0.421143E-01,0.568570,0.472277
0.427246E-01,0.576810,1.08100
0.433350E-01,0.585050,-0.398398
0.439453E-01,0.593290,0.692870E-01
0.445557E-01,0.601530,-0.716330E-02
0.451660E-01,0.609770,-0.133750E-01
0.457764E-01,0.618010,0.617996E-01
0.463867E-01,0.626251,0.989364
0.469971E-01,0.634491,-0.684173E-01
0.476074E-01,0.642731,-0.546507
0.482178E-01,0.650971,-2.42823
0.488281E-01,0.659211,-1.80151
0.494385E-01,0.667451,0.880933
0.500488E-01,0.675691,0.262775
0.506592E-01,0.683932,0.229201
0.512695E-01,0.692172,0.337222
0.518799E-01,0.700412,-0.418413
0.524902E-01,0.708652,-0.838075
0.531006E-01,0.716892,-0.292787
0.537109E-01,0.725132,-1.95656
0.543213E-01,0.733372,-0.515363E-01
0.549316E-01,0.741613,0.489712
0.555420E-01,0.749853,-0.418910
0.561523E-01,0.758093,0.740542
0.567627E-01,0.766333,-0.351603
0.573730E-01,0.774573,-0.382425
0.579834E-01,0.782813,0.772860
0.585938E-01,0.791053,0.127547
0.592041E-01,0.799293,-1.89713
0.598145E-01,0.807534,-0.482133E-01
0.604248E-01,0.815774,-1.26712
0.610352E-01,0.824014,0.469888
0.616455E-01,0.832254,-0.746270
0.622559E-01,0.840494,-0.247890
0.628662E-01,0.848734,-0.183793
0.634766E-01,0.856974,0.909656
0.640869E-01,0.865215,-1.30467
0.646973E-01,0.873455,0.542400
0.653076E-01,0.881695,0.845357E-01
0.659180E-01,0.889935,-0.292701
0.665283E-01,0.898175,0.151331
0.671387E-01,0.906415,-1.81777
0.677490E-01,0.914655,1.33701
0.683594E-01,0.922896,-1.49430
0.689697E-01,0.931136,-1.01880
0.695801E-01,0.939376,0.359228E-01
0.701904E-01,0.947616,0.188733
0.708008E-01,0.955856,1.45126
0.714111E-01,0.964096,-0.263949
0.720215E-01,0.972336,-3.52933
0.726318E-01,0.980577,-0.989219
0.732422E-01,0.988817,-0.787624
0.738525E-01,0.997057,-0.194020E-01
0.744629E-01,1.00530,-0.640321
0.750732E-01,1.01354,0.310947
0.756836E-01,1.02178,-0.397483
0.762939E-01,1.03002,-0.528803
0.769043E-01,1.03826,0.163897
0.775146E-01,1.04650,0.176614
0.781250E-01,1.05474,-0.379864
0.787354E-01,1.06298,-0.967203
0.793457E-01,1.07122,-1.35342
0.799561E-01,1.07946,0.158924
0.805664E-01,1.08770,-0.875155
0.811768E-01,1.09594,0.316149
0.817871E-01,1.10418,-1.27403
0.823975E-01,1.11242,0.560341
0.830078E-01,1.12066,-2.36501
0.836182E-01,1.12890,0.206933
0.842285E-01,1.13714,0.191561
0.848389E-01,1.14538,-0.414289
0.854492E-01,1.15362,-0.623869E-01
0.860596E-01,1.16186,-0.194711E-01
0.866699E-01,1.17010,-0.463104
0.872803E-01,1.17834,-0.563736
0.878906E-01,1.18658,-0.585380E-01
0.885010E-01,1.19482,0.209168
0.891113E-01,1.20306,1.70870
0.897217E-01,1.21130,0.319085
0.903320E-01,1.21954,-0.158293E-01
0.909424E-01,1.22778,-0.190808E-01
0.915527E-01,1.23602,0.445047
0.921631E-01,1.24426,1.10169
0.927734E-01,1.25250,-0.512983
0.933838E-01,1.26074,-0.590771
0.939941E-01,1.26898,-0.360777E-01
0.946045E-01,1.27722,-0.643180
0.952148E-01,1.28546,0.129901
0.958252E-01,1.29370,-0.715775
0.964355E-01,1.30194,-0.450213
0.970459E-01,1.31018,-0.430384
0.976562E-01,1.31842,-0.426679
0.982666E-01,1.32666,-1.05373
0.988770E-01,1.33490,-0.166752
0.994873E-01,1.34314,0.319635
0.100098,1.35138,-0.129000
0.100708,1.35962,-1.68897
0.101318,1.36786,-0.434165
0.101929,1.37610,-0.143387
0.102539,1.38434,-0.706933E-01
0.103149,1.39258,-0.148140
0.103760,1.40082,0.199623
0.104370,1.40906,-0.473934
0.104980,1.41730,0.659157
0.105591,1.42554,0.538479
0.106201,1.43378,0.372710
0.106812,1.44202,-0.710705
0.107422,1.45026,0.817998E-01
0.108032,1.45850,0.243423
0.108643,1.46674,-0.551939E-01
0.109253,1.47498,0.653456E-01
0.109863,1.48323,-0.275001
0.110474,1.49147,-0.588401E-01
0.111084,1.49971,0.307304E-01
0.111694,1.50795,0.366536E-01
0.112305,1.51619,-0.220211
0.112915,1.52443,-1.08699
0.113525,1.53267,-0.644978
0.114136,1.54091,-0.290688
0.114746,1.54915,-0.908869
0.115356,1.55739,-0.203769
0.115967,1.56563,-0.583395
0.116577,1.57387,-0.600460
0.117188,1.58211,-0.290813
0.117798,1.59035,0.187413
0.118408,1.59859,0.470660
0.119019,1.60683,0.459740
0.119629,1.61507,0.211113
0.120239,1.62331,0.273331
0.120850,1.63155,0.273258
0.121460,1.63979,-0.454224
0.122070,1.64803,0.196259
0.122681,1.65627,-0.409745
0.123291,1.66451,-0.926751
0.123901,1.67275,-0.187862
0.124512,1.68099,-0.102907
0.125122,1.68923,-0.280266
0.125732,1.69747,-0.821384
0.126343,1.70571,-0.980122
0.126953,1.71395,-0.623638
0.127563,1.72219,-0.213349E-01
0.128174,1.73043,-0.776033E-01
0.128784,1.73867,0.502564
0.129395,1.74691,-0.928834
0.130005,1.75515,0.388601
0.130615,1.76339,0.479469
0.131226,1.77163,-1.06150
0.131836,1.77987,-1.00184
0.132446,1.78811,1.09753
0.133057,1.79635,0.514630
0.133667,1.80459,0.550900E-01
0.134277,1.81283,-0.627321
0.134888,1.82107,0.368460
0.135498,1.82931,0.787146
0.136108,1.83755,-0.187116
0.136719,1.84579,-1.66767
0.137329,1.85403,-0.484530
0.137939,1.86227,0.568824
0.138550,1.87051,0.747142
0.139160,1.87875,-0.654152E-01
0.139771,1.88699,-0.294911E-01
0.140381,1.89523,0.555716
0.140991,1.90347,1.54093
0.141602,1.91171,0.220388
0.142212,1.91995,0.178613
0.142822,1.92819,-0.124577
0.143433,1.93643,-1.23551
0.144043,1.94467,0.671505E-01
0.144653,1.95291,0.721628
0.145264,1.96115,2.16377
0.145874,1.96939,0.472624
0.146484,1.97763,-1.27400
0.147095,1.98587,-0.521286
0.147705,1.99411,-0.308110
0.148315,2.00235,0.592004
0.148926,2.01059,0.414552
0.149536,2.01883,-0.413561
0.150146,2.02707,-0.420639
0.150757,2.03531,-0.858639E-01
0.151367,2.04355,0.290446
0.151978,2.05179,-0.241505E-01
0.152588,2.06003,0.224183
0.153198,2.06827,-0.163936
0.153809,2.07652,-0.271707
0.154419,2.08476,-0.454810
0.155029,2.09300,0.628846
0.155640,2.10124,0.990703E-01
0.156250,2.10948,-0.659016
0.156860,2.11772,0.197274
0.157471,2.12596,0.112246
0.158081,2.13420,-0.519756
0.158691,2.14244,-0.361812
0.159302,2.15068,0.206833
0.159912,2.15892,0.427782
0.160522,2.16716,1.29332
0.161133,2.17540,-0.286038
0.161743,2.18364,-0.494969
0.162354,2.19188,-2.15908
0.162964,2.20012,-1.87457
0.163574,2.20836,0.642287E-01
0.164185,2.21660,0.106376
0.164795,2.22484,-0.277360
0.165405,2.23308,0.159940
0.166016,2.24132,0.135098
0.166626,2.24956,-0.206712
0.167236,2.25780,-1.23784
0.167847,2.26604,-0.372574
0.168457,2.27428,0.677073
0.169067,2.28252,1.13091
0.169678,2.29076,-0.525684
0.170288,2.29900,-1.75265
0.170898,2.30724,0.497117
