Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  1.713
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-1.6805325092861520E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.340634E-02,0.124617E-01
0.122070E-02,0.681268E-02,0.870162E-01
0.183105E-02,0.102190E-01,-0.262833E-02
0.244141E-02,0.136254E-01,-0.232510E-02
0.305176E-02,0.170317E-01,0.470765E-01
0.366211E-02,0.204380E-01,-0.946433E-01
0.427246E-02,0.238444E-01,0.384418
0.488281E-02,0.272507E-01,-0.246635E-01
0.549316E-02,0.306571E-01,0.402214E-01
0.610352E-02,0.340634E-01,0.372752
0.671387E-02,0.374698E-01,-0.159880
0.732422E-02,0.408761E-01,0.312649E-01
0.793457E-02,0.442824E-01,0.592327
0.854492E-02,0.476888E-01,0.243217
0.915527E-02,0.510951E-01,0.138917
0.976562E-02,0.545015E-01,0.260732
0.103760E-01,0.579078E-01,0.501355
0.109863E-01,0.613141E-01,0.316003
0.115967E-01,0.647205E-01,-0.125362E-02
0.122070E-01,0.681268E-01,0.322570
0.128174E-01,0.715332E-01,0.703312
0.134277E-01,0.749395E-01,0.352518
0.140381E-01,0.783459E-01,-0.720669E-01
0.146484E-01,0.817522E-01,0.269287
0.152588E-01,0.851585E-01,0.219836
0.158691E-01,0.885649E-01,0.410885
0.164795E-01,0.919712E-01,0.799242E-01
0.170898E-01,0.953776E-01,0.294117
0.177002E-01,0.987839E-01,0.358099
0.183105E-01,0.102190,-0.331359
0.189209E-01,0.105597,0.288160
0.195312E-01,0.109003,0.769328
0.201416E-01,0.112409,0.188038
0.207520E-01,0.115816,0.628763
0.213623E-01,0.119222,0.690645
0.219727E-01,0.122628,-0.787100E-01
0.225830E-01,0.126035,0.905210
0.231934E-01,0.129441,0.184920
0.238037E-01,0.132847,0.876565
0.244141E-01,0.136254,-0.377300
0.250244E-01,0.139660,0.535826
0.256348E-01,0.143066,0.556371
0.262451E-01,0.146473,-0.341937
0.268555E-01,0.149879,0.635219
0.274658E-01,0.153285,0.123104E-01
0.280762E-01,0.156692,0.629102
0.286865E-01,0.160098,-0.543883
0.292969E-01,0.163504,0.410596
0.299072E-01,0.166911,-0.256725E-01
0.305176E-01,0.170317,0.742366E-01
0.311279E-01,0.173723,1.22644
0.317383E-01,0.177130,0.251763
0.323486E-01,0.180536,0.512017
