Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  1.938
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,4.8055189819650755E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.301023E-02,0.605032E-02
0.122070E-02,0.602046E-02,0.175200E-02
0.183105E-02,0.903069E-02,0.105802
0.244141E-02,0.120409E-01,0.676827E-01
0.305176E-02,0.150511E-01,0.966381E-01
0.366211E-02,0.180614E-01,0.827176E-01
0.427246E-02,0.210716E-01,0.233695
0.488281E-02,0.240818E-01,0.608364
0.549316E-02,0.270921E-01,0.352466
0.610352E-02,0.301023E-01,0.109354
0.671387E-02,0.331125E-01,0.325617
0.732422E-02,0.361228E-01,0.152776E-01
0.793457E-02,0.391330E-01,0.138891
0.854492E-02,0.421432E-01,0.155135
0.915527E-02,0.451534E-01,0.215953
0.976562E-02,0.481637E-01,0.475774
0.103760E-01,0.511739E-01,-0.810586E-01
0.109863E-01,0.541841E-01,0.402396E-03
0.115967E-01,0.571944E-01,-0.180238E-02
0.122070E-01,0.602046E-01,0.790130
0.128174E-01,0.632148E-01,0.737573E-01
0.134277E-01,0.662250E-01,0.178452
0.140381E-01,0.692353E-01,0.284880E-02
0.146484E-01,0.722455E-01,0.992479
0.152588E-01,0.752557E-01,0.203344E-01
0.158691E-01,0.782660E-01,0.198114
0.164795E-01,0.812762E-01,0.460834
0.170898E-01,0.842864E-01,0.227442E-01
0.177002E-01,0.872967E-01,0.363273
0.183105E-01,0.903069E-01,-0.697412E-01
0.189209E-01,0.933171E-01,0.114984
0.195312E-01,0.963273E-01,0.505231E-02
0.201416E-01,0.993376E-01,0.281591E-01
0.207520E-01,0.102348,0.357278E-01
0.213623E-01,0.105358,0.984563
0.219727E-01,0.108368,0.312955
0.225830E-01,0.111378,0.632024
0.231934E-01,0.114389,0.719374E-01
0.238037E-01,0.117399,0.153438
0.244141E-01,0.120409,0.368404
0.250244E-01,0.123419,0.387850
0.256348E-01,0.126430,0.149128
0.262451E-01,0.129440,0.810685E-01
0.268555E-01,0.132450,1.82068
0.274658E-01,0.135460,0.197003E-01
0.280762E-01,0.138471,-0.609368E-02
0.286865E-01,0.141481,0.478457E-01
0.292969E-01,0.144491,0.379868E-01
0.299072E-01,0.147501,0.108417
0.305176E-01,0.150511,-0.195583
0.311279E-01,0.153522,0.129760
0.317383E-01,0.156532,0.282092
0.323486E-01,0.159542,-0.213467E-02
0.329590E-01,0.162552,0.225670E-01
0.335693E-01,0.165563,0.541545
0.341797E-01,0.168573,0.152598
0.347900E-01,0.171583,0.552466E-01
0.354004E-01,0.174593,0.129759E-01
0.360107E-01,0.177604,0.660677E-01
0.366211E-01,0.180614,0.636440
0.372314E-01,0.183624,0.747450
0.378418E-01,0.186634,0.671616
0.384521E-01,0.189644,0.226439
0.390625E-01,0.192655,0.215307
0.396729E-01,0.195665,0.526194
0.402832E-01,0.198675,-0.824024E-02
0.408936E-01,0.201685,-0.683643E-01
0.415039E-01,0.204696,0.485952E-02
0.421143E-01,0.207706,0.204737E-01
0.427246E-01,0.210716,0.823009
0.433350E-01,0.213726,0.373750
0.439453E-01,0.216737,0.222121
0.445557E-01,0.219747,0.518914
0.451660E-01,0.222757,-0.932912E-01
0.457764E-01,0.225767,0.397814
0.463867E-01,0.228777,0.278046E-01
0.469971E-01,0.231788,0.226602
0.476074E-01,0.234798,-0.183565
0.482178E-01,0.237808,0.115664
0.488281E-01,0.240818,-0.297075E-01
0.494385E-01,0.243829,-0.970720E-01
0.500488E-01,0.246839,0.506912
0.506592E-01,0.249849,-0.676338E-01
0.512695E-01,0.252859,0.221272
0.518799E-01,0.255870,0.516077E-01
0.524902E-01,0.258880,0.567439
0.531006E-01,0.261890,0.650798
0.537109E-01,0.264900,0.162808
0.543213E-01,0.267910,0.806773E-01
0.549316E-01,0.270921,0.561202E-01
0.555420E-01,0.273931,-0.364280E-01
0.561523E-01,0.276941,0.113499E-01
0.567627E-01,0.279951,0.268849
0.573730E-01,0.282962,0.104644
0.579834E-01,0.285972,0.415402
0.585938E-01,0.288982,0.129791
0.592041E-01,0.291992,0.153048
0.598145E-01,0.295002,0.780147E-01
0.604248E-01,0.298013,-0.172577E-01
0.610352E-01,0.301023,0.463028
0.616455E-01,0.304033,-0.866125E-01
0.622559E-01,0.307043,0.938938E-02
0.628662E-01,0.310054,0.727229
0.634766E-01,0.313064,-0.479410E-01
0.640869E-01,0.316074,-0.363310E-01
0.646973E-01,0.319084,0.228255
0.653076E-01,0.322095,0.328151
0.659180E-01,0.325105,0.125633
0.665283E-01,0.328115,0.179954
0.671387E-01,0.331125,0.121940
0.677490E-01,0.334135,0.313111E-01
0.683594E-01,0.337146,0.319978E-01
0.689697E-01,0.340156,0.801645E-02
0.695801E-01,0.343166,0.196998
0.701904E-01,0.346176,-0.344693
0.708008E-01,0.349187,0.458064
0.714111E-01,0.352197,-0.446051E-01
0.720215E-01,0.355207,0.116610
0.726318E-01,0.358217,-0.149347E-01
0.732422E-01,0.361228,0.723875E-01
0.738525E-01,0.364238,-0.658238E-01
0.744629E-01,0.367248,0.454358
0.750732E-01,0.370258,0.877278E-03
0.756836E-01,0.373268,0.113229
0.762939E-01,0.376279,-0.336608E-01
0.769043E-01,0.379289,-0.618856E-01
0.775146E-01,0.382299,0.155634
0.781250E-01,0.385309,0.125673
0.787354E-01,0.388320,-0.253307E-02
0.793457E-01,0.391330,0.733068E-01
0.799561E-01,0.394340,-0.539135E-01
0.805664E-01,0.397350,0.189695
0.811768E-01,0.400361,0.676403
0.817871E-01,0.403371,0.150169
0.823975E-01,0.406381,0.211978
0.830078E-01,0.409391,0.268023
0.836182E-01,0.412401,0.657961
0.842285E-01,0.415412,0.318248
0.848389E-01,0.418422,0.110528E-01
0.854492E-01,0.421432,0.364903
0.860596E-01,0.424442,-0.290394E-01
0.866699E-01,0.427453,-0.390772E-01
0.872803E-01,0.430463,0.481173
0.878906E-01,0.433473,0.510887E-01
0.885010E-01,0.436483,0.253079
0.891113E-01,0.439494,0.267432
0.897217E-01,0.442504,0.654556
0.903320E-01,0.445514,-0.427835E-01
0.909424E-01,0.448524,0.261410
0.915527E-01,0.451534,0.317560
0.921631E-01,0.454545,0.242106
0.927734E-01,0.457555,-0.808205E-01
0.933838E-01,0.460565,0.289011
0.939941E-01,0.463575,-0.285417E-01
0.946045E-01,0.466586,0.358802
0.952148E-01,0.469596,-0.288877E-01
0.958252E-01,0.472606,-0.470086E-02
0.964355E-01,0.475616,-0.821946E-01
0.970459E-01,0.478626,0.162788
0.976562E-01,0.481637,0.134750
0.982666E-01,0.484647,0.563351
0.988770E-01,0.487657,-0.200582E-02
0.994873E-01,0.490667,0.155698
0.100098,0.493678,0.130910
0.100708,0.496688,-0.264756
0.101318,0.499698,-0.138766
0.101929,0.502708,0.603789
0.102539,0.505719,-0.107628
0.103149,0.508729,0.512702
0.103760,0.511739,0.288222
0.104370,0.514749,0.517597
0.104980,0.517759,0.123420
0.105591,0.520770,-0.765464E-02
0.106201,0.523780,0.172188
0.106812,0.526790,-0.665607E-03
0.107422,0.529800,0.401072E-01
0.108032,0.532811,0.189421
0.108643,0.535821,0.387242
0.109253,0.538831,-0.894399E-01
0.109863,0.541841,0.570015E-01
0.110474,0.544852,-0.913706E-01
0.111084,0.547862,0.316413
0.111694,0.550872,0.142735
0.112305,0.553882,0.691034E-01
0.112915,0.556892,-0.153329E-01
0.113525,0.559903,0.655576
0.114136,0.562913,-0.102379E-01
0.114746,0.565923,0.146958E-01
0.115356,0.568933,0.905823E-01
0.115967,0.571944,0.537885
0.116577,0.574954,-0.292650
0.117188,0.577964,0.199287
0.117798,0.580974,0.250672
0.118408,0.583985,0.472993
0.119019,0.586995,0.156150
0.119629,0.590005,0.421828
0.120239,0.593015,-0.755502E-01
0.120850,0.596025,-0.492124E-02
0.121460,0.599036,0.716946E-01
0.122070,0.602046,0.475223
0.122681,0.605056,0.470832E-01
0.123291,0.608066,0.211681E-01
0.123901,0.611077,0.196586E-01
0.124512,0.614087,0.245939E-01
0.125122,0.617097,0.219830
0.125732,0.620107,0.372845E-01
0.126343,0.623118,-0.613776E-02
0.126953,0.626128,0.185413
0.127563,0.629138,0.755840E-01
0.128174,0.632148,0.579920E-01
0.128784,0.635158,0.283913E-01
0.129395,0.638169,0.155021
0.130005,0.641179,0.379583
0.130615,0.644189,0.733576E-01
0.131226,0.647199,0.117602
0.131836,0.650210,-0.350437E-01
0.132446,0.653220,0.469233E-01
0.133057,0.656230,0.236906E-01
0.133667,0.659240,0.389976
0.134277,0.662250,0.115332
0.134888,0.665261,0.577041E-01
0.135498,0.668271,0.145957E-01
0.136108,0.671281,0.159704
0.136719,0.674291,-0.138801E-01
0.137329,0.677302,-0.331368E-01
0.137939,0.680312,0.461253
0.138550,0.683322,0.439602
0.139160,0.686332,0.132001
0.139771,0.689343,0.131921
0.140381,0.692353,0.134775
0.140991,0.695363,-0.118340
0.141602,0.698373,0.634259E-01
0.142212,0.701383,-0.126342
0.142822,0.704394,0.410342
0.143433,0.707404,0.175496
0.144043,0.710414,-0.411500E-01
0.144653,0.713424,0.356977
0.145264,0.716435,0.196280
0.145874,0.719445,0.354916
0.146484,0.722455,0.576945E-01
0.147095,0.725465,0.143505
0.147705,0.728476,0.999470E-01
0.148315,0.731486,0.249452
0.148926,0.734496,0.216429
0.149536,0.737506,0.603072E-01
0.150146,0.740516,0.267188
0.150757,0.743527,0.349793
0.151367,0.746537,0.560376
0.151978,0.749547,0.140345
0.152588,0.752557,-0.590578E-01
0.153198,0.755568,0.319592E-01
0.153809,0.758578,0.342874
