Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  2.895
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,3.9736455236098936E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.201574E-02,-0.742756E-02
0.122070E-02,0.403147E-02,0.103860
0.183105E-02,0.604721E-02,-0.267453E-01
0.244141E-02,0.806294E-02,0.462771E-01
0.305176E-02,0.100787E-01,0.105109
0.366211E-02,0.120944E-01,0.767381E-01
0.427246E-02,0.141102E-01,0.262992
0.488281E-02,0.161259E-01,-0.183165E-01
0.549316E-02,0.181416E-01,0.406737
0.610352E-02,0.201574E-01,0.350170
0.671387E-02,0.221731E-01,-0.254486E-01
0.732422E-02,0.241888E-01,0.647286
0.793457E-02,0.262046E-01,-0.155386
0.854492E-02,0.282203E-01,0.412255E-01
0.915527E-02,0.302360E-01,0.777036
0.976562E-02,0.322518E-01,-0.146911
0.103760E-01,0.342675E-01,-0.525089E-01
0.109863E-01,0.362832E-01,-0.226532E-01
0.115967E-01,0.382990E-01,0.419101E-02
0.122070E-01,0.403147E-01,0.710019E-01
0.128174E-01,0.423305E-01,0.510420E-01
0.134277E-01,0.443462E-01,0.306066E-01
0.140381E-01,0.463619E-01,-0.401245
0.146484E-01,0.483777E-01,1.02891
0.152588E-01,0.503934E-01,0.609837E-01
0.158691E-01,0.524091E-01,0.310700
0.164795E-01,0.544249E-01,0.525319
0.170898E-01,0.564406E-01,-0.641921E-01
0.177002E-01,0.584563E-01,0.244810
0.183105E-01,0.604721E-01,0.553233E-01
0.189209E-01,0.624878E-01,0.139156
0.195312E-01,0.645036E-01,0.336066
0.201416E-01,0.665193E-01,0.570752E-01
0.207520E-01,0.685350E-01,0.416393
0.213623E-01,0.705508E-01,0.158624E-01
0.219727E-01,0.725665E-01,0.220184
0.225830E-01,0.745822E-01,0.353241
0.231934E-01,0.765980E-01,0.136411
0.238037E-01,0.786137E-01,0.424617
0.244141E-01,0.806294E-01,0.142037
0.250244E-01,0.826452E-01,-0.236431E-01
0.256348E-01,0.846609E-01,0.616626
0.262451E-01,0.866767E-01,0.186963
0.268555E-01,0.886924E-01,0.563701
0.274658E-01,0.907081E-01,0.148023
0.280762E-01,0.927239E-01,-0.545392E-01
0.286865E-01,0.947396E-01,0.296796
0.292969E-01,0.967553E-01,0.516001
0.299072E-01,0.987711E-01,0.181967
0.305176E-01,0.100787,-0.603028E-01
0.311279E-01,0.102803,0.214926
0.317383E-01,0.104818,0.221066
0.323486E-01,0.106834,0.213022
0.329590E-01,0.108850,0.880882E-01
0.335693E-01,0.110865,0.580771
0.341797E-01,0.112881,-0.141208
0.347900E-01,0.114897,-0.135075E-01
0.354004E-01,0.116913,-0.436279
0.360107E-01,0.118928,0.203062
0.366211E-01,0.120944,0.265921
0.372314E-01,0.122960,0.513936
0.378418E-01,0.124976,0.105299
0.384521E-01,0.126991,0.158980
0.390625E-01,0.129007,-0.182542
0.396729E-01,0.131023,0.324872
0.402832E-01,0.133039,-0.754103E-01
0.408936E-01,0.135054,0.945130E-01
0.415039E-01,0.137070,0.496317E-01
0.421143E-01,0.139086,-0.934562E-01
0.427246E-01,0.141102,0.188569
0.433350E-01,0.143117,0.142684
0.439453E-01,0.145133,0.643881
0.445557E-01,0.147149,0.639222
0.451660E-01,0.149164,1.28475
0.457764E-01,0.151180,0.822706
0.463867E-01,0.153196,0.317371
0.469971E-01,0.155212,0.214083
0.476074E-01,0.157227,0.559363
0.482178E-01,0.159243,-0.963385E-01
0.488281E-01,0.161259,0.269207
0.494385E-01,0.163275,-0.138568E-01
0.500488E-01,0.165290,0.158582E-01
0.506592E-01,0.167306,0.275762E-01
0.512695E-01,0.169322,0.234162
0.518799E-01,0.171338,0.324562
0.524902E-01,0.173353,1.13150
0.531006E-01,0.175369,0.306889
0.537109E-01,0.177385,0.307965
0.543213E-01,0.179401,0.231081E-01
0.549316E-01,0.181416,0.403595
0.555420E-01,0.183432,0.191548
0.561523E-01,0.185448,0.955415E-01
0.567627E-01,0.187463,0.394921E-01
0.573730E-01,0.189479,0.381027
0.579834E-01,0.191495,0.256820E-01
0.585938E-01,0.193511,-0.933492E-01
0.592041E-01,0.195526,0.908174E-01
0.598145E-01,0.197542,-0.405066E-01
0.604248E-01,0.199558,-0.141235E-01
0.610352E-01,0.201574,0.787299
0.616455E-01,0.203589,0.791510E-01
0.622559E-01,0.205605,0.416947
0.628662E-01,0.207621,0.317690
0.634766E-01,0.209637,0.762712
0.640869E-01,0.211652,0.132359
0.646973E-01,0.213668,0.124423
0.653076E-01,0.215684,0.583771
0.659180E-01,0.217699,0.509640E-01
0.665283E-01,0.219715,-0.612715E-02
0.671387E-01,0.221731,0.192043
0.677490E-01,0.223747,1.06249
0.683594E-01,0.225762,0.651031
0.689697E-01,0.227778,0.110798E-01
0.695801E-01,0.229794,0.900403
0.701904E-01,0.231810,-0.105231
0.708008E-01,0.233825,0.136861
0.714111E-01,0.235841,-0.857053E-01
0.720215E-01,0.237857,-0.156212
0.726318E-01,0.239873,-0.261504
0.732422E-01,0.241888,-0.204753E-01
0.738525E-01,0.243904,0.210008
0.744629E-01,0.245920,0.177688
0.750732E-01,0.247936,0.660820E-01
0.756836E-01,0.249951,0.284225E-01
0.762939E-01,0.251967,0.428631
0.769043E-01,0.253983,0.282801
0.775146E-01,0.255998,0.611737E-01
0.781250E-01,0.258014,0.664801
0.787354E-01,0.260030,0.735280
0.793457E-01,0.262046,-0.113817
0.799561E-01,0.264061,0.193678
0.805664E-01,0.266077,0.279066
0.811768E-01,0.268093,-0.628895E-01
0.817871E-01,0.270109,0.287451
0.823975E-01,0.272124,0.107083
0.830078E-01,0.274140,0.110694
0.836182E-01,0.276156,0.193332
0.842285E-01,0.278172,-0.119210
0.848389E-01,0.280187,0.131956
0.854492E-01,0.282203,0.918066
0.860596E-01,0.284219,0.112957E-01
0.866699E-01,0.286235,-0.785783E-02
0.872803E-01,0.288250,0.865370
0.878906E-01,0.290266,0.153572E-01
0.885010E-01,0.292282,-0.658422E-01
0.891113E-01,0.294297,-0.685985E-01
0.897217E-01,0.296313,-0.794905E-01
0.903320E-01,0.298329,0.320508
0.909424E-01,0.300345,0.283967
0.915527E-01,0.302360,-0.299674
0.921631E-01,0.304376,0.392376E-01
0.927734E-01,0.306392,-0.301105E-01
0.933838E-01,0.308408,0.397664
0.939941E-01,0.310423,-0.149637
0.946045E-01,0.312439,0.374415
0.952148E-01,0.314455,0.307050
0.958252E-01,0.316471,0.337025E-01
0.964355E-01,0.318486,-0.549909E-01
0.970459E-01,0.320502,-0.771971E-01
0.976562E-01,0.322518,0.735252
0.982666E-01,0.324534,0.387558E-01
0.988770E-01,0.326549,0.976832
0.994873E-01,0.328565,0.759038
0.100098,0.330581,0.501508E-01
0.100708,0.332596,0.170964
0.101318,0.334612,0.115067
0.101929,0.336628,0.950073
0.102539,0.338644,-0.389444
0.103149,0.340659,0.941573E-01
0.103760,0.342675,0.547440
0.104370,0.344691,0.789898E-01
0.104980,0.346707,0.414011
0.105591,0.348722,0.120740E-01
0.106201,0.350738,0.330343
0.106812,0.352754,-0.692334E-01
0.107422,0.354770,0.946779E-01
0.108032,0.356785,0.192375
