Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  0.207
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,4.6970230559812966E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.281569E-01,0.536433
0.122070E-02,0.563139E-01,1.09268
0.183105E-02,0.844708E-01,0.556257
0.244141E-02,0.112628,-0.912031
0.305176E-02,0.140785,0.599890E-01
0.366211E-02,0.168942,-0.139820E-01
0.427246E-02,0.197099,0.454919E-01
0.488281E-02,0.225256,-0.735479
0.549316E-02,0.253412,-0.200782
0.610352E-02,0.281569,0.793153
0.671387E-02,0.309726,-0.114178
0.732422E-02,0.337883,0.102018
0.793457E-02,0.366040,0.404295E-01
0.854492E-02,0.394197,0.482773
0.915527E-02,0.422354,0.628851
0.976562E-02,0.450511,0.825905E-02
0.103760E-01,0.478668,0.313983
0.109863E-01,0.506825,0.466407
0.115967E-01,0.534982,-0.846808E-03
0.122070E-01,0.563139,-0.857521E-01
0.128174E-01,0.591296,-0.833614
0.134277E-01,0.619453,0.747485E-01
0.140381E-01,0.647610,0.236571
0.146484E-01,0.675767,-1.60604
0.152588E-01,0.703924,-0.247752
0.158691E-01,0.732081,1.35538
0.164795E-01,0.760237,-0.391939
0.170898E-01,0.788394,0.827013E-02
0.177002E-01,0.816551,-0.682308
0.183105E-01,0.844708,0.242871
0.189209E-01,0.872865,-0.274545
0.195312E-01,0.901022,-0.127798
0.201416E-01,0.929179,0.326457
0.207520E-01,0.957336,-0.390425E-01
0.213623E-01,0.985493,-0.171091E-01
0.219727E-01,1.01365,-0.471369E-01
0.225830E-01,1.04181,-0.782892E-01
0.231934E-01,1.06996,-0.111418
0.238037E-01,1.09812,0.938968E-01
0.244141E-01,1.12628,-0.742508E-02
0.250244E-01,1.15443,0.731919E-01
0.256348E-01,1.18259,-0.850446E-01
0.262451E-01,1.21075,-0.164762
0.268555E-01,1.23891,0.400359E-01
0.274658E-01,1.26706,-0.148359
0.280762E-01,1.29522,-0.103568
0.286865E-01,1.32338,0.383779E-02
0.292969E-01,1.35153,0.311331E-01
0.299072E-01,1.37969,0.864744E-01
0.305176E-01,1.40785,-0.165966
0.311279E-01,1.43600,-0.374631E-01
0.317383E-01,1.46416,0.204896
0.323486E-01,1.49232,-0.155316
0.329590E-01,1.52047,0.167699E-01
0.335693E-01,1.54863,0.153157E-02
0.341797E-01,1.57679,0.195013E-01
0.347900E-01,1.60495,-0.153266E-01
0.354004E-01,1.63310,0.336785E-01
0.360107E-01,1.66126,0.217617
0.366211E-01,1.68942,-0.472952E-01
0.372314E-01,1.71757,-0.332338E-01
0.378418E-01,1.74573,0.170136E-01
0.384521E-01,1.77389,-0.553350E-01
0.390625E-01,1.80204,0.172633
0.396729E-01,1.83020,-0.819821E-01
0.402832E-01,1.85836,0.157239
0.408936E-01,1.88652,-0.180176
0.415039E-01,1.91467,0.846447E-02
0.421143E-01,1.94283,-0.382293E-01
0.427246E-01,1.97099,-0.144886
0.433350E-01,1.99914,-0.454776E-01
0.439453E-01,2.02730,-0.708267E-01
0.445557E-01,2.05546,0.529800E-02
0.451660E-01,2.08361,0.167964
0.457764E-01,2.11177,-0.562104E-01
0.463867E-01,2.13993,-0.202754
0.469971E-01,2.16808,-0.952977E-01
0.476074E-01,2.19624,-0.337577E-02
0.482178E-01,2.22440,-0.264578E-01
0.488281E-01,2.25256,-0.571612E-01
0.494385E-01,2.28071,0.517237E-02
0.500488E-01,2.30887,-0.447716E-01
0.506592E-01,2.33703,-0.154502
0.512695E-01,2.36518,-0.153160
0.518799E-01,2.39334,-0.286879
0.524902E-01,2.42150,-0.135317
0.531006E-01,2.44965,0.379559E-01
0.537109E-01,2.47781,-0.154539
0.543213E-01,2.50597,-0.392080E-01
0.549316E-01,2.53412,0.205855
0.555420E-01,2.56228,0.631771E-02
0.561523E-01,2.59044,-0.748052E-01
0.567627E-01,2.61860,0.134123
0.573730E-01,2.64675,0.718738E-01
0.579834E-01,2.67491,-0.406604E-03
0.585938E-01,2.70307,0.725253E-01
0.592041E-01,2.73122,0.685418E-01
0.598145E-01,2.75938,0.160697E-01
0.604248E-01,2.78754,0.531587E-01
0.610352E-01,2.81569,-0.536926E-02
0.616455E-01,2.84385,-0.429399E-01
0.622559E-01,2.87201,-0.127240
0.628662E-01,2.90017,-0.601242E-01
0.634766E-01,2.92832,0.342773E-01
0.640869E-01,2.95648,-0.285006E-01
0.646973E-01,2.98464,0.704003E-02
0.653076E-01,3.01279,0.403754E-01
0.659180E-01,3.04095,0.695242E-01
0.665283E-01,3.06911,-0.371156E-01
0.671387E-01,3.09726,-0.466507E-01
0.677490E-01,3.12542,-0.820642E-02
0.683594E-01,3.15358,-0.816972E-01
0.689697E-01,3.18173,0.583961E-02
0.695801E-01,3.20989,-0.508693E-01
0.701904E-01,3.23805,-0.377127E-01
0.708008E-01,3.26621,-0.186396E-01
0.714111E-01,3.29436,0.173110E-02
0.720215E-01,3.32252,0.519793E-01
0.726318E-01,3.35068,-0.134974
0.732422E-01,3.37883,-0.952911E-01
0.738525E-01,3.40699,0.367453E-01
0.744629E-01,3.43515,0.515571E-01
0.750732E-01,3.46330,-0.120495E-01
0.756836E-01,3.49146,0.146623E-01
0.762939E-01,3.51962,0.619946E-01
0.769043E-01,3.54777,-0.116497E-01
0.775146E-01,3.57593,0.645334E-01
0.781250E-01,3.60409,0.108415E-01
0.787354E-01,3.63225,-0.199896E-01
0.793457E-01,3.66040,-0.201415
0.799561E-01,3.68856,-0.192725
0.805664E-01,3.71672,-0.846017E-02
0.811768E-01,3.74487,-0.952631E-01
0.817871E-01,3.77303,-0.156352E-01
0.823975E-01,3.80119,0.257765E-01
0.830078E-01,3.82934,0.708070E-02
0.836182E-01,3.85750,-0.629962E-01
0.842285E-01,3.88566,-0.403013E-01
0.848389E-01,3.91382,-0.188210E-01
0.854492E-01,3.94197,-0.861100E-01
0.860596E-01,3.97013,-0.224121E-01
0.866699E-01,3.99829,-0.126069
0.872803E-01,4.02644,-0.312423E-02
0.878906E-01,4.05460,-0.729972E-01
0.885010E-01,4.08276,-0.260644
0.891113E-01,4.11091,-0.192332E-01
0.897217E-01,4.13907,0.203419E-01
0.903320E-01,4.16723,0.653824E-01
0.909424E-01,4.19538,0.449285E-01
0.915527E-01,4.22354,-0.808134E-01
0.921631E-01,4.25170,-0.163460
0.927734E-01,4.27986,-0.283866E-01
0.933838E-01,4.30801,0.564845E-01
