Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  2.199
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,9.4253124397880056E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.265312E-02,0.254855E-01
0.122070E-02,0.530623E-02,-0.159320E-03
0.183105E-02,0.795935E-02,-0.140455E-01
0.244141E-02,0.106125E-01,0.686159
0.305176E-02,0.132656E-01,0.358902E-02
0.366211E-02,0.159187E-01,0.946259E-01
0.427246E-02,0.185718E-01,0.438363E-01
0.488281E-02,0.212249E-01,0.724792E-01
0.549316E-02,0.238781E-01,-0.190371E-01
0.610352E-02,0.265312E-01,0.164120E-01
0.671387E-02,0.291843E-01,0.202967
0.732422E-02,0.318374E-01,0.608315
0.793457E-02,0.344905E-01,0.893593
0.854492E-02,0.371436E-01,0.302003
0.915527E-02,0.397968E-01,-0.745331E-01
0.976562E-02,0.424499E-01,0.494180
0.103760E-01,0.451030E-01,0.187278
0.109863E-01,0.477561E-01,0.147383
0.115967E-01,0.504092E-01,0.275577E-02
0.122070E-01,0.530623E-01,0.169891
0.128174E-01,0.557155E-01,0.746885E-01
0.134277E-01,0.583686E-01,-0.219890E-01
0.140381E-01,0.610217E-01,-0.722229E-01
0.146484E-01,0.636748E-01,1.19177
0.152588E-01,0.663279E-01,0.644021E-01
0.158691E-01,0.689811E-01,-0.110512E-01
0.164795E-01,0.716342E-01,-0.181330
0.170898E-01,0.742873E-01,0.582201
0.177002E-01,0.769404E-01,0.279805
0.183105E-01,0.795935E-01,0.278568
0.189209E-01,0.822466E-01,0.352942
0.195312E-01,0.848998E-01,0.311074E-01
0.201416E-01,0.875529E-01,0.443567
0.207520E-01,0.902060E-01,0.310403
0.213623E-01,0.928591E-01,0.244740
0.219727E-01,0.955122E-01,0.148085
0.225830E-01,0.981653E-01,0.614916
0.231934E-01,0.100818,-0.393483E-01
0.238037E-01,0.103472,-0.261715E-01
0.244141E-01,0.106125,0.646940E-01
0.250244E-01,0.108778,-0.116617E-02
0.256348E-01,0.111431,0.194894E-01
0.262451E-01,0.114084,0.877262E-01
0.268555E-01,0.116737,0.367447E-01
0.274658E-01,0.119390,0.633066
0.280762E-01,0.122043,0.274463
0.286865E-01,0.124697,1.02493
0.292969E-01,0.127350,0.162502
0.299072E-01,0.130003,0.747561E-03
0.305176E-01,0.132656,0.574195
0.311279E-01,0.135309,0.455456
0.317383E-01,0.137962,0.183679
0.323486E-01,0.140615,-0.568740E-01
0.329590E-01,0.143268,0.277420E-01
0.335693E-01,0.145921,0.770118E-02
0.341797E-01,0.148575,1.21918
0.347900E-01,0.151228,0.526921
0.354004E-01,0.153881,0.170289
0.360107E-01,0.156534,0.763966E-01
0.366211E-01,0.159187,0.264650E-01
0.372314E-01,0.161840,0.373686
0.378418E-01,0.164493,0.809800
0.384521E-01,0.167146,0.269913
0.390625E-01,0.169800,0.404042
0.396729E-01,0.172453,0.783344E-02
0.402832E-01,0.175106,0.165088
0.408936E-01,0.177759,-0.605226E-02
0.415039E-01,0.180412,-0.404003E-01
0.421143E-01,0.183065,0.765092E-01
0.427246E-01,0.185718,0.182785E-01
0.433350E-01,0.188371,-0.526465
0.439453E-01,0.191024,0.549081
0.445557E-01,0.193678,-0.537195E-02
0.451660E-01,0.196331,0.156835E-01
0.457764E-01,0.198984,-0.134013
0.463867E-01,0.201637,0.565992E-01
0.469971E-01,0.204290,0.233005
0.476074E-01,0.206943,0.620011E-01
0.482178E-01,0.209596,-0.589913E-02
0.488281E-01,0.212249,0.317179
0.494385E-01,0.214903,0.342874
0.500488E-01,0.217556,0.396926E-01
0.506592E-01,0.220209,0.369763E-01
0.512695E-01,0.222862,0.756989E-01
0.518799E-01,0.225515,0.195930
0.524902E-01,0.228168,0.112742
0.531006E-01,0.230821,1.28061
0.537109E-01,0.233474,0.106882
0.543213E-01,0.236127,0.381299
0.549316E-01,0.238781,0.362296
0.555420E-01,0.241434,-0.113014E-01
0.561523E-01,0.244087,-0.495791E-02
0.567627E-01,0.246740,-0.250593E-01
0.573730E-01,0.249393,-0.369084
0.579834E-01,0.252046,0.970364E-01
0.585938E-01,0.254699,0.137484
0.592041E-01,0.257352,0.972993
0.598145E-01,0.260006,0.286442
0.604248E-01,0.262659,0.240762
0.610352E-01,0.265312,0.631633E-01
0.616455E-01,0.267965,0.738658
0.622559E-01,0.270618,0.177743E-01
0.628662E-01,0.273271,0.177798
0.634766E-01,0.275924,0.170602
0.640869E-01,0.278577,-0.436766
0.646973E-01,0.281230,0.253010
0.653076E-01,0.283884,0.676565
0.659180E-01,0.286537,0.519246E-01
0.665283E-01,0.289190,-0.227881
0.671387E-01,0.291843,-0.119305
0.677490E-01,0.294496,-0.229047E-01
0.683594E-01,0.297149,-0.767673E-01
0.689697E-01,0.299802,0.199373
0.695801E-01,0.302455,0.528654E-02
0.701904E-01,0.305109,0.165295
0.708008E-01,0.307762,0.142588
0.714111E-01,0.310415,0.111035E-01
0.720215E-01,0.313068,0.977122E-02
0.726318E-01,0.315721,0.107903
0.732422E-01,0.318374,0.350168
0.738525E-01,0.321027,1.53255
0.744629E-01,0.323680,0.185172
0.750732E-01,0.326333,0.837001E-02
0.756836E-01,0.328987,-0.745954E-01
0.762939E-01,0.331640,0.824741E-01
0.769043E-01,0.334293,0.224660
0.775146E-01,0.336946,0.210264
0.781250E-01,0.339599,0.687573E-01
0.787354E-01,0.342252,0.597879
0.793457E-01,0.344905,0.124425
0.799561E-01,0.347558,1.16244
0.805664E-01,0.350211,0.184803
0.811768E-01,0.352865,0.162315
0.817871E-01,0.355518,0.217876
0.823975E-01,0.358171,0.597976E-01
0.830078E-01,0.360824,0.306614
0.836182E-01,0.363477,0.279153
0.842285E-01,0.366130,0.480680E-01
0.848389E-01,0.368783,0.681079E-02
0.854492E-01,0.371436,0.247213
0.860596E-01,0.374090,0.119240
0.866699E-01,0.376743,-0.728391E-01
0.872803E-01,0.379396,0.155700
0.878906E-01,0.382049,0.155324
0.885010E-01,0.384702,0.360696E-01
0.891113E-01,0.387355,0.134963
0.897217E-01,0.390008,-0.138736E-01
0.903320E-01,0.392661,-0.111408
0.909424E-01,0.395314,0.333846
0.915527E-01,0.397968,-0.968008E-02
0.921631E-01,0.400621,0.328005E-01
0.927734E-01,0.403274,-0.199574
0.933838E-01,0.405927,0.375215
0.939941E-01,0.408580,0.543224
0.946045E-01,0.411233,0.398500E-01
0.952148E-01,0.413886,0.670539
0.958252E-01,0.416539,0.341745E-01
0.964355E-01,0.419193,0.342340E-01
0.970459E-01,0.421846,0.375442E-01
0.976562E-01,0.424499,0.940701E-01
0.982666E-01,0.427152,-0.285733E-01
0.988770E-01,0.429805,0.339249
0.994873E-01,0.432458,0.143861
0.100098,0.435111,0.407231
0.100708,0.437764,0.620214E-01
