Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  0.785
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-0.12245803310885482
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.743013E-02,-0.279846
0.122070E-02,0.148603E-01,-0.265927
0.183105E-02,0.222904E-01,-0.264362E-01
0.244141E-02,0.297205E-01,0.804103E-01
0.305176E-02,0.371506E-01,0.127563
0.366211E-02,0.445808E-01,0.571068E-01
0.427246E-02,0.520109E-01,-0.104158E-01
0.488281E-02,0.594410E-01,0.397902E-02
0.549316E-02,0.668711E-01,-0.317638E-02
0.610352E-02,0.743013E-01,0.564513E-01
0.671387E-02,0.817314E-01,-0.170331E-01
0.732422E-02,0.891615E-01,0.154339
0.793457E-02,0.965916E-01,0.117350
0.854492E-02,0.104022,0.500408E-01
0.915527E-02,0.111452,0.635581E-01
0.976562E-02,0.118882,0.883370E-01
0.103760E-01,0.126312,0.104438
0.109863E-01,0.133742,0.147242E-01
0.115967E-01,0.141172,0.190935E-02
0.122070E-01,0.148603,-0.185262E-01
0.128174E-01,0.156033,0.367873E-02
0.134277E-01,0.163463,-0.134307E-01
0.140381E-01,0.170893,0.135296
0.146484E-01,0.178323,-0.405683E-01
0.152588E-01,0.185753,0.589633E-01
0.158691E-01,0.193183,-0.532719E-01
0.164795E-01,0.200613,-0.792021E-01
0.170898E-01,0.208044,0.143598E-01
0.177002E-01,0.215474,-0.568943E-01
0.183105E-01,0.222904,-0.161045E-01
0.189209E-01,0.230334,0.556506E-01
0.195312E-01,0.237764,0.115177E-01
0.201416E-01,0.245194,0.231019E-02
0.207520E-01,0.252624,-0.228138E-01
0.213623E-01,0.260054,0.771286E-01
0.219727E-01,0.267485,0.160522E-02
0.225830E-01,0.274915,-0.282248E-01
0.231934E-01,0.282345,0.101033E-01
0.238037E-01,0.289775,-0.298626E-02
0.244141E-01,0.297205,0.451892E-01
0.250244E-01,0.304635,-0.192451E-01
0.256348E-01,0.312065,0.744745E-01
0.262451E-01,0.319495,0.196629E-01
0.268555E-01,0.326926,0.169519
0.274658E-01,0.334356,0.283319E-01
0.280762E-01,0.341786,0.731823E-02
0.286865E-01,0.349216,0.122160E-01
0.292969E-01,0.356646,0.360382E-01
0.299072E-01,0.364076,-0.160883E-01
0.305176E-01,0.371506,0.294313E-01
0.311279E-01,0.378936,0.871348E-01
0.317383E-01,0.386367,0.878852E-01
0.323486E-01,0.393797,0.809832E-01
0.329590E-01,0.401227,0.545858E-01
0.335693E-01,0.408657,-0.120866E-01
0.341797E-01,0.416087,0.218522E-01
0.347900E-01,0.423517,0.223853E-01
0.354004E-01,0.430947,-0.990399E-01
0.360107E-01,0.438377,-0.790957E-02
0.366211E-01,0.445808,-0.337423E-01
0.372314E-01,0.453238,-0.215507E-01
0.378418E-01,0.460668,0.321009E-01
0.384521E-01,0.468098,-0.146561E-01
0.390625E-01,0.475528,0.633323E-02
0.396729E-01,0.482958,-0.362275E-02
0.402832E-01,0.490388,0.403117E-02
0.408936E-01,0.497818,-0.744304E-01
0.415039E-01,0.505249,0.128047
0.421143E-01,0.512679,-0.318270E-01
0.427246E-01,0.520109,0.114110
0.433350E-01,0.527539,-0.446674E-02
0.439453E-01,0.534969,0.265023E-01
0.445557E-01,0.542399,0.210696E-01
0.451660E-01,0.549829,0.109929E-01
0.457764E-01,0.557259,-0.359612E-02
0.463867E-01,0.564690,-0.269182E-01
0.469971E-01,0.572120,0.169085E-02
0.476074E-01,0.579550,-0.303568E-01
0.482178E-01,0.586980,-0.246376E-02
0.488281E-01,0.594410,-0.184994E-02
0.494385E-01,0.601840,0.105146E-01
0.500488E-01,0.609270,0.287996E-01
0.506592E-01,0.616700,0.753557E-01
0.512695E-01,0.624131,0.127782E-01
0.518799E-01,0.631561,-0.427521E-01
0.524902E-01,0.638991,-0.682512E-02
0.531006E-01,0.646421,0.685673E-01
0.537109E-01,0.653851,-0.609364E-03
0.543213E-01,0.661281,0.465437E-02
0.549316E-01,0.668711,0.607396E-01
0.555420E-01,0.676141,0.102911E-01
0.561523E-01,0.683572,0.267845E-02
0.567627E-01,0.691002,-0.210597E-01
0.573730E-01,0.698432,0.167550E-01
0.579834E-01,0.705862,0.100041
0.585938E-01,0.713292,0.597338E-01
0.592041E-01,0.720722,0.613112E-01
0.598145E-01,0.728152,0.130139
0.604248E-01,0.735582,0.500161E-01
0.610352E-01,0.743013,0.410833E-01
0.616455E-01,0.750443,0.289507E-01
0.622559E-01,0.757873,0.139071E-01
0.628662E-01,0.765303,0.468057E-01
0.634766E-01,0.772733,0.741811E-01
0.640869E-01,0.780163,0.606740E-02
0.646973E-01,0.787593,0.107747
0.653076E-01,0.795023,0.248579E-01
0.659180E-01,0.802454,0.253693E-02
0.665283E-01,0.809884,-0.144609E-01
0.671387E-01,0.817314,0.283486E-01
0.677490E-01,0.824744,-0.761773E-02
0.683594E-01,0.832174,-0.117534E-01
0.689697E-01,0.839604,0.558910E-01
0.695801E-01,0.847034,0.524739E-01
0.701904E-01,0.854464,0.867061E-01
0.708008E-01,0.861895,0.980595E-01
0.714111E-01,0.869325,-0.154914E-01
0.720215E-01,0.876755,0.778054E-01
0.726318E-01,0.884185,0.295292E-01
0.732422E-01,0.891615,-0.872633E-03
0.738525E-01,0.899045,0.142992E-01
0.744629E-01,0.906475,0.191331E-01
0.750732E-01,0.913905,0.761617E-01
0.756836E-01,0.921336,0.436139E-01
0.762939E-01,0.928766,0.892789E-01
0.769043E-01,0.936196,0.107056
0.775146E-01,0.943626,0.116152
0.781250E-01,0.951056,-0.121687E-01
0.787354E-01,0.958486,0.183406E-01
0.793457E-01,0.965916,0.175597E-01
0.799561E-01,0.973346,-0.326439E-01
0.805664E-01,0.980777,0.602727E-02
0.811768E-01,0.988207,0.120950E-02
0.817871E-01,0.995637,0.349874E-01
0.823975E-01,1.00307,0.242976E-01
0.830078E-01,1.01050,0.767988E-02
0.836182E-01,1.01793,0.440052E-02
0.842285E-01,1.02536,0.666446E-02
0.848389E-01,1.03279,-0.338735E-01
0.854492E-01,1.04022,0.207470E-01
0.860596E-01,1.04765,-0.127324E-01
0.866699E-01,1.05508,0.194609E-01
0.872803E-01,1.06251,0.221151E-01
0.878906E-01,1.06994,-0.175996E-01
0.885010E-01,1.07737,0.226716E-01
0.891113E-01,1.08480,0.464240E-01
0.897217E-01,1.09223,0.798275E-01
0.903320E-01,1.09966,0.979255E-02
0.909424E-01,1.10709,0.146458E-01
0.915527E-01,1.11452,0.456477E-01
0.921631E-01,1.12195,0.178387E-01
0.927734E-01,1.12938,0.543909E-01
0.933838E-01,1.13681,-0.478325E-02
0.939941E-01,1.14424,0.142265
0.946045E-01,1.15167,0.113347
0.952148E-01,1.15910,0.138161E-01
0.958252E-01,1.16653,0.291565E-01
0.964355E-01,1.17396,-0.751973E-02
0.970459E-01,1.18139,0.342904E-01
0.976562E-01,1.18882,0.282216E-01
0.982666E-01,1.19625,0.158279E-01
0.988770E-01,1.20368,-0.116097E-01
0.994873E-01,1.21111,0.835104E-01
0.100098,1.21854,0.471335E-02
0.100708,1.22597,0.635915E-02
0.101318,1.23340,0.135945
0.101929,1.24083,0.254021E-01
0.102539,1.24826,0.792732E-03
0.103149,1.25569,-0.594265E-01
0.103760,1.26312,-0.560637E-01
0.104370,1.27055,-0.672428E-01
0.104980,1.27798,-0.518908E-01
0.105591,1.28541,-0.493214E-01
0.106201,1.29284,-0.861263E-02
0.106812,1.30027,0.543360E-01
0.107422,1.30770,0.598878E-01
0.108032,1.31513,-0.921629E-02
0.108643,1.32256,-0.253960E-01
0.109253,1.32999,0.149571
0.109863,1.33742,-0.656976E-01
0.110474,1.34485,0.680737E-01
0.111084,1.35228,0.212961
0.111694,1.35971,0.751450E-01
0.112305,1.36714,0.144901
0.112915,1.37457,-0.162709E-02
0.113525,1.38200,0.251869E-01
0.114136,1.38943,0.360502E-01
0.114746,1.39686,0.338571E-01
0.115356,1.40429,0.571396E-02
0.115967,1.41172,-0.283938E-02
0.116577,1.41915,0.384657E-01
0.117188,1.42658,0.208181E-01
0.117798,1.43401,0.139342E-01
0.118408,1.44144,0.150058
0.119019,1.44887,0.273192E-01
0.119629,1.45630,0.103919
0.120239,1.46373,0.436519E-01
0.120850,1.47116,0.133606
0.121460,1.47860,0.269924E-01
0.122070,1.48603,0.258126E-01
0.122681,1.49346,-0.195325E-01
0.123291,1.50089,0.692901E-01
0.123901,1.50832,0.478505E-02
0.124512,1.51575,0.145852
0.125122,1.52318,0.222393E-01
0.125732,1.53061,0.436140E-02
0.126343,1.53804,0.133894E-01
0.126953,1.54547,0.263769E-02
0.127563,1.55290,-0.748669E-02
0.128174,1.56033,0.122194E-01
0.128784,1.56776,-0.483846E-01
0.129395,1.57519,0.379723E-01
0.130005,1.58262,0.880289E-02
0.130615,1.59005,-0.335222E-01
0.131226,1.59748,-0.331748E-01
0.131836,1.60491,0.288474E-01
0.132446,1.61234,-0.328358E-01
0.133057,1.61977,-0.184298E-01
0.133667,1.62720,-0.258666E-01
0.134277,1.63463,0.522432
0.134888,1.64206,0.396945E-01
0.135498,1.64949,0.105788
0.136108,1.65692,0.129559
0.136719,1.66435,0.299521E-01
0.137329,1.67178,0.145246
0.137939,1.67921,0.885834E-04
0.138550,1.68664,0.201166E-01
0.139160,1.69407,0.614369E-01
0.139771,1.70150,0.692210E-01
0.140381,1.70893,0.513509E-01
0.140991,1.71636,-0.896140E-02
0.141602,1.72379,0.148727
0.142212,1.73122,0.117002
0.142822,1.73865,0.384703E-01
0.143433,1.74608,0.363274
0.144043,1.75351,0.170421
0.144653,1.76094,0.163938E-01
0.145264,1.76837,0.584877E-01
0.145874,1.77580,0.506452E-02
0.146484,1.78323,-0.784190E-02
0.147095,1.79066,-0.283911E-02
0.147705,1.79809,0.640351E-02
0.148315,1.80552,0.587322E-01
0.148926,1.81295,0.900923E-03
0.149536,1.82038,0.183007
0.150146,1.82781,0.162566E-01
0.150757,1.83524,0.153975
0.151367,1.84267,0.785091E-01
0.151978,1.85010,-0.297961E-01
0.152588,1.85753,0.703175E-02
0.153198,1.86496,-0.173170E-01
0.153809,1.87239,0.879376E-01
0.154419,1.87982,-0.250073E-01
0.155029,1.88725,0.449348E-02
0.155640,1.89468,-0.637895E-01
0.156250,1.90211,-0.989217E-02
0.156860,1.90954,-0.345294E-02
0.157471,1.91697,-0.689872E-02
0.158081,1.92440,0.330925E-02
0.158691,1.93183,-0.600796E-03
0.159302,1.93926,0.100450
0.159912,1.94669,0.464556E-01
0.160522,1.95412,0.657606E-01
0.161133,1.96155,0.607385E-01
0.161743,1.96898,0.137901E-01
0.162354,1.97641,0.196364
0.162964,1.98384,0.279933E-01
0.163574,1.99127,0.107385
0.164185,1.99870,0.348173E-01
0.164795,2.00613,-0.226966E-01
0.165405,2.01356,0.351646E-01
0.166016,2.02099,0.124618
0.166626,2.02842,0.127690
0.167236,2.03585,0.833122E-01
0.167847,2.04328,0.408403
0.168457,2.05071,0.232829E-01
0.169067,2.05814,0.217363E-01
0.169678,2.06557,0.128542E-01
0.170288,2.07301,0.138424E-01
0.170898,2.08044,0.157902
0.171509,2.08787,-0.125402E-01
0.172119,2.09530,0.191992
0.172729,2.10273,0.157469
0.173340,2.11016,-0.123838E-01
0.173950,2.11759,0.111766
0.174561,2.12502,-0.189817E-01
0.175171,2.13245,0.146780
0.175781,2.13988,0.168126E-01
0.176392,2.14731,0.308582E-02
0.177002,2.15474,0.143313
0.177612,2.16217,0.253644
0.178223,2.16960,0.219736
0.178833,2.17703,0.798073E-02
0.179443,2.18446,0.359218
0.180054,2.19189,0.125317
0.180664,2.19932,0.190420
0.181274,2.20675,0.135977
0.181885,2.21418,0.415080E-01
0.182495,2.22161,0.232359
0.183105,2.22904,-0.163604E-03
0.183716,2.23647,0.328208E-01
0.184326,2.24390,0.300977E-01
0.184937,2.25133,-0.890457E-02
0.185547,2.25876,0.109144E-01
0.186157,2.26619,0.518100E-04
0.186768,2.27362,-0.324853E-01
0.187378,2.28105,-0.437382E-01
0.187988,2.28848,-0.172567E-01
0.188599,2.29591,0.117438
0.189209,2.30334,0.138366
0.189819,2.31077,-0.200153E-01
0.190430,2.31820,0.349576
0.191040,2.32563,0.138611
0.191650,2.33306,0.755420E-02
0.192261,2.34049,0.979832E-01
0.192871,2.34792,0.816797E-03
0.193481,2.35535,0.150978
