Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  3.103
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.7564361249124987E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.188014E-02,-0.111070
0.122070E-02,0.376029E-02,-0.342718E-01
0.183105E-02,0.564043E-02,-0.909920E-01
0.244141E-02,0.752058E-02,0.792708E-01
0.305176E-02,0.940072E-02,-0.351515E-01
0.366211E-02,0.112809E-01,-0.682548E-01
0.427246E-02,0.131610E-01,0.714096E-01
0.488281E-02,0.150412E-01,0.505527E-02
0.549316E-02,0.169213E-01,0.346749
0.610352E-02,0.188014E-01,0.747074E-01
0.671387E-02,0.206816E-01,0.500597
0.732422E-02,0.225617E-01,0.973265E-02
0.793457E-02,0.244419E-01,-0.202800E-01
0.854492E-02,0.263220E-01,-0.157901
0.915527E-02,0.282022E-01,1.14374
0.976562E-02,0.300823E-01,0.247619E-01
0.103760E-01,0.319625E-01,0.638250E-01
0.109863E-01,0.338426E-01,0.298823
0.115967E-01,0.357227E-01,-0.851110E-02
0.122070E-01,0.376029E-01,0.248262E-01
0.128174E-01,0.394830E-01,0.121822
0.134277E-01,0.413632E-01,0.135803
0.140381E-01,0.432433E-01,0.359148E-01
0.146484E-01,0.451235E-01,0.275169
0.152588E-01,0.470036E-01,0.365167
0.158691E-01,0.488838E-01,1.11054
0.164795E-01,0.507639E-01,0.540378
0.170898E-01,0.526440E-01,0.148575E-01
0.177002E-01,0.545242E-01,0.441072
0.183105E-01,0.564043E-01,0.155115E-01
0.189209E-01,0.582845E-01,0.178504
0.195312E-01,0.601646E-01,0.105227
0.201416E-01,0.620448E-01,0.787247E-01
0.207520E-01,0.639249E-01,0.112886
0.213623E-01,0.658051E-01,0.185228
0.219727E-01,0.676852E-01,1.48821
0.225830E-01,0.695654E-01,0.544839
0.231934E-01,0.714455E-01,-0.263900
0.238037E-01,0.733256E-01,-0.157045
0.244141E-01,0.752058E-01,0.310699
0.250244E-01,0.770859E-01,1.12715
0.256348E-01,0.789661E-01,0.855032E-01
0.262451E-01,0.808462E-01,-0.122612
0.268555E-01,0.827264E-01,1.08312
0.274658E-01,0.846065E-01,0.121517
0.280762E-01,0.864867E-01,0.295832
0.286865E-01,0.883668E-01,0.481260
0.292969E-01,0.902469E-01,-0.603808E-01
0.299072E-01,0.921271E-01,0.163849E-02
0.305176E-01,0.940072E-01,0.318261E-01
0.311279E-01,0.958874E-01,0.662873
0.317383E-01,0.977675E-01,0.132511
0.323486E-01,0.996477E-01,0.156112
0.329590E-01,0.101528,1.32536
0.335693E-01,0.103408,1.16038
0.341797E-01,0.105288,0.684989
0.347900E-01,0.107168,0.386738
0.354004E-01,0.109048,0.436576E-01
0.360107E-01,0.110929,0.482126
0.366211E-01,0.112809,0.219089
0.372314E-01,0.114689,0.655244
0.378418E-01,0.116569,-0.154284
0.384521E-01,0.118449,1.14360
0.390625E-01,0.120329,0.369331
0.396729E-01,0.122209,0.284301
0.402832E-01,0.124090,0.714519
0.408936E-01,0.125970,0.176060
0.415039E-01,0.127850,0.823061E-01
0.421143E-01,0.129730,1.64899
0.427246E-01,0.131610,0.900039E-01
0.433350E-01,0.133490,-0.900139E-01
0.439453E-01,0.135370,-0.185992E-01
0.445557E-01,0.137251,0.554365E-01
0.451660E-01,0.139131,0.288664
0.457764E-01,0.141011,1.32319
0.463867E-01,0.142891,-0.375753
0.469971E-01,0.144771,0.496511
0.476074E-01,0.146651,-0.192896
0.482178E-01,0.148531,0.487923
0.488281E-01,0.150412,-0.254824
0.494385E-01,0.152292,0.846669
0.500488E-01,0.154172,0.986974
0.506592E-01,0.156052,0.246621
0.512695E-01,0.157932,-0.228510
