Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  1.479
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.9134483416830125E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.394429E-02,0.698631
0.122070E-02,0.788858E-02,0.692334
0.183105E-02,0.118329E-01,-1.89052
0.244141E-02,0.157772E-01,-0.254284
0.305176E-02,0.197215E-01,-2.13566
0.366211E-02,0.236657E-01,-0.539693
0.427246E-02,0.276100E-01,0.885152
0.488281E-02,0.315543E-01,1.34631
0.549316E-02,0.354986E-01,-0.141647E-01
0.610352E-02,0.394429E-01,0.609139
0.671387E-02,0.433872E-01,-0.651307
0.732422E-02,0.473315E-01,0.855434
0.793457E-02,0.512758E-01,0.517089E-01
0.854492E-02,0.552201E-01,-0.715108
0.915527E-02,0.591644E-01,0.875877E-02
0.976562E-02,0.631087E-01,-1.49031
0.103760E-01,0.670529E-01,0.247892
0.109863E-01,0.709972E-01,-0.258701
0.115967E-01,0.749415E-01,-0.116073
0.122070E-01,0.788858E-01,0.302646
0.128174E-01,0.828301E-01,0.317180
0.134277E-01,0.867744E-01,0.118907
0.140381E-01,0.907187E-01,-0.540886
0.146484E-01,0.946630E-01,-1.18817
0.152588E-01,0.986073E-01,-0.695105
0.158691E-01,0.102552,0.827320
0.164795E-01,0.106496,0.279945
0.170898E-01,0.110440,-0.434313E-01
0.177002E-01,0.114384,0.522415
0.183105E-01,0.118329,-1.76310
0.189209E-01,0.122273,0.593276E-01
0.195312E-01,0.126217,0.466355
0.201416E-01,0.130162,-0.289216
0.207520E-01,0.134106,-0.314555
0.213623E-01,0.138050,-1.09633
0.219727E-01,0.141994,3.24547
0.225830E-01,0.145939,1.74459
0.231934E-01,0.149883,0.326555
0.238037E-01,0.153827,-1.24601
0.244141E-01,0.157772,0.598479
0.250244E-01,0.161716,2.91734
0.256348E-01,0.165660,0.569842
0.262451E-01,0.169605,0.223362
0.268555E-01,0.173549,0.433171
0.274658E-01,0.177493,1.26158
0.280762E-01,0.181437,-0.968155E-01
0.286865E-01,0.185382,-0.758027
0.292969E-01,0.189326,-0.199319
0.299072E-01,0.193270,1.32875
0.305176E-01,0.197215,1.74871
0.311279E-01,0.201159,0.177938
0.317383E-01,0.205103,-0.591042
0.323486E-01,0.209047,0.163655
0.329590E-01,0.212992,2.96192
0.335693E-01,0.216936,-2.45647
0.341797E-01,0.220880,-0.137707
0.347900E-01,0.224825,0.814696E-01
0.354004E-01,0.228769,1.75110
0.360107E-01,0.232713,3.42104
0.366211E-01,0.236657,-0.755029E-01
0.372314E-01,0.240602,0.474033
0.378418E-01,0.244546,-0.749989
0.384521E-01,0.248490,0.550156
0.390625E-01,0.252435,1.12691
0.396729E-01,0.256379,-1.00793
0.402832E-01,0.260323,-1.98491
0.408936E-01,0.264267,-0.502833
0.415039E-01,0.268212,-0.987207
0.421143E-01,0.272156,3.35774
0.427246E-01,0.276100,-0.167273
0.433350E-01,0.280045,0.181378
0.439453E-01,0.283989,2.24279
0.445557E-01,0.287933,0.278321
0.451660E-01,0.291878,-1.22841
0.457764E-01,0.295822,0.936621
0.463867E-01,0.299766,2.47056
0.469971E-01,0.303710,0.869687
0.476074E-01,0.307655,0.544221
0.482178E-01,0.311599,1.55251
0.488281E-01,0.315543,0.816802E-01
