Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  1.652
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-1.8452592002610908E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.353263E-02,0.222382
0.122070E-02,0.706525E-02,-0.177388E-01
0.183105E-02,0.105979E-01,0.206993
0.244141E-02,0.141305E-01,-0.370957E-02
0.305176E-02,0.176631E-01,0.120965E-02
0.366211E-02,0.211958E-01,0.248141E-01
0.427246E-02,0.247284E-01,0.283345E-01
0.488281E-02,0.282610E-01,0.562253E-01
0.549316E-02,0.317936E-01,0.242441
0.610352E-02,0.353263E-01,-0.150380
0.671387E-02,0.388589E-01,0.834376E-01
0.732422E-02,0.423915E-01,-0.388094E-01
0.793457E-02,0.459241E-01,0.253443
0.854492E-02,0.494568E-01,0.481135
0.915527E-02,0.529894E-01,-0.246435E-01
0.976562E-02,0.565220E-01,0.514560E-01
0.103760E-01,0.600546E-01,0.131432
0.109863E-01,0.635873E-01,0.898976E-01
0.115967E-01,0.671199E-01,0.127754
0.122070E-01,0.706525E-01,-0.151389E-01
0.128174E-01,0.741851E-01,0.144278E-01
0.134277E-01,0.777178E-01,0.199221
0.140381E-01,0.812504E-01,0.845004
0.146484E-01,0.847830E-01,0.166683
0.152588E-01,0.883156E-01,0.569387
0.158691E-01,0.918483E-01,0.621826
0.164795E-01,0.953809E-01,0.293463
0.170898E-01,0.989135E-01,0.593053E-01
0.177002E-01,0.102446,0.212369
0.183105E-01,0.105979,-0.106293
0.189209E-01,0.109511,0.673284E-01
0.195312E-01,0.113044,0.584044
0.201416E-01,0.116577,-0.310242E-01
0.207520E-01,0.120109,0.318270
0.213623E-01,0.123642,0.182170
0.219727E-01,0.127175,0.825050E-01
