Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  0.147
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-8.8032925646848057E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.397014E-01,0.192624E-01
0.122070E-02,0.794027E-01,1.26434
0.183105E-02,0.119104,1.08593
0.244141E-02,0.158805,-4.34995
0.305176E-02,0.198507,8.53300
0.366211E-02,0.238208,0.736181
0.427246E-02,0.277909,-0.852575
0.488281E-02,0.317611,-0.937422
0.549316E-02,0.357312,1.18834
0.610352E-02,0.397014,-1.03001
0.671387E-02,0.436715,-1.48580
0.732422E-02,0.476416,-6.29988
0.793457E-02,0.516118,0.309159
0.854492E-02,0.555819,-7.25279
0.915527E-02,0.595520,0.431958
0.976562E-02,0.635222,-7.35833
0.103760E-01,0.674923,-4.23815
0.109863E-01,0.714624,-0.480394
0.115967E-01,0.754326,-0.718940
0.122070E-01,0.794027,-2.78627
0.128174E-01,0.833728,-0.979795
0.134277E-01,0.873430,1.32925
0.140381E-01,0.913131,-0.960156
0.146484E-01,0.952832,2.69287
0.152588E-01,0.992534,2.55805
0.158691E-01,1.03224,11.6978
0.164795E-01,1.07194,4.61252
0.170898E-01,1.11164,10.3427
0.177002E-01,1.15134,-0.227553E-01
0.183105E-01,1.19104,-3.70869
0.189209E-01,1.23074,-1.81883
0.195312E-01,1.27044,4.86796
0.201416E-01,1.31014,-2.69602
0.207520E-01,1.34985,-1.06120
0.213623E-01,1.38955,6.43366
0.219727E-01,1.42925,-3.48408
0.225830E-01,1.46895,-0.165728
0.231934E-01,1.50865,-2.49629
0.238037E-01,1.54835,-2.38961
0.244141E-01,1.58805,-0.135897
0.250244E-01,1.62776,-8.47311
0.256348E-01,1.66746,-0.438184
0.262451E-01,1.70716,2.81223
0.268555E-01,1.74686,7.54989
0.274658E-01,1.78656,-0.571221
0.280762E-01,1.82626,9.96750
0.286865E-01,1.86596,-0.124654
0.292969E-01,1.90566,1.78590
0.299072E-01,1.94537,-2.13577
0.305176E-01,1.98507,2.77958
0.311279E-01,2.02477,-2.87851
0.317383E-01,2.06447,6.44258
0.323486E-01,2.10417,-1.94836
0.329590E-01,2.14387,-0.456244
0.335693E-01,2.18357,-1.98018
0.341797E-01,2.22328,-3.29766
0.347900E-01,2.26298,-1.07896
0.354004E-01,2.30268,1.92952
0.360107E-01,2.34238,-0.578126E-01
0.366211E-01,2.38208,-0.170659E-01
0.372314E-01,2.42178,1.58961
0.378418E-01,2.46148,-4.70085
0.384521E-01,2.50119,0.317588
0.390625E-01,2.54089,1.16961
0.396729E-01,2.58059,1.43606
0.402832E-01,2.62029,1.57957
0.408936E-01,2.65999,-0.608280
0.415039E-01,2.69969,0.785461
0.421143E-01,2.73939,2.68523
0.427246E-01,2.77909,0.838533E-01
0.433350E-01,2.81880,7.94763
0.439453E-01,2.85850,1.69788
0.445557E-01,2.89820,-0.228354
0.451660E-01,2.93790,-3.72246
0.457764E-01,2.97760,-1.58575
0.463867E-01,3.01730,-0.852849
0.469971E-01,3.05700,-0.541916
0.476074E-01,3.09671,-1.56740
0.482178E-01,3.13641,-2.56763
0.488281E-01,3.17611,-3.20170
0.494385E-01,3.21581,-0.817240E-01
0.500488E-01,3.25551,0.292522
0.506592E-01,3.29521,0.823873
0.512695E-01,3.33491,1.24582
0.518799E-01,3.37462,3.85286
0.524902E-01,3.41432,-3.01679
0.531006E-01,3.45402,-1.92273
0.537109E-01,3.49372,-3.88451
0.543213E-01,3.53342,-1.11717
0.549316E-01,3.57312,-0.817380
0.555420E-01,3.61282,-0.638595
0.561523E-01,3.65252,0.108598
0.567627E-01,3.69223,3.09014
0.573730E-01,3.73193,0.594591
0.579834E-01,3.77163,0.102648
0.585938E-01,3.81133,0.296187
0.592041E-01,3.85103,0.387721
0.598145E-01,3.89073,0.596626E-02
0.604248E-01,3.93043,0.589660
0.610352E-01,3.97014,-1.28584
0.616455E-01,4.00984,-2.46403
