Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  9.560
wind_speed_[m+1s-1]_=_  1.095
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-8.1049942704461967E-005
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.532821E-02,-0.595124
0.122070E-02,0.106564E-01,0.343966
0.183105E-02,0.159846E-01,-2.05517
0.244141E-02,0.213128E-01,-2.20184
0.305176E-02,0.266411E-01,-0.810230E-01
0.366211E-02,0.319693E-01,-0.203211
0.427246E-02,0.372975E-01,0.723860
0.488281E-02,0.426257E-01,0.275373
0.549316E-02,0.479539E-01,0.301166
0.610352E-02,0.532821E-01,-0.106786
0.671387E-02,0.586103E-01,-0.964773
0.732422E-02,0.639385E-01,0.135162E-01
0.793457E-02,0.692668E-01,1.40367
0.854492E-02,0.745950E-01,-1.04385
0.915527E-02,0.799232E-01,0.864770E-01
0.976562E-02,0.852514E-01,0.489415
0.103760E-01,0.905796E-01,1.01665
0.109863E-01,0.959078E-01,-0.445377
0.115967E-01,0.101236,2.14737
0.122070E-01,0.106564,0.589685
0.128174E-01,0.111892,-1.19208
0.134277E-01,0.117221,-0.715642
0.140381E-01,0.122549,0.480956
0.146484E-01,0.127877,0.297462
0.152588E-01,0.133205,-0.784909E-01
0.158691E-01,0.138534,0.767045
0.164795E-01,0.143862,-0.472186
0.170898E-01,0.149190,0.131498
0.177002E-01,0.154518,-0.766796
0.183105E-01,0.159846,0.918600
0.189209E-01,0.165175,-1.27419
0.195312E-01,0.170503,-2.88963
0.201416E-01,0.175831,0.345809
0.207520E-01,0.181159,0.776948
0.213623E-01,0.186487,0.465352
0.219727E-01,0.191816,-2.01346
0.225830E-01,0.197144,-0.932533
0.231934E-01,0.202472,0.261848
0.238037E-01,0.207800,2.85389
0.244141E-01,0.213128,3.76064
0.250244E-01,0.218457,1.88055
0.256348E-01,0.223785,0.131113
0.262451E-01,0.229113,3.09882
0.268555E-01,0.234441,1.57593
0.274658E-01,0.239770,0.125253
0.280762E-01,0.245098,0.934206
0.286865E-01,0.250426,0.420884
0.292969E-01,0.255754,-0.152366
0.299072E-01,0.261082,1.21691
0.305176E-01,0.266411,-0.658824
0.311279E-01,0.271739,-2.10219
0.317383E-01,0.277067,0.939033
0.323486E-01,0.282395,-0.981853
0.329590E-01,0.287723,-0.881062
0.335693E-01,0.293052,-2.05933
0.341797E-01,0.298380,-2.18176
0.347900E-01,0.303708,-1.50876
0.354004E-01,0.309036,-0.795652
0.360107E-01,0.314364,0.102826
0.366211E-01,0.319693,0.227558E-01
0.372314E-01,0.325021,1.51321
0.378418E-01,0.330349,1.44238
0.384521E-01,0.335677,-0.685218
0.390625E-01,0.341006,0.339626
0.396729E-01,0.346334,-3.58047
0.402832E-01,0.351662,-1.67167
0.408936E-01,0.356990,-0.753875
0.415039E-01,0.362318,0.747496
0.421143E-01,0.367647,2.09278
0.427246E-01,0.372975,0.380925E-01
0.433350E-01,0.378303,0.264884
0.439453E-01,0.383631,-1.42594
0.445557E-01,0.388959,1.22236
0.451660E-01,0.394288,1.38089
0.457764E-01,0.399616,3.71184
0.463867E-01,0.404944,0.115603
0.469971E-01,0.410272,0.639241
0.476074E-01,0.415601,-2.29152
0.482178E-01,0.420929,-0.269440
0.488281E-01,0.426257,-0.369997
0.494385E-01,0.431585,-1.93910
0.500488E-01,0.436913,-0.748763
0.506592E-01,0.442242,0.154296E-02
0.512695E-01,0.447570,1.42987
0.518799E-01,0.452898,0.823701
0.524902E-01,0.458226,-0.456973
0.531006E-01,0.463554,-2.24824
0.537109E-01,0.468883,2.87539
0.543213E-01,0.474211,2.42852
0.549316E-01,0.479539,5.42410
0.555420E-01,0.484867,1.32170
0.561523E-01,0.490195,0.101712
0.567627E-01,0.495524,-0.795458
0.573730E-01,0.500852,0.414927
0.579834E-01,0.506180,0.410247
0.585938E-01,0.511508,0.913050
0.592041E-01,0.516837,-0.346297
0.598145E-01,0.522165,3.04879
0.604248E-01,0.527493,4.85203
0.610352E-01,0.532821,0.950729
0.616455E-01,0.538149,1.08087
0.622559E-01,0.543478,-0.869177
0.628662E-01,0.548806,-2.01717
0.634766E-01,0.554134,0.209721
0.640869E-01,0.559462,0.838634
0.646973E-01,0.564790,2.18663
0.653076E-01,0.570119,0.526202
0.659180E-01,0.575447,-1.64111
0.665283E-01,0.580775,0.271143
0.671387E-01,0.586103,-0.227754
0.677490E-01,0.591432,-0.106328E-01
0.683594E-01,0.596760,-0.348098
0.689697E-01,0.602088,1.97487
0.695801E-01,0.607416,0.461038
0.701904E-01,0.612744,-0.236939
0.708008E-01,0.618073,0.916768
0.714111E-01,0.623401,-1.12206
0.720215E-01,0.628729,1.20027
0.726318E-01,0.634057,0.446150
0.732422E-01,0.639385,2.60271
0.738525E-01,0.644714,-1.60411
0.744629E-01,0.650042,7.82578
0.750732E-01,0.655370,-0.231422
0.756836E-01,0.660698,0.944784
0.762939E-01,0.666026,0.270669
0.769043E-01,0.671355,-0.236923
0.775146E-01,0.676683,-1.34117
0.781250E-01,0.682011,-0.492061
0.787354E-01,0.687339,1.62862
0.793457E-01,0.692668,2.36630
0.799561E-01,0.697996,-1.50853
0.805664E-01,0.703324,3.41561
0.811768E-01,0.708652,1.05302
0.817871E-01,0.713980,1.89054
0.823975E-01,0.719309,1.23361
0.830078E-01,0.724637,-1.38392
0.836182E-01,0.729965,-0.670831
0.842285E-01,0.735293,1.06585
0.848389E-01,0.740621,0.406236E-01
0.854492E-01,0.745950,-0.131893
0.860596E-01,0.751278,-0.262467
0.866699E-01,0.756606,7.70205
0.872803E-01,0.761934,0.295910
0.878906E-01,0.767262,-1.01691
0.885010E-01,0.772591,1.51012
0.891113E-01,0.777919,0.115120
0.897217E-01,0.783247,-1.03445
0.903320E-01,0.788575,-0.319460
0.909424E-01,0.793904,-0.929317
0.915527E-01,0.799232,3.54622
0.921631E-01,0.804560,1.33923
0.927734E-01,0.809888,1.47507
0.933838E-01,0.815216,1.15628
0.939941E-01,0.820545,0.465165
0.946045E-01,0.825873,1.78740
0.952148E-01,0.831201,-0.517092
0.958252E-01,0.836529,-1.29838
0.964355E-01,0.841857,0.991198
0.970459E-01,0.847186,1.74470
0.976562E-01,0.852514,-0.286025
0.982666E-01,0.857842,-1.97070
0.988770E-01,0.863170,0.388236E-01
0.994873E-01,0.868499,-1.24553
0.100098,0.873827,1.56233
0.100708,0.879155,6.96762
0.101318,0.884483,3.67778
0.101929,0.889811,1.06981
0.102539,0.895140,-1.80900
0.103149,0.900468,-1.28629
0.103760,0.905796,-1.18135
0.104370,0.911124,0.916697
0.104980,0.916452,1.69845
0.105591,0.921781,1.41067
0.106201,0.927109,2.01409
0.106812,0.932437,-0.382309
0.107422,0.937765,0.952353
0.108032,0.943093,2.04580
0.108643,0.948422,1.43939
0.109253,0.953750,1.22551
0.109863,0.959078,-0.654482
0.110474,0.964406,-1.74711
0.111084,0.969735,-2.91858
0.111694,0.975063,4.88457
0.112305,0.980391,0.439820
0.112915,0.985719,-0.898906E-01
0.113525,0.991047,0.540872
0.114136,0.996376,0.871433
0.114746,1.00170,0.216775
0.115356,1.00703,-0.400477
0.115967,1.01236,3.43795
0.116577,1.01769,-0.332113
0.117188,1.02302,0.852881
0.117798,1.02834,2.75827
0.118408,1.03367,4.31646
0.119019,1.03900,0.817301
0.119629,1.04433,0.492281
0.120239,1.04966,0.439488E-02
0.120850,1.05499,5.46842
0.121460,1.06031,3.47182
0.122070,1.06564,3.50943
0.122681,1.07097,5.32655
0.123291,1.07630,7.81782
0.123901,1.08163,0.196429
0.124512,1.08696,6.43485
0.125122,1.09228,-2.28345
0.125732,1.09761,0.436035
0.126343,1.10294,-0.815728E-01
