first_statistics:_on_raw_data
filename,date,time,DOY,n_samples,mean(air_p),st_dev(air_p),skw(air_p),kur(air_p),mean(air_p),st_dev(air_p),skw(air_p),kur(air_p)
LostCreek_ts_data_2020_07_05_1300.dat,2020-07-05,13:30,187.5624,17999,95.5051,0.504360E-02,0.626971E-02,1.14451,95.7407,0.300987E-02,1.87052,9.54433
LostCreek_ts_data_2020_07_05_1330.dat,2020-07-05,14:00,187.5832,17995,95.5031,0.538013E-02,0.925573E-01,2.36351,95.7375,0.487717E-02,-0.945982,3.58565
LostCreek_ts_data_2020_07_05_1400.dat,2020-07-05,14:30,187.6040,17998,95.4847,0.790653E-02,-1.10327,3.49312,95.7179,0.637994E-02,-1.23483,4.98269
LostCreek_ts_data_2020_07_05_1430.dat,2020-07-05,15:00,187.6249,18000,95.4629,0.717062E-02,-0.670850,2.87857,95.6981,0.584467E-02,-1.85472,6.78229
LostCreek_ts_data_2020_07_05_1500.dat,2020-07-05,15:30,187.6457,17984,95.4528,0.460400E-02,0.824458,2.16558,95.6896,0.319061E-02,-0.962648,9.42708
LostCreek_ts_data_2020_07_05_1530.dat,2020-07-05,16:00,187.6665,18000,95.4679,0.786160E-02,-0.115594,2.47571,95.7045,0.703403E-02,-0.547031,2.58058
LostCreek_ts_data_2020_07_05_1600.dat,2020-07-05,16:30,187.6873,18000,95.4734,0.547986E-02,0.482215E-01,2.33156,95.7105,0.393510E-02,0.413698,6.26821
LostCreek_ts_data_2020_07_05_1630.dat,2020-07-05,17:00,187.7082,17996,95.4693,0.475488E-02,-0.579961,5.63308,95.7062,0.564857E-02,-0.866804,3.16042
LostCreek_ts_data_2020_07_05_1700.dat,2020-07-05,17:30,187.7290,18000,95.4520,0.422791E-02,1.10131,3.42978,95.6899,0.581234E-02,-0.382620E-02,2.96948
LostCreek_ts_data_2020_07_05_1730.dat,2020-07-05,18:00,187.7498,17999,95.4356,0.898098E-02,-0.783454,2.61830,95.6724,0.827487E-02,-0.534441,1.93011
LostCreek_ts_data_2020_07_05_1800.dat,2020-07-05,18:30,187.7707,17990,95.4281,0.536711E-02,-0.646823,4.18245,95.6652,0.607495E-02,-0.825648,2.78906
LostCreek_ts_data_2020_07_05_1830.dat,2020-07-05,19:00,187.7915,18000,95.3995,0.136858E-01,0.148417,1.93989,95.6355,0.114701E-01,0.244692,2.28995
LostCreek_ts_data_2020_07_05_1900.dat,2020-07-05,19:30,187.8123,17996,95.3687,0.930054E-02,0.354516E-01,1.62488,95.6025,0.909201E-02,-0.303661E-01,1.94325
LostCreek_ts_data_2020_07_05_1930.dat,2020-07-05,20:00,187.8332,17992,95.3537,0.109566E-01,0.410855E-01,2.89525,95.5895,0.366915E-02,-0.629939,7.53118
LostCreek_ts_data_2020_07_05_2000.dat,2020-07-05,20:30,187.8540,18000,95.3248,0.150438E-01,0.344285,2.00706,95.5647,0.109827E-01,-0.255380,1.88212
LostCreek_ts_data_2020_07_05_2030.dat,2020-07-05,21:00,187.8748,17933,95.3018,0.116425E-01,-0.645332,2.33771,95.5349,0.140153E-01,-0.430019,1.85910
LostCreek_ts_data_2020_07_05_2100.dat,2020-07-05,21:30,187.8956,18000,95.2604,0.164907E-01,0.325610,2.42425,95.4985,0.688459E-02,0.352642,2.81192
LostCreek_ts_data_2020_07_05_2130.dat,2020-07-05,22:00,187.9165,18000,95.2458,0.126242E-01,-0.507121,3.18287,95.4849,0.846639E-02,-0.191844,2.38253
LostCreek_ts_data_2020_07_05_2200.dat,2020-07-05,22:30,187.9373,18000,95.2563,0.734400E-02,0.852269,3.20700,95.5054,0.678731E-02,-0.310160,2.84115
LostCreek_ts_data_2020_07_05_2230.dat,2020-07-05,23:00,187.9581,17945,95.2513,0.448675E-02,0.843480,5.15486,95.4908,0.547301E-02,0.737237E-01,3.36705
LostCreek_ts_data_2020_07_05_2300.dat,2020-07-05,23:30,187.9790,17997,95.2643,0.748615E-02,0.553941,2.86130,95.5032,0.638031E-02,0.595845,3.43970
LostCreek_ts_data_2020_07_05_2330.dat,2020-07-06,00:00,188.0000,17993,95.2556,0.905694E-02,1.38077,3.57658,95.4948,0.834225E-02,1.09580,3.06322
LostCreek_ts_data_2020_07_06_0000.dat,2020-07-06,00:30,188.0208,17996,95.2664,0.101349E-01,-0.375336,2.06078,95.5049,0.969295E-02,-0.341838,2.00729
LostCreek_ts_data_2020_07_06_0030.dat,2020-07-06,01:00,188.0416,18000,95.2559,0.491793E-02,-0.368276,1.15826,95.4928,0.454702E-02,0.899226,1.98766
LostCreek_ts_data_2020_07_06_0100.dat,2020-07-06,01:30,188.0624,17988,95.2817,0.177346E-01,0.382899,1.68694,95.5177,0.156842E-01,0.361195,1.68025
LostCreek_ts_data_2020_07_06_0130.dat,2020-07-06,02:00,188.0833,18000,95.3401,0.190831E-01,-0.358706,1.64701,95.5755,0.168914E-01,-0.459878,1.88178
LostCreek_ts_data_2020_07_06_0200.dat,2020-07-06,02:30,188.1041,17992,95.3628,0.645822E-02,-0.317362,2.32814,95.5967,0.547682E-02,-0.202785E-01,2.32405
LostCreek_ts_data_2020_07_06_0230.dat,2020-07-06,03:00,188.1249,18000,95.3670,0.678431E-02,0.349088,2.30110,95.6012,0.638356E-02,-0.113749,2.40764
LostCreek_ts_data_2020_07_06_0300.dat,2020-07-06,03:30,188.1458,17959,95.3447,0.643659E-02,0.147421,2.78733,95.5797,0.723139E-02,0.383802E-01,1.92416
LostCreek_ts_data_2020_07_06_0330.dat,2020-07-06,04:00,188.1666,17999,95.3586,0.159277E-01,0.373107E-01,1.43464,95.5934,0.136588E-01,-0.510550E-02,1.73500
LostCreek_ts_data_2020_07_06_0400.dat,2020-07-06,04:30,188.1874,17991,95.3907,0.767112E-02,-0.637517E-01,1.84379,95.6267,0.684606E-02,0.341765,2.39360
LostCreek_ts_data_2020_07_06_0430.dat,2020-07-06,05:00,188.2083,18000,95.4046,0.202535E-01,0.386382,1.75202,95.6393,0.183791E-01,0.384134,1.69221
LostCreek_ts_data_2020_07_06_0500.dat,2020-07-06,05:30,188.2291,18000,95.4376,0.505676E-02,-0.602169,3.34635,95.6714,0.746771E-02,-0.240681,1.81996
LostCreek_ts_data_2020_07_06_0530.dat,2020-07-06,06:00,188.2499,18000,95.4177,0.147790E-01,0.492464,1.79111,95.6516,0.142629E-01,0.365735,2.12969
LostCreek_ts_data_2020_07_06_0600.dat,2020-07-06,06:30,188.2707,18000,95.4138,0.946704E-02,0.392023,2.40703,95.6472,0.901816E-02,0.131632,2.39637
LostCreek_ts_data_2020_07_06_0630.dat,2020-07-06,07:00,188.2916,17994,95.3865,0.754067E-02,0.552054,2.18375,95.6215,0.703972E-02,0.249082E-01,2.50615
LostCreek_ts_data_2020_07_06_0700.dat,2020-07-06,07:30,188.3124,17998,95.3618,0.110711E-01,-0.238949,1.83584,95.5957,0.109000E-01,-0.203313,1.79247
LostCreek_ts_data_2020_07_06_0730.dat,2020-07-06,08:00,188.3332,18000,95.3421,0.101434E-01,0.231632,1.99582,95.5774,0.882089E-02,0.140618,1.97101
LostCreek_ts_data_2020_07_06_0800.dat,2020-07-06,08:30,188.3541,17968,95.3208,0.579643E-02,0.608349E-01,3.11320,95.5590,0.547337E-02,-0.254722,3.77914
LostCreek_ts_data_2020_07_06_0830.dat,2020-07-06,09:00,188.3749,18000,95.3155,0.541694E-02,0.245442,1.91988,95.5527,0.471794E-02,0.733009,2.50986
LostCreek_ts_data_2020_07_06_0900.dat,2020-07-06,09:30,188.3957,18000,95.3226,0.702453E-02,-0.321946,2.20773,95.5601,0.669194E-02,-0.340357,3.23057
LostCreek_ts_data_2020_07_06_0930.dat,2020-07-06,10:00,188.4165,17952,95.3440,0.573575E-02,0.161356,2.55179,95.5817,0.660090E-02,-0.200325,2.24952
LostCreek_ts_data_2020_07_06_1000.dat,2020-07-06,10:30,188.4374,18000,95.3622,0.479147E-02,0.528138,2.99103,95.5977,0.433844E-02,-1.06553,2.83260
LostCreek_ts_data_2020_07_06_1030.dat,2020-07-06,11:00,188.4582,18000,95.3748,0.503317E-02,0.703272E-01,1.10189,95.6104,0.597023E-02,-0.229337E-01,2.82972
LostCreek_ts_data_2020_07_06_1100.dat,2020-07-06,11:30,188.4790,17996,95.3777,0.498040E-02,-0.405058,2.93835,95.6116,0.667345E-02,-0.984543E-01,2.42016
LostCreek_ts_data_2020_07_06_1130.dat,2020-07-06,12:00,188.4999,17997,95.3994,0.791320E-02,0.823687,3.65815,95.6332,0.675759E-02,1.56727,4.54407
LostCreek_ts_data_2020_07_06_1200.dat,2020-07-06,12:30,188.5207,17995,95.4225,0.658382E-02,-0.309618,2.27975,95.6568,0.522994E-02,-1.29369,3.77100
LostCreek_ts_data_2020_07_06_1230.dat,2020-07-06,13:00,188.5415,18000,95.4079,0.523459E-02,-0.197281,2.92933,95.6442,0.499650E-02,0.251059,1.23097
LostCreek_ts_data_2020_07_06_1300.dat,2020-07-06,13:30,188.5624,17934,95.4024,0.482792E-02,0.518979,2.81603,95.6373,0.479031E-02,-0.602667,2.48332
LostCreek_ts_data_2020_07_06_1330.dat,2020-07-06,14:00,188.5832,18000,95.4041,0.492888E-02,0.346418,1.12751,95.6400,0.122121E-02,1.78579,66.9703
LostCreek_ts_data_2020_07_06_1400.dat,2020-07-06,14:30,188.6040,18000,95.4103,0.595956E-02,0.328547E-02,2.85038,95.6450,0.560760E-02,0.457337,2.25603
LostCreek_ts_data_2020_07_06_1430.dat,2020-07-06,15:00,188.6249,17997,95.4026,0.102540E-01,0.955671E-01,1.84363,95.6389,0.877714E-02,0.152336,1.50403
LostCreek_ts_data_2020_07_06_1500.dat,2020-07-06,15:30,188.6457,18000,95.3855,0.603061E-02,0.585570,2.46223,95.6236,0.604162E-02,0.108061,2.75860
LostCreek_ts_data_2020_07_06_1530.dat,2020-07-06,16:00,188.6665,18000,95.4067,0.521889E-02,-0.823594,2.99772,95.6462,0.533490E-02,-0.969870,2.84523
LostCreek_ts_data_2020_07_06_1600.dat,2020-07-06,16:30,188.6873,17996,95.3991,0.889963E-02,-0.736085,2.97826,95.6378,0.916162E-02,-0.743190,2.87221
LostCreek_ts_data_2020_07_06_1630.dat,2020-07-06,17:00,188.7082,17997,95.3629,0.131688E-01,-0.143869,2.03567,95.6006,0.115054E-01,0.258584,2.07422
LostCreek_ts_data_2020_07_06_1700.dat,2020-07-06,17:30,188.7290,18000,95.3326,0.884041E-02,-0.998160E-02,2.25486,95.5735,0.873756E-02,0.118880,2.31588
LostCreek_ts_data_2020_07_06_1730.dat,2020-07-06,18:00,188.7498,18000,95.3432,0.188924E-01,2.62408,9.65073,95.5830,0.183270E-01,2.62675,9.64206
LostCreek_ts_data_2020_07_06_1800.dat,2020-07-06,18:30,188.7707,17941,95.3850,0.256391E-01,1.28966,3.31652,95.6407,0.389134E-01,0.514201,1.65282
LostCreek_ts_data_2020_07_06_1830.dat,2020-07-06,19:00,188.7915,18000,95.3481,0.122346E-01,0.460715,1.99140,95.5818,0.133833E-01,0.487762,1.74872
LostCreek_ts_data_2020_07_06_1900.dat,2020-07-06,19:30,188.8123,18000,95.3516,0.554276E-02,0.577106E-01,2.99181,95.5859,0.520325E-02,-0.660547,2.12031
LostCreek_ts_data_2020_07_06_1930.dat,2020-07-06,20:00,188.8332,17989,95.3553,0.783379E-02,-0.996160E-02,2.67788,95.5918,0.782089E-02,0.220602,2.63066
LostCreek_ts_data_2020_07_06_2000.dat,2020-07-06,20:30,188.8540,18000,95.3626,0.988916E-02,-0.399277,1.70025,95.5998,0.876986E-02,0.334021E-01,1.32587
LostCreek_ts_data_2020_07_06_2030.dat,2020-07-06,21:00,188.8748,18000,95.3208,0.186282E-01,-0.401497,2.64727,95.5520,0.212758E-01,-0.171842E-01,2.29962
LostCreek_ts_data_2020_07_06_2100.dat,2020-07-06,21:30,188.8956,18000,95.2489,0.203891E-01,-2.06466,7.44219,95.4775,0.189989E-01,-0.232984,1.79050
LostCreek_ts_data_2020_07_06_2130.dat,2020-07-06,22:00,188.9165,17996,95.1926,0.243255E-01,-0.521019,2.66868,95.4239,0.831440E-02,-0.396375,2.18098
LostCreek_ts_data_2020_07_06_2200.dat,2020-07-06,22:30,188.9373,18000,95.1890,0.149943E-01,-0.193438,2.12204,95.4331,0.142043E-01,0.138012E-01,1.84280
LostCreek_ts_data_2020_07_06_2230.dat,2020-07-06,23:00,188.9581,18000,95.1856,0.962741E-02,-1.23652,3.86181,95.4259,0.796085E-02,-0.898313,2.91589
LostCreek_ts_data_2020_07_06_2300.dat,2020-07-06,23:30,188.9790,18000,95.1753,0.155362E-01,-0.117391E-01,1.85980,95.3979,0.103064E-01,0.955437,3.59697
LostCreek_ts_data_2020_07_06_2330.dat,2020-07-07,00:00,189.0000,17982,95.1966,0.123942E-01,0.140049,3.14801,95.4327,0.672207E-02,-0.861204,4.42265
LostCreek_ts_data_2020_07_07_0000.dat,2020-07-07,00:30,189.0208,17985,95.2270,0.170361E-01,0.543003,2.27753,95.4640,0.198935E-01,0.307845,1.95925
LostCreek_ts_data_2020_07_07_0030.dat,2020-07-07,01:00,189.0416,18000,95.2633,0.879081E-02,-0.117189,2.10392,95.5035,0.930266E-02,-0.313046E-01,2.16639
LostCreek_ts_data_2020_07_07_0100.dat,2020-07-07,01:30,189.0624,17984,95.2520,0.717240E-02,0.378329E-01,2.56802,95.4889,0.850408E-02,0.138294,1.55647
LostCreek_ts_data_2020_07_07_0130.dat,2020-07-07,02:00,189.0833,18000,95.2484,0.467481E-02,-0.513542,3.66703,95.4842,0.532049E-02,-0.256921E-01,1.85027
LostCreek_ts_data_2020_07_07_0200.dat,2020-07-07,02:30,189.1041,17997,95.2764,0.216337E-01,0.371232,1.48735,95.5104,0.165461E-01,0.289499,1.54357
LostCreek_ts_data_2020_07_07_0230.dat,2020-07-07,03:00,189.1249,17996,95.3370,0.246231E-01,-0.131984E-01,1.66915,95.5685,0.249991E-01,-0.152260,1.71348
LostCreek_ts_data_2020_07_07_0300.dat,2020-07-07,03:30,189.1458,18000,95.3451,0.188330E-01,0.577444,2.09659,95.5820,0.165646E-01,0.576156,2.02657
LostCreek_ts_data_2020_07_07_0330.dat,2020-07-07,04:00,189.1666,17980,95.3316,0.493075E-02,0.320550,3.51861,95.5696,0.424630E-02,-0.215789,5.49414
LostCreek_ts_data_2020_07_07_0400.dat,2020-07-07,04:30,189.1874,18000,95.3174,0.836546E-02,0.500372,1.65624,95.5547,0.941592E-02,0.258302,2.13334
LostCreek_ts_data_2020_07_07_0430.dat,2020-07-07,05:00,189.2083,18000,95.2972,0.898395E-02,-0.473121,2.82952,95.5324,0.949622E-02,-0.376530,2.71000
LostCreek_ts_data_2020_07_07_0500.dat,2020-07-07,05:30,189.2291,17985,95.2505,0.112553E-01,0.826831,2.85894,95.4880,0.116425E-01,0.691822,2.51767
LostCreek_ts_data_2020_07_07_0530.dat,2020-07-07,06:00,189.2499,18000,95.2376,0.436538E-02,-1.08882,2.48917,95.4724,0.432899E-02,1.13699,2.44266
LostCreek_ts_data_2020_07_07_0600.dat,2020-07-07,06:30,189.2707,18000,95.2315,0.889695E-02,0.496423,2.60244,95.4673,0.805081E-02,1.00414,3.76588
LostCreek_ts_data_2020_07_07_0630.dat,2020-07-07,07:00,189.2916,18000,95.2491,0.340731E-02,-1.49098,7.18077,95.4842,0.507050E-02,0.250526,1.44284
LostCreek_ts_data_2020_07_07_0700.dat,2020-07-07,07:30,189.3124,17987,95.2499,0.111736E-02,-7.62028,77.7158,95.4838,0.486940E-02,0.476738,1.23503
LostCreek_ts_data_2020_07_07_0730.dat,2020-07-07,08:00,189.3332,18000,95.2626,0.686974E-02,-0.348172,2.17962,95.4988,0.561505E-02,-0.212560,3.53590
LostCreek_ts_data_2020_07_07_0800.dat,2020-07-07,08:30,189.3541,17998,95.2610,0.416848E-02,0.650177,5.14920,95.4966,0.483206E-02,-0.608008,1.72264
LostCreek_ts_data_2020_07_07_0830.dat,2020-07-07,09:00,189.3749,18000,95.2469,0.584613E-02,-0.164638,2.83383,95.4805,0.655713E-02,-0.843335E-02,2.56155
LostCreek_ts_data_2020_07_07_0900.dat,2020-07-07,09:30,189.3957,18000,95.2597,0.116837E-01,0.756740,2.03957,95.4960,0.113123E-01,0.593389,2.34811
LostCreek_ts_data_2020_07_07_0930.dat,2020-07-07,10:00,189.4165,18000,95.3184,0.170633E-01,-0.550965,2.22382,95.5537,0.174214E-01,-0.598646,2.12038
LostCreek_ts_data_2020_07_07_1000.dat,2020-07-07,10:30,189.4374,18000,95.3609,0.728428E-02,-0.314005,2.47758,95.5951,0.635446E-02,-0.326731,2.76289
LostCreek_ts_data_2020_07_07_1030.dat,2020-07-07,11:00,189.4582,17999,95.3742,0.786444E-02,-0.608114,2.31748,95.6092,0.926022E-02,-0.908478E-01,1.67264
LostCreek_ts_data_2020_07_07_1100.dat,2020-07-07,11:30,189.4790,18000,95.3812,0.330494E-02,2.31685,6.55185,95.6197,0.335459E-02,-0.518068,8.72763
LostCreek_ts_data_2020_07_07_1130.dat,2020-07-07,12:00,189.4999,17990,95.4084,0.898256E-02,-0.586627,2.82301,95.6442,0.887433E-02,-0.332288,2.13531
LostCreek_ts_data_2020_07_07_1200.dat,2020-07-07,12:30,189.5207,18000,95.4200,0.472431E-02,0.417488E-02,4.49286,95.6549,0.508185E-02,-0.567150E-01,1.24027
LostCreek_ts_data_2020_07_07_1230.dat,2020-07-07,13:00,189.5415,17996,95.4088,0.621330E-02,0.758846E-01,2.57228,95.6452,0.533536E-02,-0.277469,1.89135
LostCreek_ts_data_2020_07_07_1300.dat,2020-07-07,13:30,189.5624,18000,95.4028,0.469279E-02,0.719570,2.20058,95.6373,0.448747E-02,-0.969928,2.06014
LostCreek_ts_data_2020_07_07_1330.dat,2020-07-07,14:00,189.5832,17998,95.4145,0.824505E-02,-0.532414,2.58816,95.6482,0.849741E-02,-0.722466,3.09339
LostCreek_ts_data_2020_07_07_1400.dat,2020-07-07,14:30,189.6040,18000,95.4365,0.591385E-02,-1.46956,4.09429,95.6695,0.650121E-02,-0.424811,3.67511
LostCreek_ts_data_2020_07_07_1430.dat,2020-07-07,15:00,189.6249,17998,95.4389,0.307449E-02,-2.55996,7.60128,95.6706,0.305998E-02,1.52017,9.65953
LostCreek_ts_data_2020_07_07_1500.dat,2020-07-07,15:30,189.6457,18000,95.4228,0.752395E-02,-0.356888,2.35233,95.6571,0.659699E-02,-0.858443,3.83670
LostCreek_ts_data_2020_07_07_1530.dat,2020-07-07,16:00,189.6665,17990,95.4151,0.723192E-02,0.567949,2.71252,95.6509,0.631340E-02,-0.363527E-01,2.57154
LostCreek_ts_data_2020_07_07_1600.dat,2020-07-07,16:30,189.6873,18000,95.4043,0.663764E-02,0.542719,2.98755,95.6402,0.613581E-02,0.312799E-01,2.78408
LostCreek_ts_data_2020_07_07_1630.dat,2020-07-07,17:00,189.7082,18000,95.3914,0.572732E-02,0.222546E-01,2.93746,95.6283,0.503510E-02,-0.279935,3.34396
LostCreek_ts_data_2020_07_07_1700.dat,2020-07-07,17:30,189.7290,17934,95.3719,0.874171E-02,-0.833715E-01,2.69573,95.6071,0.875606E-02,0.156948,3.11325
LostCreek_ts_data_2020_07_07_1730.dat,2020-07-07,18:00,189.7498,18000,95.3601,0.666866E-02,-0.498222,3.73490,95.5968,0.485247E-02,-0.772889,2.25200
LostCreek_ts_data_2020_07_07_1800.dat,2020-07-07,18:30,189.7707,17999,95.3541,0.615700E-02,-0.432700,2.44835,95.5901,0.314722E-02,0.257405,10.0591
