first_statistics:_on_raw_data
filename,date,time,DOY,n_samples,mean(air_p),st_dev(air_p),skw(air_p),kur(air_p),mean(air_p),st_dev(air_p),skw(air_p),kur(air_p)
LostCreek_ts_data_2020_06_27_2200.dat,2020-06-27,22:30,179.9373,17999,94.8325,0.760060E-02,-0.191558,2.56145,95.0689,0.350458E-02,-1.53686,6.46580
LostCreek_ts_data_2020_06_27_2230.dat,2020-06-27,23:00,179.9581,18000,94.8359,0.819886E-02,0.135380,2.86061,95.0720,0.575065E-02,-0.350975E-01,2.68928
LostCreek_ts_data_2020_06_27_2300.dat,2020-06-27,23:30,179.9790,17996,94.8417,0.857287E-02,-0.181134,2.97278,95.0771,0.454453E-02,-0.931390,1.88843
LostCreek_ts_data_2020_06_27_2330.dat,2020-06-28,00:00,180.0000,18000,94.8414,0.113830E-01,0.105505,2.12117,95.0774,0.781334E-02,0.465687,1.82783
LostCreek_ts_data_2020_06_28_0000.dat,2020-06-28,00:30,180.0208,17990,94.8465,0.990658E-02,0.774259,3.08314,95.0842,0.494606E-02,0.305787,1.12716
LostCreek_ts_data_2020_06_28_0030.dat,2020-06-28,01:00,180.0416,18000,94.8528,0.529001E-02,0.166943,2.48043,95.0880,0.580877E-02,0.507086E-01,2.67366
LostCreek_ts_data_2020_06_28_0100.dat,2020-06-28,01:30,180.0624,17963,94.8436,0.824264E-02,-0.785875,2.20638,95.0829,0.779666E-02,-0.567113,1.85903
LostCreek_ts_data_2020_06_28_0130.dat,2020-06-28,02:00,180.0833,18000,94.8213,0.391560E-02,1.15293,5.08538,95.0579,0.643301E-02,0.222266,2.32509
LostCreek_ts_data_2020_06_28_0200.dat,2020-06-28,02:30,180.1041,18000,94.8228,0.448048E-02,1.00142,2.01940,95.0595,0.271288E-02,-1.77657,12.5989
LostCreek_ts_data_2020_06_28_0230.dat,2020-06-28,03:00,180.1249,18000,94.8577,0.187220E-01,-0.429451,1.95470,95.0906,0.178773E-01,-0.447008,1.84342
LostCreek_ts_data_2020_06_28_0300.dat,2020-06-28,03:30,180.1458,17985,94.8832,0.469466E-02,0.763847,1.66588,95.1178,0.525617E-02,-0.183715,2.84065
LostCreek_ts_data_2020_06_28_0330.dat,2020-06-28,04:00,180.1666,18000,94.8964,0.483648E-02,-0.622422,1.54043,95.1295,0.249769E-02,-2.40972,14.6222
LostCreek_ts_data_2020_06_28_0400.dat,2020-06-28,04:30,180.1874,18000,94.9102,0.948889E-02,-0.345812,1.77976,95.1430,0.832105E-02,-0.614948,1.71777
LostCreek_ts_data_2020_06_28_0430.dat,2020-06-28,05:00,180.2083,18000,94.9176,0.430360E-02,-1.16310,2.50637,95.1498,0.165663E-02,-4.73237,34.4087
LostCreek_ts_data_2020_06_28_0500.dat,2020-06-28,05:30,180.2291,17986,94.9102,0.825997E-02,0.422698E-02,1.58130,95.1434,0.605856E-02,-0.258379,2.41577
LostCreek_ts_data_2020_06_28_0530.dat,2020-06-28,06:00,180.2499,18000,94.8942,0.499279E-02,0.288473,1.26056,95.1284,0.391126E-02,-1.35621,4.44202
