first_statistics:_on_raw_data
filename,date,time,DOY,n_samples,mean(air_p),st_dev(air_p),skw(air_p),kur(air_p),mean(air_p),st_dev(air_p),skw(air_p),kur(air_p)
LostCreek_ts_data_2020_06_21_0000.dat,2020-06-21,00:30,173.0208,17996,94.9611,0.660783E-02,-0.167708,2.44448,95.1961,0.600984E-02,-1.29993,3.70340
LostCreek_ts_data_2020_06_21_0030.dat,2020-06-21,01:00,173.0416,18000,94.9494,0.625679E-02,0.532644E-01,2.56803,95.1807,0.664123E-02,-0.124982,2.40037
LostCreek_ts_data_2020_06_21_0100.dat,2020-06-21,01:30,173.0624,17996,94.9361,0.602112E-02,-1.27703,3.58114,95.1657,0.616563E-02,-1.04918,3.19990
LostCreek_ts_data_2020_06_21_0130.dat,2020-06-21,02:00,173.0833,17997,94.9076,0.103260E-01,-0.526347,2.17894,95.1400,0.930664E-02,-0.604552,2.46657
LostCreek_ts_data_2020_06_21_0200.dat,2020-06-21,02:30,173.1041,17997,94.8996,0.446243E-02,-0.159049,5.04773,95.1340,0.537351E-02,-0.670727E-01,1.95651
LostCreek_ts_data_2020_06_21_0230.dat,2020-06-21,03:00,173.1249,17997,94.9344,0.101770E-01,-0.695411,2.80512,95.1676,0.113389E-01,-0.474099,2.21863
LostCreek_ts_data_2020_06_21_0300.dat,2020-06-21,03:30,173.1458,18000,94.9533,0.479577E-02,0.641429,1.68101,95.1875,0.439705E-02,-1.05568,2.38691
LostCreek_ts_data_2020_06_21_0330.dat,2020-06-21,04:00,173.1666,17988,94.9591,0.551518E-02,-0.443661E-01,3.17903,95.1945,0.524935E-02,-0.802850E-01,1.67137
LostCreek_ts_data_2020_06_21_0400.dat,2020-06-21,04:30,173.1874,18000,94.9448,0.708687E-02,0.749804,2.82202,95.1775,0.854553E-02,0.411659,1.66090
LostCreek_ts_data_2020_06_21_0430.dat,2020-06-21,05:00,173.2083,18000,94.9399,0.150527E-02,-2.58659,43.6936,95.1706,0.289959E-02,1.91124,10.5233
LostCreek_ts_data_2020_06_21_0500.dat,2020-06-21,05:30,173.2291,17985,94.9357,0.498805E-02,-0.229787,1.15203,95.1664,0.539946E-02,-0.286349E-01,2.15683
LostCreek_ts_data_2020_06_21_0530.dat,2020-06-21,06:00,173.2499,18000,94.9230,0.522599E-02,0.288940,2.50908,95.1533,0.473867E-02,0.700636,1.62278
LostCreek_ts_data_2020_06_21_0600.dat,2020-06-21,06:30,173.2707,17996,94.9002,0.120267E-01,0.421946,2.08123,95.1338,0.107093E-01,0.423293,1.95305
LostCreek_ts_data_2020_06_21_0630.dat,2020-06-21,07:00,173.2916,17998,94.8671,0.158259E-01,0.621584,2.10099,95.1001,0.167864E-01,0.618339,1.98718
LostCreek_ts_data_2020_06_21_0700.dat,2020-06-21,07:30,173.3124,18000,94.8660,0.700389E-02,0.723463,2.33593,95.0994,0.676178E-02,0.686441E-01,2.18434
LostCreek_ts_data_2020_06_21_0730.dat,2020-06-21,08:00,173.3332,17997,94.8557,0.102045E-01,-0.209213,1.92476,95.0890,0.886545E-02,-0.609039E-01,1.77367
LostCreek_ts_data_2020_06_21_0800.dat,2020-06-21,08:30,173.3541,17996,94.8550,0.516815E-02,-0.132315,1.47554,95.0880,0.459409E-02,-0.661355,3.34140
LostCreek_ts_data_2020_06_21_0830.dat,2020-06-21,09:00,173.3749,18000,94.8617,0.422425E-02,0.983936,4.00690,95.0941,0.503668E-02,0.225503,1.37117
LostCreek_ts_data_2020_06_21_0900.dat,2020-06-21,09:30,173.3957,17996,94.8682,0.952860E-02,0.272325,1.33258,95.1003,0.104713E-01,0.317941,1.66811
LostCreek_ts_data_2020_06_21_0930.dat,2020-06-21,10:00,173.4165,17997,94.9022,0.849066E-02,-0.552081,3.24451,95.1397,0.840975E-02,-0.650806,3.00301
LostCreek_ts_data_2020_06_21_1000.dat,2020-06-21,10:30,173.4374,17997,94.9035,0.647679E-02,0.119777,2.86825,95.1395,0.610001E-02,0.205786E-01,2.68883
LostCreek_ts_data_2020_06_21_1030.dat,2020-06-21,11:00,173.4582,18000,94.9161,0.966219E-02,-0.488019,2.21085,95.1510,0.906466E-02,-0.460391,1.95250
LostCreek_ts_data_2020_06_21_1100.dat,2020-06-21,11:30,173.4790,17989,94.9253,0.509640E-02,-0.120773,1.32608,95.1575,0.512630E-02,-0.288417,2.68595
LostCreek_ts_data_2020_06_21_1130.dat,2020-06-21,12:00,173.4999,18000,94.9417,0.853392E-02,0.607687,3.70928,95.1759,0.100738E-01,0.456593,2.91283
LostCreek_ts_data_2020_06_21_1200.dat,2020-06-21,12:30,173.5207,18000,94.9498,0.852756E-02,0.425724,2.31803,95.1865,0.743199E-02,0.273097,2.40313
LostCreek_ts_data_2020_06_21_1230.dat,2020-06-21,13:00,173.5415,18000,94.9593,0.486374E-02,-0.182621,4.08622,95.1929,0.465167E-02,0.771345,1.98272
LostCreek_ts_data_2020_06_21_1300.dat,2020-06-21,13:30,173.5624,17986,94.9735,0.625406E-02,-0.275600,2.53255,95.2073,0.514528E-02,-0.956299,3.71560
LostCreek_ts_data_2020_06_21_1330.dat,2020-06-21,14:00,173.5832,18000,94.9771,0.612676E-02,0.581614E-02,2.73090,95.2103,0.576216E-02,0.561624E-03,3.00388
LostCreek_ts_data_2020_06_21_1400.dat,2020-06-21,14:30,173.6040,17996,94.9497,0.106258E-01,0.676014,2.39617,95.1829,0.114408E-01,0.645871,2.45395
LostCreek_ts_data_2020_06_21_1430.dat,2020-06-21,15:00,173.6249,18000,94.9400,0.332570E-02,0.171082E-01,9.04058,95.1728,0.492781E-02,0.454258,2.33727
LostCreek_ts_data_2020_06_21_1500.dat,2020-06-21,15:30,173.6457,18000,94.9538,0.927575E-02,-0.297453,1.94564,95.1881,0.873898E-02,-0.201134,2.44582
LostCreek_ts_data_2020_06_21_1530.dat,2020-06-21,16:00,173.6665,17938,94.9686,0.459557E-02,-0.492637,4.02688,95.2024,0.471129E-02,0.613801,2.88801
LostCreek_ts_data_2020_06_21_1600.dat,2020-06-21,16:30,173.6873,18000,94.9604,0.419984E-02,0.261383,5.56586,95.1949,0.506956E-02,-0.361407E-01,1.23904
LostCreek_ts_data_2020_06_21_1630.dat,2020-06-21,17:00,173.7082,18000,94.9508,0.553490E-02,0.458261E-01,3.21750,95.1875,0.454694E-02,-1.03281,2.99201
LostCreek_ts_data_2020_06_21_1700.dat,2020-06-21,17:30,173.7290,17997,94.9303,0.110797E-01,-0.150410,2.27747,95.1632,0.116760E-01,0.455613E-01,2.01227
LostCreek_ts_data_2020_06_21_1730.dat,2020-06-21,18:00,173.7498,17991,94.9186,0.549451E-02,-0.313780,3.75190,95.1522,0.572106E-02,-0.835704E-01,2.91896
