date,time,DOY,Ta_1_1_1,RH_1_1_1,LWout_1_1_1,LWin_1_1_1,SWout_1_1_1,SWin_1_1_1,PPFD_1_1_1,Ts_1_1_1,Pa_1_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[µmol/m^2/s],[K],[Pa]
2020-06-24,11:30,176.4790,282.825,96.9567,0.325667,-4.94433,7.81267,39.9930,67.5550,280.150,45428.7
2020-06-24,12:00,176.4999,283.551,97.1000,0.817667,-5.40867,12.7947,68.0907,115.767,280.150,45439.3
2020-06-24,12:30,176.5207,285.252,94.3433,1.08733,-7.66833,23.0670,130.073,222.683,280.156,45450.0
2020-06-24,13:00,176.5415,287.256,82.9157,2.43600,-18.3727,46.5073,258.935,447.790,280.163,45449.3
2020-06-24,13:30,176.5624,288.948,72.6827,0.805667,-44.7563,62.2083,341.600,607.267,280.170,45442.7
2020-06-24,14:00,176.5832,289.387,68.1873,-2.46467,-52.1720,58.2490,335.612,591.923,280.177,45439.3
2020-06-24,14:30,176.6040,290.137,62.1953,-3.31733,-53.5857,71.2940,419.643,736.853,280.180,45423.7
2020-06-24,15:00,176.6249,290.504,62.6563,-2.29333,-55.0680,71.6630,426.502,751.127,280.181,45435.3
2020-06-24,15:30,176.6457,290.873,61.7940,-2.22567,-58.0697,85.1020,509.287,902.880,280.190,45439.7
2020-06-24,16:00,176.6665,291.189,58.4470,-4.31233,-48.0817,66.9717,395.270,707.277,280.192,45436.3
2020-06-24,16:30,176.6873,290.790,63.0490,-1.05800,-49.3800,75.9170,450.461,809.847,280.200,45444.7
2020-06-24,17:00,176.7082,291.560,55.8233,2.34800,-80.6713,146.829,907.636,1639.88,280.200,45431.3
2020-06-24,17:30,176.7290,292.265,46.9867,2.59733,-110.275,151.843,976.058,1778.13,280.210,45418.0
2020-06-24,18:00,176.7498,292.782,46.4533,3.72033,-112.394,156.142,996.280,1817.30,280.212,45410.3
2020-06-24,18:30,176.7707,293.080,46.5170,4.16633,-93.9007,153.042,950.884,1733.47,280.220,45405.0
2020-06-24,19:00,176.7915,293.272,44.7327,0.684667,-77.0550,117.742,715.798,1298.25,280.226,45400.7
2020-06-24,19:30,176.8123,293.388,43.0573,3.82633,-98.5580,139.511,842.753,1532.73,280.230,45399.0
2020-06-24,20:00,176.8332,293.746,38.4937,2.20033,-109.753,137.328,828.443,1509.15,280.230,45388.7
2020-06-24,20:30,176.8540,294.127,38.2083,4.11467,-113.949,152.227,899.512,1634.50,280.240,45377.3
2020-06-24,21:00,176.8748,294.153,36.0123,1.70433,-120.690,137.917,802.809,1461.53,280.242,45380.7
2020-06-24,21:30,176.8956,294.371,35.8360,-0.544667,-121.785,126.563,718.049,1307.30,280.250,45378.0
2020-06-24,22:00,176.9165,294.087,36.5373,-0.559333,-116.970,117.062,639.238,1158.57,280.252,45382.7
2020-06-24,22:30,176.9373,294.070,37.2183,-2.18667,-115.568,105.954,555.940,956.107,280.260,45391.3
2020-06-24,23:00,176.9581,294.000,37.4213,-4.19233,-113.511,93.5587,468.295,842.977,280.264,45407.0
2020-06-24,23:30,176.9790,293.933,37.9837,-6.00233,-111.129,78.1443,370.675,663.317,280.270,45413.7
2020-06-25,00:00,177.0000,293.684,39.2587,-8.18000,-105.205,59.9770,272.291,485.280,280.270,45416.3
2020-06-25,00:30,177.0208,293.423,40.4347,-10.9847,-107.411,47.8773,193.334,339.140,280.270,45429.7
2020-06-25,01:00,177.0416,293.027,41.6423,-14.3223,-104.387,29.5877,104.863,191.633,280.270,45434.0
2020-06-25,01:30,177.0624,292.290,43.0250,-21.2247,-100.074,14.8303,47.4250,80.7980,280.270,45433.7
2020-06-25,02:00,177.0833,290.315,52.9603,-23.1427,-87.0597,0.833667,3.13167,22.1660,280.270,45445.3
2020-06-25,02:30,177.1041,287.427,68.7740,-16.2977,-74.4237,0.884333,-2.81633,2.22267,280.270,45451.3
2020-06-25,03:00,177.1249,285.472,76.9937,-11.6430,-66.4517,0.993667,-3.03167,0.324333,280.270,45470.0
2020-06-25,03:30,177.1458,284.425,82.4740,-8.33867,-57.3457,1.21933,-1.96633,0.334000,280.270,45501.3
2020-06-25,04:00,177.1666,283.547,85.8867,-4.55733,-44.6233,1.02900,-1.37667,0.302333,280.278,45520.0
2020-06-25,04:30,177.1874,282.912,87.9100,-3.31833,-30.0157,0.670333,-1.69233,0.317667,280.280,45539.7
2020-06-25,05:00,177.2083,281.981,91.3100,-2.23200,-25.5950,1.27967,-1.66233,0.322333,280.280,45549.7
2020-06-25,05:30,177.2291,281.672,91.8767,-2.20767,-22.8163,1.62967,-1.45567,0.409667,280.280,45563.3
2020-06-25,06:00,177.2499,280.991,92.0833,-1.66067,-20.3587,1.18733,-1.31500,0.369667,280.281,45563.7
2020-06-25,06:30,177.2707,280.792,94.4800,-1.67300,-18.3767,1.80700,-0.552667,0.415000,280.290,45559.7
2020-06-25,07:00,177.2916,280.871,94.4500,-1.87500,-16.8827,1.64900,-0.620333,0.431667,280.290,45559.7
