date,time,DOY,Ta_1_1_1,RH_1_1_1,LWout_1_1_1,LWin_1_1_1,SWout_1_1_1,SWin_1_1_1,PPFD_1_1_1,Ts_1_1_1,Pa_1_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[µmol/m^2/s],[K],[Pa]
2020-07-12,22:30,194.9373,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,23:00,194.9581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-12,23:30,194.9790,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,00:00,195.0000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,00:30,195.0208,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,01:00,195.0416,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,01:30,195.0624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,02:00,195.0833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,02:30,195.1041,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,03:00,195.1249,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,03:30,195.1458,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,04:00,195.1666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,04:30,195.1874,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,05:00,195.2083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,05:30,195.2291,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,06:00,195.2499,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,06:30,195.2707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-07-13,07:00,195.2916,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
