file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,air_p_mean,air_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--
LostCreek_ts_data_2020_07_11_1800.dat,2020-07-11,18:30,193.7707,1,17997,17997,0.112447,0,49.3272,0,234.789,0,-7.44622,0,5.34079,0,0.449128E+07,0,-9999,-9999,-9999,-9999,-9999,-704.168,-29.5476,-3.69674,14.9475,813.057,838.367,0.00000,0,627.211,34.1167,35.3218,0.00000,0,0.784712E-01,-42679.6,-44008.2,0.00000,0,297.260,298.693,45654.3,0.525623,1024.49,0.543943E-01,0.346083,0.113023E-01,1557.99,3262.25,0.215027E-01,47.7583,1704.25,286.766,-3.12587,-1.37129,-0.471095E-01,-3.12587,-1.37129,-0.471095E-01,3.41376,8.08753,158.870,-9999,-9999,-9999,0.462526,1.95321,-100.384,-0.952343E-01,0.210091,-0.198047,0,97.8595,-14.8506,33.5920,83.6489,127.570,178.918,268.052,0.111276,1.01052,62.9925,1.00904,210.741,1.03597,-15.8049,1.03597,4.79376,1.03597,-0.358471E-01,1.05876,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,9,4,0,2,8,9,0,1.38967,2.14810,0.368658,0.413916,0.597519E-02,512.200,0.289808E-06,0.116979,-0.158049E-01,4.79376,-0.358471E-04,95.1059,95.3348
LostCreek_ts_data_2020_07_11_1830.dat,2020-07-11,19:00,193.7915,1,18000,18000,0.946280E-01,0,48.2023,0,238.213,0,-7.50748,0,5.42064,0,0.446815E+07,0,1.11688,-2.37141,0.135363,-0.539625E-01,2.81606,-1568.29,-64.6812,-8.21470,14.9528,814.384,838.953,0.00000,0,616.700,33.5877,34.7551,0.00000,0,0.783227E-01,-42653.1,-43939.8,0.00000,0,297.334,299.067,45653.3,0.525061,1024.20,0.544636E-01,0.351257,0.111129E-01,1533.80,3335.32,0.211650E-01,45.9867,1801.52,286.526,-2.90427,-0.779187,-0.104883,-2.90427,-0.779187,-0.104883,3.00880,8.55239,167.909,-9999,-9999,-9999,0.424526,1.58072,-79.4230,-0.120368,0.202350,-0.211140,0,99.7244,-15.1336,34.2322,85.2429,130.001,182.328,273.161,0.935403E-01,1.01163,62.0802,1.00957,214.565,1.03506,-15.8487,1.03506,4.88252,1.03506,-0.313602E-01,1.05834,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,11,22,0,3,9,11,0,1.37207,1.49312,0.296255,0.345643,0.568146E-02,577.216,0.218890E-06,0.115441,-0.158487E-01,4.88252,-0.313602E-04,95.1076,95.3372
LostCreek_ts_data_2020_07_11_1900.dat,2020-07-11,19:30,193.8123,1,17986,17986,0.115038,0,63.2620,0,338.596,0,-11.7452,0,7.70459,0,0.606100E+07,0,-0.125458,0.435796,-0.319865,0.991631E-02,31.2156,-252.586,-10.4879,-1.31900,14.9052,811.251,836.208,0.00000,0,618.896,33.6849,34.8591,0.00000,0,0.778345E-01,-42359.0,-43662.2,0.00000,0,297.557,299.025,45677.3,0.525391,1024.25,0.544274E-01,0.499257,0.111525E-01,1539.05,3327.05,0.212270E-01,46.2587,1788.00,286.578,-2.77980,-1.40678,-0.169461E-01,-2.77980,-1.40678,-0.169461E-01,3.11554,9.27858,154.711,-9999,-9999,-9999,0.467927,1.98612,-81.0703,-0.117922,0.186836,-0.251233,0,98.3308,-14.9221,33.7538,84.0517,128.184,179.780,269.343,0.113751,1.01131,83.0556,1.00941,305.712,1.03527,-23.0437,1.03527,6.95632,1.03527,-0.281840E-01,1.05842,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,14,5,1,0,2,4,0,1.44751,2.15192,0.372814,0.415955,0.743069E-02,689.548,0.584103E-06,0.154341,-0.230437E-01,6.95632,-0.281840E-04,95.1308,95.3609
LostCreek_ts_data_2020_07_11_1930.dat,2020-07-11,20:00,193.8332,1,18000,18000,0.132779,0,72.8921,0,307.657,0,-10.4579,0,7.00322,0,0.621264E+07,0,1.15344,5.49954,-0.602428E-01,0.125186,1.36199,111.681,4.80979,0.583443,14.8752,810.660,836.442,0.00000,0,640.635,34.9129,36.1759,0.00000,0,0.777111E-01,-42346.2,-43693.0,0.00000,0,297.690,299.412,45677.7,0.524471,1024.95,0.544973E-01,0.453808,0.115442E-01,1595.17,3403.87,0.220112E-01,46.8633,1808.70,287.129,-2.74250,-1.54166,0.750785E-02,-2.74250,-1.54166,0.750785E-02,3.14612,9.02165,153.041,-9999,-9999,-9999,0.503157,2.15254,-87.4976,-0.109260,0.236926,-0.269495,0,100.479,-15.2481,34.4911,85.8878,130.984,183.707,275.227,0.131305,1.01122,90.7537,1.00937,274.469,1.03534,-22.0922,1.03534,6.24774,1.03534,-0.665788E-01,1.05845,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,15,10,0,1,6,12,0,1.73062,2.16606,0.408395,0.489288,0.779544E-02,727.113,0.397257E-06,0.168826,-0.220922E-01,6.24774,-0.665788E-04,95.1283,95.3590
LostCreek_ts_data_2020_07_11_2000.dat,2020-07-11,20:30,193.8540,1,18000,18000,0.103155,0,57.7848,0,254.859,0,-7.64750,0,5.80042,0,0.504475E+07,0,-0.495112,-1.29555,0.110301,-0.294859E-01,-14.8095,-1478.82,-63.0769,-7.74080,14.8951,811.742,837.305,0.00000,0,635.327,34.6236,35.8654,0.00000,0,0.779674E-01,-42485.9,-43823.8,0.00000,0,297.593,299.246,45652.3,0.524528,1024.79,0.544973E-01,0.375867,0.114486E-01,1581.07,3370.70,0.218265E-01,46.9063,1789.63,286.992,-2.97317,-0.923025,-0.992825E-01,-2.97317,-0.923025,-0.992825E-01,3.11474,8.80877,164.981,-9999,-9999,-9999,0.443465,1.65314,-75.5330,-0.126567,0.226733,-0.242411,0,96.8711,-14.7006,33.2527,82.8040,126.281,177.111,265.345,0.102001,1.01131,72.5956,1.00941,227.964,1.03527,-17.1044,1.03527,5.18831,1.03527,-0.295117E-01,1.05842,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,16,16,2,6,12,10,0,1.30679,1.65187,0.347611,0.340105,0.571569E-02,548.047,0.237735E-06,0.135054,-0.171044E-01,5.18831,-0.295117E-04,95.1028,95.3352
LostCreek_ts_data_2020_07_11_2030.dat,2020-07-11,21:00,193.8748,1,18000,18000,0.100468,0,47.9867,0,254.117,0,-8.31275,0,5.78256,0,0.458427E+07,0,-0.521460,-8.96039,0.288026,-0.203898,8.17760,-1113.79,-44.6087,-5.79931,14.9536,814.566,838.615,0.00000,0,598.908,32.6244,33.7246,0.00000,0,0.778605E-01,-42408.8,-43660.9,0.00000,0,297.549,299.071,45646.0,0.525164,1023.65,0.544731E-01,0.374710,0.107923E-01,1489.57,3336.08,0.205504E-01,44.6503,1846.51,286.078,-3.43579,-1.25495,-0.744833E-01,-3.43579,-1.25495,-0.744833E-01,3.65856,10.3514,162.092,-9999,-9999,-9999,0.437388,1.92100,-87.2283,-0.109597,0.188837,-0.204084,0,86.4878,-13.1249,29.6885,73.9285,112.746,158.127,236.903,0.994752E-01,1.00998,62.8485,1.00881,229.559,1.03664,-16.8691,1.03664,5.22374,1.03664,-0.208378E-01,1.05915,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,14,21,1,1,2,11,0,1.49486,1.89818,0.448958,0.254538,0.440170E-02,620.604,0.278376E-06,0.116909,-0.168691E-01,5.22374,-0.208378E-04,95.0964,95.3276
LostCreek_ts_data_2020_07_11_2100.dat,2020-07-11,21:30,193.8956,1,17997,17997,0.960592E-01,0,34.5358,0,228.086,0,-7.52007,0,5.19040,0,0.371160E+07,0,0.104527,-5.24028,0.111054,-0.119249,10.8697,781.237,30.1271,4.05251,14.9638,815.656,838.809,0.00000,0,577.054,31.4544,32.4759,0.00000,0,0.776218E-01,-42306.2,-43507.2,0.00000,0,297.634,299.106,45621.7,0.525058,1022.99,0.545085E-01,0.336338,0.103985E-01,1435.39,3343.00,0.198045E-01,42.9370,1907.62,285.513,-2.60942,-1.48903,0.522084E-01,-2.60942,-1.48903,0.522084E-01,3.00483,7.81710,151.696,-9999,-9999,-9999,0.427726,1.66411,-113.281,-0.843920E-01,0.151416,-0.150323,0,97.5383,-14.8018,33.4817,83.3742,127.151,178.331,267.172,0.949540E-01,1.01164,47.9477,1.00957,208.163,1.03505,-14.4641,1.03505,4.73701,1.03505,-0.204509E-01,1.05833,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,17,6,0,2,9,15,0,1.16390,1.84645,0.317874,0.240712,0.508933E-02,656.625,0.416906E-06,0.892667E-01,-0.144641E-01,4.73701,-0.204509E-04,95.0724,95.3050
LostCreek_ts_data_2020_07_11_2130.dat,2020-07-11,22:00,193.9165,1,17996,17996,0.102856,0,33.9107,0,179.381,0,-6.29138,0,4.08110,0,0.323976E+07,0,-0.709758,1.81967,-0.242923E-01,0.413993E-01,-8.00708,-1474.48,-57.6116,-7.66444,14.9638,815.417,839.202,0.00000,0,584.674,31.8604,32.9089,0.00000,0,0.777830E-01,-42381.8,-43618.0,0.00000,0,297.494,298.868,45598.7,0.525129,1023.21,0.544927E-01,0.264456,0.105358E-01,1453.18,3296.27,0.200633E-01,44.0857,1843.09,285.700,-3.29534,-1.01252,-0.985363E-01,-3.29534,-1.01252,-0.985363E-01,3.44880,8.79729,164.331,-9999,-9999,-9999,0.442569,1.49580,-127.763,-0.748258E-01,0.189043,-0.142601,0,93.8953,-14.2490,32.2312,80.2603,122.402,171.671,257.194,0.101793,1.01044,44.3972,1.00901,162.382,1.03606,-12.3348,1.03606,3.69436,1.03606,-0.103918E-01,1.05881,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,17,10,3,0,4,6,0,1.24093,1.37636,0.374294,0.166117,0.324351E-02,348.238,0.287986E-06,0.826273E-01,-0.123348E-01,3.69436,-0.103918E-04,95.0449,95.2808
LostCreek_ts_data_2020_07_11_2200.dat,2020-07-11,22:30,193.9373,1,17992,17992,0.104296,0,26.3791,0,169.004,0,-6.50488,0,3.84347,0,0.280347E+07,1,-1.22990,0.846453E-01,-0.108767,0.192500E-02,-18.2118,-629.677,-24.6499,-3.29065,14.9644,814.352,838.764,0.00000,0,585.809,31.8793,32.9290,0.00000,0,0.782031E-01,-42553.3,-43828.9,0.00000,0,297.369,298.457,45597.3,0.525833,1023.21,0.544192E-01,0.249057,0.105563E-01,1454.00,3216.74,0.200753E-01,45.2010,1762.74,285.709,-2.78151,-0.868092,-0.420783E-01,-2.78151,-0.868092,-0.420783E-01,2.91413,8.02645,163.505,-9999,-9999,-9999,0.445358,1.54793,-167.361,-0.571220E-01,0.156086,-0.110087,0,101.404,-15.3885,34.8089,86.6790,132.191,185.400,277.763,0.103066,1.01193,36.2908,1.00972,154.010,1.03489,-11.6859,1.03489,3.50249,1.03489,-0.139397E-01,1.05828,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,23,11,1,0,4,2,0,1.10031,1.68284,0.312705,0.124989,0.339875E-02,470.225,0.288040E-06,0.674499E-01,-0.116859E-01,3.50249,-0.139397E-04,95.0494,95.2825
