first_statistics:_on_raw_data
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
LostCreek_ts_data_2020_07_15_0500.dat,2020-07-15,05:30,197.2291,18000,0.931678E-01,-1.16017,0.751197E-01,288.670,12.4421,640.706,0.904770E-01,-9999,-9999,-9999,286.888,-9999,82.8659,0.919811E-01,0.151060,0.251816E-01,0.273964,29.9577,122018.,0.715848E-05,-9999,-9999,-9999,0.638528E-01,-9999,0.497058E-01,0.135960E-02,-0.465678E-01,0.746845,61.0776,0.171467E-03,-9999,0.325984E-02,-0.129555,0.473517,87.2961,0.579983E-03,-9999,-0.132229E-01,-0.196798E-01,-2.02573,0.519747E-04,-9999,-9999,-9999,0.282162E-02,-9999,0.303284,0.388664,0.158687,0.523416,5.47336,349.310,0.267553E-02,-9999,-9999,-9999,0.252691,-9999,-0.702058,-0.341808,0.200080,-0.831947,1.64393,-0.829451,1.06448,-9999,-9999,-9999,-0.146944,-9999,3.52799,2.95428,5.20759,3.75444,4.55319,2.77475,4.04900,-9999,-9999,-9999,2.10975,-9999
LostCreek_ts_data_2020_07_15_0530.dat,2020-07-15,06:00,197.2499,17990,0.767862,-0.175792,0.642535E-01,287.579,13.2850,270.867,0.928642E-01,-9999,-9999,-9999,286.328,-9999,14.5930,0.304740,0.507653,0.137192E-01,1.09435,30.3413,102750.,0.109640E-04,-9999,-9999,-9999,0.420137,-9999,0.356611,0.581340E-02,-0.486855,-0.238071,59.5805,0.134292E-02,-9999,0.105451E-01,-0.687285,-0.223705,78.6919,0.189443E-02,-9999,-0.112650E-01,-0.370338E-03,1.41401,0.396268E-04,-9999,-9999,-9999,-0.454639E-02,-9999,0.552033,0.712498,0.117129,1.04611,5.50829,320.547,0.331119E-02,-9999,-9999,-9999,0.648180,-9999,-0.808492,-0.857106,-0.670895,0.391948,-0.587962,-0.182366,-0.528672,-9999,-9999,-9999,0.440475,-9999,2.64469,2.57298,8.36621,1.89358,2.01970,1.28506,2.25621,-9999,-9999,-9999,1.62533,-9999
LostCreek_ts_data_2020_07_15_0600.dat,2020-07-15,06:30,197.2707,18000,0.419300,0.612952E-01,0.285136E-01,286.402,21.5106,741.068,0.970244E-01,-9999,-9999,-9999,285.247,-9999,349.564,0.555324E-01,0.391771E-01,0.173591E-02,0.565485E-01,323.331,287238.,0.217897E-04,-9999,-9999,-9999,0.148882E-01,-9999,-0.607577E-02,0.483760E-02,0.198068E-01,-1.08309,-73.8341,-0.916658E-04,-9999,-0.356134E-03,-0.158511E-01,-0.503649,31.7193,0.120364E-03,-9999,0.106194E-02,-0.702442E-01,-6.75653,0.418974E-05,-9999,-9999,-9999,0.222955E-02,-9999,0.235653,0.197932,0.416643E-01,0.237799,17.9814,535.946,0.466794E-02,-9999,-9999,-9999,0.122017,-9999,0.630998,-0.472589E-01,-0.382114,-0.126677,0.700935,-0.256526,1.57694,-9999,-9999,-9999,1.49011,-9999,3.99032,2.33130,3.64775,2.67092,2.02847,1.37193,5.61816,-9999,-9999,-9999,4.67505,-9999
LostCreek_ts_data_2020_07_15_0630.dat,2020-07-15,07:00,197.2916,18000,0.110345,-0.378021E-01,0.111362E-01,285.716,51.4861,1364.80,0.982647E-01,-9999,-9999,-9999,284.513,-9999,292.827,0.666105E-01,0.464080E-01,0.107889E-02,0.246206,35.3494,86078.3,0.981915E-05,-9999,-9999,-9999,0.141816,-9999,-0.380822E-01,0.318055E-02,0.103432,0.691585,-40.8154,-0.252913E-03,-9999,-0.159575E-02,-0.902474E-01,-0.324640,40.6835,0.149693E-03,-9999,0.528410E-02,0.299997E-01,-2.96491,-0.112509E-04,-9999,-9999,-9999,0.489110E-02,-9999,0.258090,0.215425,0.328465E-01,0.496192,5.94553,293.391,0.313355E-02,-9999,-9999,-9999,0.376585,-9999,0.603615,-0.928931E-01,0.586016E-01,-0.136196,-0.997595,1.06781,1.12053,-9999,-9999,-9999,0.403813,-9999,1.79280,1.65778,2.52742,1.91328,3.04707,2.98549,5.35437,-9999,-9999,-9999,1.69174,-9999
LostCreek_ts_data_2020_07_15_0700.dat,2020-07-15,07:30,197.3124,17945,-0.227656,-0.336814,0.426840E-02,285.583,32.8223,3984.98,0.103742,-9999,-9999,-9999,284.092,-9999,143.879,0.189111E-01,0.213250,0.434700E-02,0.798220,34.3115,0.111114E+07,0.164888E-03,-9999,-9999,-9999,0.272726,-9999,-0.124998E-01,0.205702E-02,0.276010E-01,-0.289923E-01,2.26510,-0.771178E-03,-9999,-0.109044E-01,-0.372257,2.41403,-173.823,0.360880E-02,-9999,0.193676E-01,-0.134628,9.31127,-0.279526E-03,-9999,-9999,-9999,0.138884E-01,-9999,0.137518,0.461790,0.659318E-01,0.893432,5.85760,1054.10,0.128409E-01,-9999,-9999,-9999,0.522232,-9999,0.133042,-1.00890,0.618127,1.36199,-0.553677,-0.550868,1.47856,-9999,-9999,-9999,1.44848,-9999,2.88308,3.08064,6.76553,4.03495,1.78125,2.08354,4.51994,-9999,-9999,-9999,3.80839,-9999
LostCreek_ts_data_2020_07_15_0730.dat,2020-07-15,08:00,197.3332,17998,-0.341922,0.256121,-0.234389E-02,284.686,41.8243,3612.40,0.121669,-9999,-9999,-9999,283.548,-9999,216.331,0.216049E-01,0.214830E-01,0.271991E-02,0.311026,1.72271,42133.3,0.106021E-02,-9999,-9999,-9999,0.608824E-01,-9999,-0.409482E-02,0.244911E-02,0.226471E-01,-0.793027E-01,7.09435,-0.195854E-02,-9999,0.877342E-03,-0.210562E-01,0.601950E-01,-3.66049,-0.119929E-02,-9999,0.633414E-02,-0.124497E-01,0.916068,-0.379402E-03,-9999,-9999,-9999,0.327024E-02,-9999,0.146986,0.146571,0.521527E-01,0.557697,1.31252,205.264,0.325608E-01,-9999,-9999,-9999,0.246743,-9999,-0.280824,-0.154838,-0.108020,0.116501,0.409887,0.685510E-01,1.86688,-9999,-9999,-9999,0.977747E-01,-9999,3.02757,3.28223,4.35082,1.96987,2.90266,2.63506,5.00674,-9999,-9999,-9999,1.70877,-9999
LostCreek_ts_data_2020_07_15_0800.dat,2020-07-15,08:30,197.3541,17996,-0.588365E-02,0.146298,0.126692E-01,284.052,42.8136,3453.17,0.135496,-9999,-9999,-9999,282.947,-9999,275.058,0.484935E-01,0.256898E-01,0.452082E-02,0.260968,2.09467,21360.3,0.123292E-02,-9999,-9999,-9999,0.282583E-01,-9999,-0.140945E-01,0.314561E-02,0.204285E-02,-0.876182E-03,18.5745,-0.611905E-02,-9999,-0.237564E-03,0.284618E-01,-0.937705E-01,-4.14210,0.142363E-02,-9999,0.517836E-03,-0.176961E-02,1.85792,-0.459250E-03,-9999,-9999,-9999,0.707715E-03,-9999,0.220212,0.160280,0.672370E-01,0.510851,1.44730,146.152,0.351130E-01,-9999,-9999,-9999,0.168102,-9999,-0.125645,-0.271935,-0.757047E-01,0.229319,-0.387035,-0.131343,0.384818,-9999,-9999,-9999,-0.673718,-9999,1.92812,2.40330,5.03834,2.16156,2.42255,1.94476,1.37975,-9999,-9999,-9999,3.19385,-9999
LostCreek_ts_data_2020_07_15_0830.dat,2020-07-15,09:00,197.3749,17996,0.704859E-01,0.402663,0.335438E-02,283.311,44.1812,3082.78,0.100799,-9999,-9999,-9999,282.305,-9999,274.121,0.995586E-01,0.214041E-01,0.117269E-02,0.186937,1.69576,31443.3,0.138479E-04,-9999,-9999,-9999,0.588083E-01,-9999,0.171153E-01,0.280593E-02,0.869439E-01,-0.865002E-01,37.2216,0.372331E-03,-9999,0.829146E-03,0.189141E-01,-0.237778E-01,9.36788,0.795563E-05,-9999,0.132854E-02,0.312614E-02,1.06229,0.140476E-04,-9999,-9999,-9999,0.255666E-02,-9999,0.315529,0.146302,0.342445E-01,0.432363,1.30221,177.323,0.372128E-02,-9999,-9999,-9999,0.242504,-9999,-0.171214,-0.100869E-01,-0.196576,0.514285,0.542524,0.609533,0.581195E-01,-9999,-9999,-9999,0.508532,-9999,1.62012,1.83519,3.38433,2.99957,3.56074,2.07777,1.87309,-9999,-9999,-9999,2.20515,-9999
LostCreek_ts_data_2020_07_15_0900.dat,2020-07-15,09:30,197.3957,18000,0.169457,0.121709,0.242811E-02,282.545,45.2113,2769.48,0.103169,-9999,-9999,-9999,281.738,-9999,289.888,0.101083,0.313452E-01,0.611432E-03,0.845482E-01,2.71845,15451.1,0.637880E-05,-9999,-9999,-9999,0.289514E-01,-9999,-0.415342E-01,0.478552E-02,-0.362964E-02,-0.367189,-36.6172,-0.467843E-03,-9999,-0.194201E-02,-0.735195E-02,0.170678,15.6007,0.180822E-03,-9999,-0.446334E-03,-0.166970E-01,-1.80234,-0.226794E-04,-9999,-9999,-9999,-0.145484E-02,-9999,0.317936,0.177046,0.247272E-01,0.290772,1.64877,124.302,0.252563E-02,-9999,-9999,-9999,0.170151,-9999,0.416311,-0.496974,0.457163E-01,0.156790,-1.11648,-0.712105,0.267587E-01,-9999,-9999,-9999,0.434398,-9999,1.65830,2.22465,3.14852,2.35936,3.35984,2.18092,2.50812,-9999,-9999,-9999,2.42889,-9999
LostCreek_ts_data_2020_07_15_0930.dat,2020-07-15,10:00,197.4165,17990,0.605049,-0.402450,0.371352E-01,282.285,43.6363,2450.93,0.106821,-9999,-9999,-9999,281.695,-9999,29.5332,0.574584E-01,0.416300E-01,0.630212E-03,0.104857,0.671767,9190.75,0.191233E-04,-9999,-9999,-9999,0.326859E-01,-9999,-0.365276E-01,0.296651E-02,0.128100E-01,0.116731E-01,19.1617,-0.478817E-03,-9999,-0.258713E-02,-0.463958E-01,0.693625E-01,-7.60186,0.463023E-03,-9999,0.264603E-02,-0.304149E-02,0.854615,-0.344595E-04,-9999,-9999,-9999,0.202255E-02,-9999,0.239705,0.204034,0.251040E-01,0.323816,0.819614,95.8684,0.437302E-02,-9999,-9999,-9999,0.180792,-9999,-0.561856,1.48905,-0.225708,-0.328316,0.733209,0.109018,0.255265,-9999,-9999,-9999,-0.659306,-9999,2.38252,4.20340,3.51275,2.34168,2.87354,1.94247,1.67367,-9999,-9999,-9999,3.15039,-9999
